player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projection,,Week,Name,Pos,DK points,New Predicted,Average Projection
Broncos,DST,10.55,5.21,0.12,20.98,9.66,8.55,#N/A,,2,Reggie Bush,RB,0.001,5.4076334,4.033333333
Panthers,DST,10.38,2.39,5.6,15.17,10.13,9.7,#N/A,,2,David Johnson,RB,17.301,14.3893406,17.84333333
Cardinals,DST,9.85,3.14,3.57,16.13,9.4,9.05,#N/A,,2,Mike Tolbert,RB,2.501,8.0833368,4.035
Seahawks,DST,9.72,5.58,-1.44,20.87,8.66,7.45,#N/A,,2,Braxton Miller,WR,1.101,2.2334877,4.445
Redskins,DST,9.38,6.99,-4.6,23.36,7.88,6.4,#N/A,,2,Brent Celek,TE,0.001,10.4173,6.478333333
Colts,DST,9.25,6.23,-3.2,21.7,7.93,6.95,#N/A,,2,Charles Johnson,WR,3.501,1.0106799,6.255
Chiefs,DST,9.22,3.74,1.73,16.7,8.54,7.45,#N/A,,2,Luke Willson,TE,1.601,13.26505,5.323333333
Vikings,DST,9.07,4.43,0.2,17.93,8.12,6.5,#N/A,,2,Crockett Gillmore,TE,3.201,12.12595,4.758333333
Patriots,DST,8.8,2.43,3.94,13.66,8.53,7.85,#N/A,,2,Albert Wilson,WR,3.101,2.0095533,5.056666667
Packers,DST,8.48,3.54,1.4,15.57,7.91,7.4,#N/A,,2,Tim Hightower,RB,0.901,4.8798426,4.813333333
Lions,DST,8.32,4.09,0.13,16.5,7.56,7,#N/A,,2,Andre Johnson,WR,7.901,4.6216672,4.351666667
Texans,DST,8.13,2.92,2.3,13.97,7.69,7.15,#N/A,,2,Jared Cook,TE,7.101,9.2782,6.355
Jets,DST,8.12,4.01,0.09,16.15,7.39,6.5,#N/A,,2,James Starks,RB,2.901,4.317402,6.878333333
Ravens,DST,8.12,3.75,0.62,15.62,7.44,6.9,#N/A,,2,Alfred Morris,RB,6.701,6.2063818,4.761666667
Eagles,DST,7.82,3.52,0.78,14.86,7.1,7.3,#N/A,,2,Justin Hardy,WR,7.801,6.510552,5.066666667
Bengals,DST,7.82,2.85,2.12,13.51,7.42,6.85,#N/A,,2,Kamar Aiken,WR,0.001,7.1645733,8.848333333
Bears,DST,7.78,3.84,0.1,15.46,7.02,6.3,#N/A,,2,Chris Johnson,RB,11.401,7.7972826,4.921666667
Steelers,DST,7.67,2.85,1.97,13.37,7.28,6.6,#N/A,,2,Will Tye,TE,3.001,11.5564,5.776666667
Jaguars,DST,7.57,2.95,1.67,13.46,7.14,6.6,#N/A,,2,Shaun Draughn,RB,2.101,8.9369098,5.43
Bills,DST,7.54,4.34,-1.15,16.23,6.63,5.3,#N/A,,2,Larry Donnell,TE,6.401,11.5564,6.378333333
Buccaneers,DST,7.47,4,-0.54,15.47,6.66,6.35,#N/A,,2,Tyler Lockett,WR,13.901,4.9557025,10.67833333
Chargers,DST,7.37,5.11,-2.85,17.59,6.05,5.55,#N/A,,2,Charcandrick West,RB,7.301,5.6328566,4.07
Giants,DST,7.2,3.24,0.71,13.69,6.62,5.9,#N/A,,2,Quinton Patton,WR,5.501,5.8707734,6.813333333
Raiders,DST,6.97,3.42,0.13,13.81,6.31,5.6,#N/A,,2,Jermaine Kearse,WR,3.101,5.260195,8.428333333
Saints,DST,6.95,3.36,0.23,13.67,6.3,5.85,#N/A,,2,Devin Funchess,WR,9.901,8.4184499,8.601666667
Dolphins,DST,6.7,3.4,-0.11,13.51,6.07,5.35,#N/A,,2,DeAndre Washington,RB,6.201,8.8468406,4.446666667
Titans,DST,6.68,3.84,-1,14.37,5.89,5.35,#N/A,,2,Austin Seferian-Jenkins,TE,3.401,7,6.216666667
Browns,DST,6.45,4.08,-1.71,14.61,5.44,5.3,#N/A,,2,John Brown,WR,2.401,7.3659377,11.09166667
Falcons,DST,6.43,4.36,-2.29,15.15,5.49,4.55,#N/A,,2,Virgil Green,TE,7.601,7,5.771666667
Cowboys,DST,6.43,3.54,-0.64,13.51,5.74,4.8,#N/A,,2,Derrick Henry,RB,5.901,8.388283,6.18
49ers,DST,6.18,4.05,-1.91,14.28,5,5,#N/A,,2,Tyler Boyd,WR,12.801,7.613494,6.918333333
Cam Newton,QB,23.11,3.17,16.78,29.45,22.87,23.47,19.524653,,2,Tajae Sharpe,WR,7.301,6.9048925,8.93
Drew Brees,QB,23.07,2.66,17.76,28.39,22.91,23.07,25.2893671,,2,Sammy Watkins,WR,4.001,6.387205,13.79166667
Eli Manning,QB,20.98,2.77,15.44,26.51,20.79,20.94,19.03307,,2,Dorial Green-Beckham,WR,3.801,5.66895,5.353333333
Russell Wilson,QB,19.89,1.43,17.04,22.74,19.84,19.24,16.364137,,2,Clive Walford,TE,17.001,11.5564,7.903333333
Matthew Stafford,QB,19.82,1.15,17.51,22.12,19.78,19.59,20.920796,,2,Thomas Rawls,RB,3.801,9.557224,9.32
Blake Bortles,QB,19.64,1.04,17.56,21.71,19.61,19.66,21.9066038,,2,Vincent Jackson,WR,8.401,4.1087,8.901666667
Carson Palmer,QB,19.55,4.06,11.42,27.67,19.11,18.94,19.701954,,2,Justin Forsett,RB,7.601,10.802438,11.20666667
Philip Rivers,QB,19.52,3.1,13.32,25.72,19.29,18.02,17.6069599,,2,Torrey Smith,WR,14.501,6.8339066,9.283333333
Derek Carr,QB,19.22,2.6,14.02,24.42,19.06,18.83,23.7123554,,2,Jordan Cameron,TE,15.901,13.26505,6.395
Aaron Rodgers,QB,19.07,2.88,13.31,24.82,18.84,18.72,19.3270218,,2,Jerick McKinnon,RB,1.101,7.5206074,5.598333333
Kirk Cousins,QB,18.99,1.93,15.13,22.84,18.9,18.27,18.3360968,,2,Vance McDonald,TE,14.501,21.23875,5.8
Ben Roethlisberger,QB,18.23,2.19,13.86,22.6,18.11,17.34,22.9074299,,2,C.J. Uzomah,TE,3.901,10.4173,5.89
Jimmy Garoppolo,QB,18,0.94,16.11,19.89,17.97,18.38,12.5696081,,2,Arian Foster,RB,0.901,8.365388,10.71333333
Marcus Mariota,QB,17.14,1.18,14.78,19.49,17.09,17.58,19.3911074,,2,Danny Amendola,WR,20.001,7.78808,5.388333333
Joe Flacco,QB,16.91,1.99,12.94,20.89,16.78,17.56,17.9390378,,2,Nelson Agholor,WR,8.201,6.4315866,6.471666667
Tyrod Taylor,QB,16.69,1.68,13.33,20.05,16.61,15.92,19.3122848,,2,Charles Clay,TE,7.701,7,7.966666667
Andrew Luck,QB,16.54,2.67,11.2,21.88,16.32,16.54,18.1239999,,2,Chris Conley,WR,3.501,6.0513399,4.905
Jameis Winston,QB,16.48,1.33,13.81,19.15,16.43,16.71,17.829398,,2,Phillip Dorsett,WR,4.001,5.5687833,7.395
Matt Ryan,QB,16.46,1.45,13.55,19.37,16.4,16.1,27.284888,,2,Dontrelle Inman,WR,1.701,7.5801397,7.288333333
Ryan Fitzpatrick,QB,16.2,0.9,14.4,17.99,16.17,16.2,13.395648,,2,Andrew Hawkins,WR,5.801,5.56112,6.558333333
Andy Dalton,QB,15.91,2.65,10.61,21.21,15.68,17.25,20.6508392,,2,Lance Kendricks,TE,10.101,13.26505,4.846666667
Jay Cutler,QB,15.89,1.76,12.37,19.4,15.78,15.83,8.490036,,2,Robert Woods,WR,2.001,8.045518,8.478333333
Ryan Tannehill,QB,15.37,1.46,12.45,18.3,15.3,15.43,16.5649389,,2,Devontae Booker,RB,6.101,10.2906246,4.946666667
Dak Prescott,QB,14.91,1.95,11,18.82,14.78,15.16,19.1860253,,2,Jesse James,TE,11.901,10.4173,7.221666667
Josh McCown,QB,14.66,2.61,9.44,19.89,14.41,15.44,18.551426,,2,Eli Rogers,WR,1.901,9.1562925,9.111666667
Alex Smith,QB,14.61,1.28,12.05,17.18,14.55,15.05,12.0037307,,2,James White,RB,4.901,9.952598,8.166666667
Carson Wentz,QB,14.42,1.64,11.15,17.69,14.32,15.04,14.7421531,,2,Bilal Powell,RB,1.301,8.886458,7.106666667
Brock Osweiler,QB,14.38,1.17,12.04,16.72,14.33,14.38,14.1398032,,2,Doug Martin,RB,2.301,10.613144,12.85
Blaine Gabbert,QB,13.88,1.71,10.45,17.3,13.78,13.62,18.782304,,2,Mohamed Sanu,WR,4.901,10.83903,9.125
Sam Bradford,QB,12.51,0.6,11.31,13.72,12.5,12.51,#N/A,,2,Dwayne Allen,TE,4.501,7,6.156666667
Trevor Siemian,QB,12.38,3.62,5.15,19.61,11.76,13.01,17.1779851,,2,Jay Cutler,QB,4.281,8.490036,16.405
Case Keenum,QB,9.29,2.5,4.3,14.29,8.91,9.51,14.2198131,,2,Terrance Williams,WR,0.001,9.3655433,7.45
Shaun Hill,QB,5.89,7.13,-8.38,20.15,1.67,0.3,#N/A,,2,Chris Thompson,RB,8.801,8.07992,7.768333333
Colin Kaepernick,QB,4.52,8.02,-11.52,20.56,2.28,0.94,#N/A,,2,Rashad Jennings,RB,6.001,16.777326,14.27666667
Geno Smith,QB,3.19,4.48,-5.78,12.15,1.09,0.31,#N/A,,2,Seth Roberts,WR,5.501,9.6705797,6.853333333
Paxton Lynch,QB,2.64,3.31,-3.99,9.27,1.93,1.13,#N/A,,2,Antonio Gates,TE,10.501,10.4173,11.53833333
Brian Hoyer,QB,1.82,2.1,-2.37,6.02,0.92,0.22,#N/A,,2,Victor Cruz,WR,12.101,10.5661299,6.693333333
Chad Henne,QB,1.8,3.67,-5.54,9.14,0.39,0.19,#N/A,,2,Jacob Tamme,TE,18.501,11.5564,6.578333333
Colt McCoy,QB,1.52,1.81,-2.09,5.14,0.73,0.19,#N/A,,2,Chris Hogan,WR,9.901,9.624404,6.448333333
Mark Sanchez,QB,0.91,0.92,-0.94,2.76,0.73,0.36,#N/A,,2,Hunter Henry,TE,0.001,10.4173,5.336666667
Matt McGloin,QB,0.54,0.75,-0.96,2.05,0.26,0.1,#N/A,,2,Jason Witten,TE,8.101,10.4173,9.548333333
Landry Jones,QB,0.52,0.47,-0.41,1.45,0.4,0.56,#N/A,,2,Gary Barnidge,TE,7.701,12.12595,11.62166667
AJ McCarron,QB,0.51,0.71,-0.91,1.94,0.36,0.18,#N/A,,2,Eddie Lacy,RB,5.001,9.448843,11.67333333
Mike Glennon,QB,0.45,0.65,-0.85,1.76,0.31,0.16,#N/A,,2,T.J. Yeldon,RB,11.801,12.6422854,9.368333333
Nick Foles,QB,0.43,0.58,-0.74,1.59,0.28,0.17,#N/A,,2,Michael Floyd,WR,8.801,10.8643223,12.845
Dan Orlovsky,QB,0.39,0.54,-0.69,1.47,0.2,0.11,#N/A,,2,Jeremy Hill,RB,8.901,10.051636,8.475
Matt Cassel,QB,0.36,0.4,-0.45,1.16,0.32,0.23,#N/A,,2,Marqise Lee,WR,12.501,9.7082834,4.846666667
Trevone Boykin,QB,0.34,0.55,-0.75,1.44,0.15,0.01,#N/A,,2,Kenny Stills,WR,11.901,9.6641866,8.031666667
Tom Savage,QB,0.34,0.49,-0.65,1.32,0.16,0.08,#N/A,,2,Julius Thomas,TE,11.101,10.4173,9.591666667
Chase Daniel,QB,0.29,0.51,-0.72,1.31,0.15,0.02,#N/A,,2,Ryan Mathews,RB,16.501,12.0833166,11.27666667
Sean Mannion,QB,0.28,0.35,-0.43,0.99,0.36,0.16,#N/A,,2,Julian Edelman,WR,14.601,10.636256,12.96
E.J. Manuel,QB,0.26,0.12,0.03,0.5,0.24,0.25,#N/A,,2,Adam Thielen,WR,8.101,8.3990733,4.02
Scott Tolzien,QB,0.26,0.35,-0.45,0.97,0.11,0.09,#N/A,,2,Rishard Matthews,WR,8.001,10.6178272,8.385
Kellen Clemens,QB,0.24,0.24,-0.24,0.73,0.16,0.2,#N/A,,2,Jeremy Langford,RB,9.401,11.932074,15.36166667
Ryan Mallett,QB,0.23,0.22,-0.21,0.67,0.23,0.15,#N/A,,2,Pierre Garcon,WR,4.501,9.75191,9.07
Cody Kessler,QB,0.21,0.24,-0.26,0.69,0.11,0.13,#N/A,,2,Anquan Boldin,WR,14.801,9.7573675,8.028333333
Ryan Nassib,QB,0.21,0.21,-0.22,0.63,0.16,0.15,#N/A,,2,Dennis Pitta,TE,22.201,12.12595,5.601666667
Jared Goff,QB,0.18,0.19,-0.19,0.55,0.36,0.15,#N/A,,2,Cameron Brate,TE,4.601,14.9737,5.028333333
Jacoby Brissett,QB,0.14,0.2,-0.27,0.54,0.3,0,#N/A,,2,Jack Doyle,TE,7.701,7,4.283333333
Derek Anderson,QB,0.12,0.2,-0.28,0.52,0.09,0.03,#N/A,,2,Darren Sproles,RB,6.801,10.6888978,7.985
Matt Schaub,QB,0.1,0.11,-0.12,0.32,0.17,0.1,#N/A,,2,DeSean Jackson,WR,7.001,10.463954,11.33
Matt Moore,QB,0.08,0.08,-0.07,0.24,0.06,0.07,#N/A,,2,Coby Fleener,TE,4.901,11.5564,10.20333333
Brett Hundley,QB,0.07,0.09,-0.11,0.25,0.04,0.01,#N/A,,2,Sammie Coates,WR,12.301,11.9838567,4.37
Luke McCown,QB,0.06,0.07,-0.07,0.19,0.05,0.03,#N/A,,2,Jeremy Kerley,WR,5.901,11.2776233,6.521666667
Drew Stanton,QB,0.05,0.19,-0.34,0.43,0.14,0.04,#N/A,,2,Terrance West,RB,6.701,13.7024418,7.783333333
Zach Mettenberger,QB,0.03,0.06,-0.09,0.15,0.15,0,#N/A,,2,Sterling Shepard,WR,22.701,12.8821467,10.58
Bryce Petty,QB,0,0.01,-0.01,0.02,0.02,0,#N/A,,2,Jeremy Maclin,WR,12.801,9.7858233,12.08166667
Austin Davis,QB,0,0,0,0,0,0,#N/A,,2,Donte Moncrief,WR,1.901,9.2002077,10.75
Christian Hackenberg,QB,0,0,0,0,,0,#N/A,,2,Golden Tate,WR,3.301,10.7064472,13.17666667
David Fales,QB,0,0,0,0,,0,#N/A,,2,Kyle Rudolph,TE,12.101,9.2782,7.803333333
Logan Thomas,QB,0,0,0,0,,0,#N/A,,2,Matt Jones,RB,13.501,11.16824,11.32166667
Aaron Murray,QB,0,0,0,0,,0,#N/A,,2,Eric Ebron,TE,9.301,13.8346,8.161666667
Keith Wenning,QB,0,0,0,0,,0,#N/A,,2,Tavon Austin,WR,10.601,10.2609066,8.248333333
Josh Johnson,QB,0,0,0,0,,0,#N/A,,2,Brandon LaFell,WR,6.901,13.253632,7.49
Matt Simms,QB,0,0,0,0,,0,#N/A,,2,Jimmy Garoppolo,QB,21.361,12.5696081,17.99833333
Brandon Weeden,QB,0,0,0,0,,0,#N/A,,2,Allen Robinson,WR,8.401,12.2238599,14.88166667
Christian Ponder,QB,0,0,0,0,,0,#N/A,,2,Delanie Walker,TE,20.301,13.8346,11.18166667
Jeff Driskel,QB,0,0,0,0,,0,#N/A,,2,Jamison Crowder,WR,15.901,11.831828,7.325
Connor Cook,QB,0,0,0,0,,0,#N/A,,2,Lamar Miller,RB,11.701,14.09362,14.41
Ryan Griffin,QB,0,0,0,0,,0,#N/A,,2,Allen Hurns,WR,11.401,12.3175499,10.51666667
Stephen Morris,QB,0,0,0,0,,0,#N/A,,2,Ryan Fitzpatrick,QB,24.061,13.395648,16.195
Jerrod Johnson,QB,0,0,0,0,,0,#N/A,,2,Mark Ingram,RB,8.701,14.7656894,15.48333333
Cardale Jones,QB,0,0,0,0,,0,#N/A,,2,Tyrell Williams,WR,15.101,12.5101075,8
Alex Tanney,QB,0,0,0,0,,0,#N/A,,2,Alshon Jeffery,WR,14.601,11.627942,15.45666667
David Johnson,RB,17.84,1.75,14.35,21.34,17.76,17.98,14.3893406,,2,Quincy Enunwa,WR,15.201,13.0413525,5.956666667
DeAngelo Williams,RB,17.3,3.77,9.77,24.83,16.91,16.55,17.069512,,2,DeAngelo Williams,RB,23.201,17.069512,17.3
Adrian Peterson,RB,15.49,4.65,6.18,24.8,14.85,15.06,#N/A,,2,Giovani Bernard,RB,28.701,12.849812,11.1
Jeremy Langford,RB,15.36,3.81,7.75,22.97,14.93,13.96,11.932074,,2,Zach Miller,TE,7.301,10.4173,8.765
Mark Ingram,RB,14.71,2.27,10.17,19.26,14.52,15.58,14.7656894,,2,Brock Osweiler,QB,12.421,14.1398032,14.37833333
Latavius Murray,RB,14.5,2.77,8.95,20.05,14.26,13.23,17.6293586,,2,Travis Kelce,TE,8.401,8.1391,11.08166667
Lamar Miller,RB,14.41,3.5,7.4,21.42,13.82,15.42,14.09362,,2,Brandon Marshall,WR,19.101,13.252155,14.92
Matt Forte,RB,14.29,3.09,8.11,20.48,13.93,14.34,16.2445196,,2,Jimmy Graham,TE,7.201,13.26505,7.711666667
Rashad Jennings,RB,14.28,2.06,10.16,18.39,14.12,14.8,16.777326,,2,Trevor Siemian,QB,12.341,17.1779851,12.38333333
Devonta Freeman,RB,14.21,2.09,10.03,18.39,14.03,14.69,17.965668,,2,Todd Gurley,RB,8.001,12.1849292,13.73333333
Doug Martin,RB,14.11,3.53,7.06,21.17,13.72,13.49,10.613144,,2,Jonathan Stewart,RB,3.601,17.491251,12.07833333
Ezekiel Elliott,RB,13.84,3.21,7.41,20.26,13.34,14.74,18.6870994,,2,Travis Benjamin,WR,32.401,13.3064725,12.32833333
Todd Gurley,RB,13.73,3.82,6.09,21.37,13.17,13.46,12.1849292,,2,Latavius Murray,RB,22.101,17.6293586,14.49666667
DeMarco Murray,RB,13.14,1.45,10.24,16.04,13.06,12.76,18.4336056,,2,Jordan Matthews,WR,13.101,13.0976301,12.71166667
Danny Woodhead,RB,13.1,3.66,5.78,20.41,12.54,13.5,#N/A,,2,DeAndre Hopkins,WR,27.301,14.063724,17.56666667
LeSean McCoy,RB,12.38,2.37,7.64,17.11,12.14,12.28,18.10766,,2,Cole Beasley,WR,12.501,14.6393534,6.571666667
Melvin Gordon,RB,12.37,0.78,10.81,13.93,12.35,12.37,18.9968536,,2,Kenny Britt,WR,15.401,12.4560633,7.215
Eddie Lacy,RB,12.29,2.72,6.85,17.73,11.91,12.82,9.448843,,2,Charles Sims,RB,5.801,10.7727766,9.176666667
Jonathan Stewart,RB,12.08,1.98,8.11,16.04,11.89,12.5,17.491251,,2,Eric Decker,WR,27.601,14.3923623,13.28
C.J. Anderson,RB,11.89,5.58,0.73,23.04,13.5,14.4,19.4171214,,2,Isaiah Crowell,RB,24.801,10.9900506,8.208333333
Matt Jones,RB,11.32,1.86,7.6,15.04,11.17,10.76,11.16824,,2,Carson Wentz,QB,12.601,14.7421531,14.42
Ryan Mathews,RB,11.28,2.87,5.53,17.02,10.87,11.32,12.0833166,,2,Case Keenum,QB,10.061,14.2198131,9.295
Justin Forsett,RB,11.21,2.5,6.21,16.2,10.92,11,10.802438,,2,Dez Bryant,WR,20.201,15.1443425,13.43333333
Giovani Bernard,RB,10.9,2.69,5.53,16.27,10.51,11.01,12.849812,,2,Eddie Royal,WR,15.201,13.501742,6.825
Spencer Ware,RB,10.76,4.68,1.4,20.12,9.07,12.7,14.488982,,2,Kelvin Benjamin,WR,32.801,17.2121933,14.115
Arian Foster,RB,10.71,2.95,4.82,16.6,10.2,10.84,8.365388,,2,Frank Gore,RB,15.301,11.0467306,9.738333333
Theo Riddick,RB,10.68,2.94,4.81,16.56,10.15,11.19,15.432726,,2,Alex Smith,QB,5.641,12.0037307,15.04333333
Ameer Abdullah,RB,10.48,2.56,5.35,15.61,10.14,11.3,#N/A,,2,Emmanuel Sanders,WR,6.901,16.7443197,11.54833333
LeGarrette Blount,RB,10.39,2.86,4.67,16.11,9.74,11.54,14.446438,,2,Demaryius Thomas,WR,16.001,16.8380097,13.65833333
Shane Vereen,RB,9.93,2.78,4.37,15.48,9.42,10.4,#N/A,,2,Jordan Reed,TE,12.001,10.4173,13.12333333
Carlos Hyde,RB,9.93,1.52,6.88,12.97,9.8,10.62,16.3213726,,2,Joe Flacco,QB,21.181,17.9390378,17.61666667
Duke Johnson,RB,9.88,2.94,4,15.76,9.3,10.07,#N/A,,2,Will Fuller,WR,17.401,15.075576,9.435
Chris Ivory,RB,9.84,2.78,4.29,15.39,9.38,10.29,#N/A,,2,LeGarrette Blount,RB,21.301,14.446438,11.52166667
Frank Gore,RB,9.74,1.56,6.63,12.85,9.6,9.96,11.0467306,,2,Willie Snead,WR,16.401,15.1910027,12.13166667
T.J. Yeldon,RB,9.37,4.38,0.61,18.13,7.85,10.4,12.6422854,,2,Mike Wallace,WR,20.101,18.0326133,8.53
Thomas Rawls,RB,9.32,1.58,6.15,12.49,9.16,9.9,9.557224,,2,Blaine Gabbert,QB,22.721,18.782304,13.87833333
Charles Sims,RB,9.18,1.74,5.69,12.67,8.98,9.69,10.7727766,,2,Ryan Tannehill,QB,28.061,16.5649389,15.70833333
Jeremy Hill,RB,8.48,1.61,5.25,11.7,8.31,9,10.051636,,2,Jordy Nelson,WR,18.301,12.9347234,15.15333333
Christine Michael,RB,8.24,3.6,1.03,15.44,7.06,8.26,12.75809,,2,Eli Manning,QB,16.321,19.03307,21.59333333
Isaiah Crowell,RB,8.21,1.26,5.68,10.74,8.11,8.09,10.9900506,,2,Randall Cobb,WR,9.301,13.1511473,11.65666667
James White,RB,8.17,3.02,2.13,14.2,7.48,9.12,9.952598,,2,Tyrod Taylor,QB,25.381,19.3122848,16.69333333
Darren Sproles,RB,7.98,1.68,4.62,11.35,7.76,8.65,10.6888978,,2,Michael Thomas,WR,9.601,15.8093567,8.453333333
Terrance West,RB,7.78,2.26,3.26,12.31,7.3,8.87,13.7024418,,2,Davante Adams,WR,4.601,13.4565767,6.895
Chris Thompson,RB,7.77,2.88,2.01,13.53,7.16,7.77,8.07992,,2,Stefon Diggs,WR,36.201,14.4982923,11.53
Tevin Coleman,RB,7.51,2.33,2.85,12.16,6.96,7.97,14.712968,,2,Russell Wilson,QB,11.561,16.364137,20.04666667
Bilal Powell,RB,7.31,3.08,1.15,13.46,8.48,7.88,8.886458,,2,Martellus Bennett,TE,25.401,13.26505,8.063333333
Derrick Henry,RB,6.18,2.05,2.09,10.27,5.62,7.15,8.388283,,2,Jarvis Landry,WR,25.701,16.2627733,14.235
