player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projections,,Week,Name,Pos,DK points,New Predicted,Average Projection
Broncos,DST,10.25,2.46,5.33,15.17,9.97,9.8,#N/A,,6,David Johnson,RB,37.801,14.6548806,19.07833333
Cardinals,DST,9.93,3.85,2.22,17.63,9.2,9.2,#N/A,,6,Benny Cunningham,RB,4.301,5.7949134,4.18
Bears,DST,9.58,6.39,-3.21,22.37,8.04,6.4,#N/A,,6,Dion Sims,TE,2.201,15.54325,5.37
Texans,DST,9.24,3.59,2.06,16.42,8.67,7.5,#N/A,,6,Crockett Gillmore,TE,0.001,10.98685,5.021666667
Titans,DST,9.24,6.69,-4.13,22.61,7.35,7.8,#N/A,,6,Albert Wilson,WR,3.601,5.7394833,4.486666667
Colts,DST,9.04,6.61,-4.18,22.26,7.35,6.6,#N/A,,6,Darren Fells,TE,1.801,14.9737,4.326666667
Panthers,DST,8.94,2.25,4.44,13.44,8.67,7.7,#N/A,,6,Andre Johnson,WR,0.001,6.9125472,7.2
Eagles,DST,8.92,2.57,3.79,14.05,8.62,8,#N/A,,6,Vernon Davis,TE,13.001,10.4173,4.891666667
Chiefs,DST,8.74,4.13,0.47,17.01,7.83,6.1,#N/A,,6,Jaelen Strong,WR,4.601,6.14517,6.051666667
Steelers,DST,8.52,2.79,2.93,14.11,8.16,7.4,#N/A,,6,Kamar Aiken,WR,10.401,4.3922933,6.873333333
Lions,DST,8.4,3.9,0.6,16.2,7.7,6.9,#N/A,,6,Ricardo Louis,WR,11.501,3.8670772,4.24
Patriots,DST,8.38,3.02,2.34,14.42,7.91,7.4,#N/A,,6,Jamaal Charles,RB,12.701,12.2241694,13.49833333
Jets,DST,8.38,4.66,-0.95,17.7,7.2,7.05,#N/A,,6,Breshad Perriman,WR,7.801,5.0350067,7.635
Chargers,DST,8.25,4.66,-1.07,17.57,7.17,6.25,#N/A,,6,Mike Gillislee,RB,12.001,10.232474,5.663333333
Packers,DST,8.2,4.12,-0.05,16.45,7.39,5.8,#N/A,,6,Will Tye,TE,3.501,10.98685,6.015
Ravens,DST,7.98,4.12,-0.26,16.22,7.18,6.3,#N/A,,6,Shaun Draughn,RB,0.201,5.4853438,4.118333333
Jaguars,DST,7.9,4.25,-0.61,16.41,6.97,7.1,#N/A,,6,Brice Butler,WR,9.001,3.47379,7.086666667
Raiders,DST,7.82,3.35,1.12,14.52,7.21,7,#N/A,,6,Larry Donnell,TE,9.401,10.98685,5.36
Bills,DST,7.76,3.25,1.26,14.26,7.23,6,#N/A,,6,Tyler Lockett,WR,5.501,6.3089825,7.283333333
