Rank	EntryId	EntryName	TimeRemaining	Points	Lineup	Contest Size	Contest Format	Buy-in	Notes:	DoubleWinnings	TripleWinning	Number of games included								Player	%Drafted	FPTS
1	810778985	danforth11	0	186.64	RB Kareem Hunt FLEX Adam Thielen WR Ted Ginn Jr. DST Rams  WR Larry Fitzgerald WR Michael Crabtree TE Zach Ertz RB Le'Veon Bell QB Marcus Mariota	143	Quintuple	$1 	Excludes Florida Games			15								Zach Ertz	44.06%	17.3
2	812943529	lawdav101	0	179.76	RB Dalvin Cook WR Stefon Diggs DST Rams  QB Carson Palmer WR Michael Crabtree FLEX LeSean McCoy TE Zach Ertz RB Todd Gurley II WR Corey Coleman	143	Quintuple	$1 												David Johnson	31.47%	14.1
3	812936647	okefunk	0	175.58	WR Adam Thielen DST Rams  WR Michael Crabtree RB LeSean McCoy WR Terrelle Pryor Sr. QB Derek Carr TE Zach Ertz FLEX Todd Gurley II RB Christian McCaffrey	143	Quintuple	$1 												Le'Veon Bell	30.77%	7.7
4	812368224	stevenxd	0	168.96	RB Kareem Hunt WR Tyreek Hill WR Danny Amendola TE Coby Fleener DST Cardinals  QB Carson Palmer FLEX LeSean McCoy RB Le'Veon Bell WR Kevin White	143	Quintuple	$1 												Todd Gurley II	27.97%	20.6
5	810539020	KCchemist	0	163.98	RB Kareem Hunt RB Dalvin Cook FLEX Melvin Gordon DST Rams  TE Delanie Walker QB Derek Carr WR Jamison Crowder WR Martavis Bryant WR Davante Adams	143	Quintuple	$1 												Christian McCaffrey	21.68%	12.5
6	812067083	paulsmith_3	0	158.24	FLEX Ted Ginn Jr. DST Rams  QB Aaron Rodgers WR Torrey Smith WR Antonio Brown WR Marvin Jones Jr. TE Zach Ertz RB David Johnson RB Todd Gurley II	143	Quintuple	$1 												Chris Hogan	17.48%	3.5
7	811283404	themick52	0	157.74	FLEX Stefon Diggs WR Chris Hogan TE Coby Fleener DST Rams  WR Antonio Brown RB Carlos Hyde RB David Johnson WR Allen Robinson QB Jared Goff	143	Quintuple	$1 												Rams 	17.48%	28
8	812183751	puckembucky	0	157.14	WR Ted Ginn Jr. DST Rams  QB Aaron Rodgers FLEX Delanie Walker WR Antonio Brown WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB Todd Gurley II	143	Quintuple	$1 												Julio Jones	16.78%	10.6
9	812399306	jasonwedge	0	153.78	WR Adam Thielen DST Texans  WR Antonio Brown WR Kendall Wright TE Zach Ertz RB Lamar Miller RB David Johnson QB Carson Wentz FLEX Todd Gurley II	143	Quintuple	$1 												Kendall Wright	16.08%	6.4
9	812769157	bigirishfan75	0	153.78	DST Rams  RB LeSean McCoy WR Doug Baldwin FLEX Bilal Powell WR Antonio Brown RB LeGarrette Blount QB Derek Carr TE Zach Ertz WR Zay Jones	143	Quintuple	$1 												Larry Fitzgerald	16.08%	13.4
11	809190595	mrmoz555	0	152.18	WR Adam Thielen DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz	143	Quintuple	$1 												Tom Brady	15.38%	10.68
12	812978993	jmills0016	0	151.08	WR Chris Hogan DST Rams  WR Larry Fitzgerald FLEX LeSean McCoy WR Kendall Wright TE Zach Ertz RB David Johnson QB Carson Wentz RB Todd Gurley II	143	Quintuple	$1 												Jordan Howard	15.38%	15.6
