Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,811682132,ADerr15,0,188.24,RB Kareem Hunt WR Adam Thielen DST Rams  QB Matt Ryan TE Delanie Walker WR Michael Crabtree WR Terrelle Pryor Sr. FLEX Kendall Wright RB David Johnson,,Zach Ertz,51.46%,17.3
2,812943588,lawdav101,0,179.76,RB Dalvin Cook WR Stefon Diggs DST Rams  QB Carson Palmer WR Michael Crabtree FLEX LeSean McCoy TE Zach Ertz RB Todd Gurley II WR Corey Coleman,,Todd Gurley II,39.81%,20.6
3,812201506,just10soccer,0,169.58,DST Rams  WR Larry Fitzgerald WR Antonio Brown WR Kendall Wright TE Zach Ertz FLEX Carlos Hyde RB David Johnson QB Carson Wentz RB Todd Gurley II,,Le'Veon Bell,38.83%,7.7
4,813067555,knovi91,0,164.3,FLEX Tyreek Hill RB Dalvin Cook DST Steelers  QB Eli Manning RB Jonathan Stewart WR Antonio Brown WR Cole Beasley TE Zach Ertz WR Amari Cooper,,David Johnson,33.01%,14.1
5,812356789,Archibus,0,163.76,WR Adam Thielen DST Rams  QB Carson Palmer WR Michael Crabtree RB LeSean McCoy FLEX Bilal Powell TE Zach Ertz RB David Johnson WR Cooper Kupp,,Kendall Wright,27.18%,6.4
6,811969724,OKEEFETA,0,160.94,QB Sam Bradford WR Stefon Diggs TE Coby Fleener DST Redskins  RB Bilal Powell WR Antonio Brown RB Devonta Freeman WR Davante Adams FLEX Jordan Howard,,Larry Fitzgerald,25.24%,13.4
7,811362091,kohlerm76,0,159.94,WR Adam Thielen DST Falcons  QB Matt Ryan RB LeSean McCoy RB Bilal Powell FLEX Antonio Brown TE Zach Ertz WR Davante Adams WR Corey Coleman,,Carlos Hyde,22.33%,13.7
8,810172972,gdaman15,0,159.72,RB Kareem Hunt TE Travis Kelce WR Chris Hogan RB Melvin Gordon DST Steelers  WR Golden Tate FLEX Terrelle Pryor Sr. WR Cole Beasley QB Dak Prescott,,Rams ,19.42%,28
9,812896544,Tr3m3ndous,0,157.74,FLEX C.J. Anderson DST Jaguars  WR Torrey Smith WR Antonio Brown WR Jermaine Kearse TE Zach Ertz RB David Johnson QB Marcus Mariota RB Todd Gurley II,,Michael Crabtree,18.45%,14.3
10,812417602,tiger99,0,157.44,WR Chris Hogan DST Rams  WR Michael Crabtree FLEX LeSean McCoy TE Zach Ertz WR DeAndre Hopkins QB Marcus Mariota RB Todd Gurley II RB Christian McCaffrey,,Chris Hogan,17.48%,3.5
11,812183754,puckembucky,0,157.14,WR Ted Ginn Jr. DST Rams  QB Aaron Rodgers FLEX Delanie Walker WR Antonio Brown WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB Todd Gurley II,,Antonio Brown,17.48%,32.2
12,810799363,nickhunter10,0,153.42,DST Broncos  WR Adam Thielen TE Delanie Walker QB Ben Roethlisberger WR Jeremy Maclin FLEX Pierre Garcon RB Bilal Powell WR Antonio Brown RB Todd Gurley II,,Carson Wentz,15.53%,23.88
13,811874450,tjl5124,0,152.18,WR Adam Thielen DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz,,Steelers ,15.53%,18
13,813124070,mrmoz555,0,152.18,WR Adam Thielen DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz,,Tom Brady,13.59%,10.68
15,813049793,FatGary74,0,149.68,RB C.J. Anderson RB Kareem Hunt QB Tom Brady FLEX James White WR Brandin Cooks WR Chris Hogan DST Falcons  WR Antonio Brown TE Zach Ertz,,Aaron Rodgers,13.59%,20.54
16,812767397,sranchntrucking,0,148.02,RB Dalvin Cook WR Stefon Diggs WR Adam Thielen DST Steelers  QB Ben Roethlisberger FLEX Eddie Lacy RB Le'Veon Bell WR Jordan Matthews TE Jesse James,,Christian McCaffrey,13.59%,12.5
17,812588536,TwineTickler,0,146.58,RB Dalvin Cook QB Tom Brady WR Chris Hogan DST Rams  WR Jordy Nelson WR Larry Fitzgerald TE Zach Ertz RB Todd Gurley II FLEX Christian McCaffrey,,LeSean McCoy,12.62%,23.9
18,812655346,jeffnwhit2,0,144.24,DST Steelers  TE Jason Witten QB Joe Flacco RB Marshawn Lynch WR Michael Crabtree WR Jeremy Maclin WR Antonio Brown FLEX Jordan Reed RB Todd Gurley II,,Doug Baldwin,12.62%,10
19,813042170,TheTracers,0,142.32,RB Dalvin Cook WR Stefon Diggs DST Rams  TE Delanie Walker QB Brian Hoyer WR Doug Baldwin WR Pierre Garcon RB Le'Veon Bell FLEX J.J. Nelson,,Delanie Walker,11.65%,14.6
20,811723578,Bmorg23,0,142.26,DST Rams  QB Carson Palmer WR Doug Baldwin WR Pierre Garcon FLEX Antonio Brown TE Jordan Reed RB Carlos Hyde RB Todd Gurley II WR Zay Jones,,Adam Thielen,11.65%,27.7
21,812987718,CraftyCam,0,141.98,DST Rams  WR Michael Crabtree WR Julio Jones FLEX Marvin Jones Jr. QB Derek Carr WR Amari Cooper RB Todd Gurley II TE Evan Engram RB Christian McCaffrey,,Texans ,10.68%,0
22,810204598,ccshrts,0,141.88,WR Ted Ginn Jr. DST Rams  WR Pierre Garcon WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson QB Carson Wentz FLEX Todd Gurley II,,Jordan Howard,10.68%,15.6
23,812917247,bluminkrzy,0,138.64,QB Sam Bradford RB Dalvin Cook WR Adam Thielen DST Seahawks  WR Michael Crabtree FLEX Doug Baldwin WR A.J. Green RB Isaiah Crowell TE Evan Engram,,Julio Jones,9.71%,10.6
24,809634923,pughhenis,0,137.58,QB Tom Brady RB Mike Gillislee WR Chris Hogan RB Melvin Gordon DST Rams  TE Delanie Walker FLEX LeSean McCoy WR Rishard Matthews WR Martavis Bryant,,Pierre Garcon,8.74%,14.1
25,812101159,Derdy13,0,137.48,DST Eagles  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews QB Carson Wentz FLEX Todd Gurley II,,Davante Adams,8.74%,7.7
26,811980477,bacontacos,0,136.06,DST Rams  QB Carson Palmer WR Pierre Garcon WR John Brown TE Zach Ertz RB Le'Veon Bell RB Devonta Freeman FLEX Todd Gurley II WR Corey Coleman,,Lamar Miller,8.74%,11.6
27,813023276,pdemopo514,0,135.94,DST Steelers  QB Aaron Rodgers WR Larry Fitzgerald RB Marshawn Lynch TE Jimmy Graham FLEX Antonio Brown WR Randall Cobb RB Duke Johnson Jr. WR Corey Coleman,,Dalvin Cook,8.74%,19.7
28,812559436,richmurphy55,0,134.68,RB Kareem Hunt QB Tom Brady WR Ted Ginn Jr. DST Texans  RB LeSean McCoy WR Julio Jones TE Zach Ertz FLEX Robby Anderson WR Taylor Gabriel,,Amari Cooper,7.77%,17.2
29,810341392,Nexus,0,133.78,DST Jaguars  WR Larry Fitzgerald WR Torrey Smith WR Marvin Jones Jr. TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz,,Isaiah Crowell,7.77%,10.6
30,812943036,KHoff,0,133.54,WR Tyreek Hill DST Steelers  QB Matt Ryan WR Larry Fitzgerald WR Marquise Goodwin RB Le'Veon Bell TE Nick Boyle FLEX Todd Gurley II RB Jordan Howard,,Broncos ,7.77%,5
31,810434780,moneyball_is_BS,0,133.48,DST Jaguars  FLEX Mike Tolbert TE Jared Cook WR Doug Baldwin QB Derek Carr WR Alshon Jeffery RB David Johnson WR Seth Roberts RB Ezekiel Elliott,,Derek Carr,7.77%,18.68
31,811813761,borrachocburro,0,133.48,RB Dalvin Cook WR Chris Hogan DST Rams  TE Delanie Walker WR Michael Crabtree WR Kendall Wright QB Derek Carr RB Le'Veon Bell FLEX Todd Gurley II,,Matt Ryan,7.77%,20.94
33,812551396,BigRags505,0,132.38,WR Stefon Diggs DST Eagles  WR Pierre Garcon QB Derek Carr RB Eddie Lacy RB Le'Veon Bell WR Amari Cooper TE Jesse James FLEX Kevin White,,Stefon Diggs,7.77%,27.7
34,813119189,persnickety,0,131.32,WR Keenan Allen DST Eagles  TE Delanie Walker WR Michael Crabtree QB Russell Wilson FLEX Carlos Hyde RB David Johnson WR Corey Coleman RB Christian McCaffrey,,Carson Palmer,7.77%,11.96
35,812829786,Intenzeplay,0,130.38,QB Tom Brady DST Lions  TE Jimmy Graham WR Antonio Brown FLEX Zach Ertz RB David Johnson WR Robby Anderson WR Cooper Kupp RB Christian McCaffrey,,Brandon Marshall,6.80%,2
