Rank	EntryId	EntryName	TimeRemaining	Points	Lineup	Contest Size	Contest Format	Buy-in	Notes:	DoubleWinnings
1	811514734	slinehan4215	0	164.78	RB Dalvin Cook DST Rams  TE Zach Miller WR Michael Crabtree WR Antonio Brown WR Terrelle Pryor Sr. FLEX Isaiah Crowell QB Carson Wentz RB Jordan Howard	62	Triple	$10 		
2	813379293	gandolf313	0	154.68	RB Melvin Gordon DST Rams  RB Bilal Powell WR Antonio Brown WR Julio Jones WR Kendall Wright QB Derek Carr TE Zach Ertz FLEX Carlos Hyde	62	Triple	$10 		
3	812537801	Dinkpiece	0	144.68	WR Chris Hogan DST Rams  WR Larry Fitzgerald RB LeSean McCoy WR Kendall Wright TE Zach Ertz RB Le'Veon Bell QB Carson Wentz FLEX Todd Gurley II	62	Triple	$10 		
4	810928694	dylanlick	0	144.34	WR Stefon Diggs DST Saints  QB Matt Ryan TE Zach Miller WR Michael Crabtree FLEX Carlos Hyde WR Amari Cooper RB Todd Gurley II RB Ezekiel Elliott	62	Triple	$10 		
5	811787872	underjones	0	143.78	DST Rams  WR Pierre Garcon WR Kendall Wright WR Marvin Jones Jr. TE Zach Ertz RB Le'Veon Bell RB David Johnson QB Carson Wentz FLEX Todd Gurley II	62	Triple	$10 		
6	810204280	ThatStunna	0	142.54	WR Adam Thielen QB Drew Brees WR Michael Thomas WR Ted Ginn Jr. DST Ravens  RB Lamar Miller FLEX David Johnson TE C.J. Fiedorowicz RB Todd Gurley II	62	Triple	$10 		
7	812721553	BirdWings	0	141.58	DST Rams  WR Larry Fitzgerald WR Julio Jones WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde QB Carson Wentz RB Todd Gurley II	62	Triple	$10 		
8	812029639	madoublet98	0	139.04	DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews FLEX Todd Gurley II QB Jared Goff	62	Triple	$10 		
8	812872278	youdacao	0	139.04	DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews FLEX Todd Gurley II QB Jared Goff	62	Triple	$10 		
10	812786077	chieflaker14	0	138.72	WR Tyreek Hill RB Dalvin Cook DST Bills  TE Delanie Walker QB Ben Roethlisberger WR Michael Crabtree WR Torrey Smith FLEX Doug Baldwin RB Todd Gurley II	62	Triple	$10 		
