Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Pos,,,,,
RB,Le'Veon Bell,9800,PIT@CLE 01:00PM ET,26.293,PIT,RB,,,,,
RB,David Johnson,9400,ARI@DET 01:00PM ET,26.613,ARI,RB,,,,,
WR,Antonio Brown,8800,PIT@CLE 01:00PM ET,21.456,PIT,WR,,,,,
WR,Julio Jones,8500,ATL@CHI 01:00PM ET,20.094,ATL,WR,,,,,
WR,Odell Beckham Jr.,8300,NYG@DAL 08:30PM ET,18.612,NYG,WR,,,,,
RB,LeSean McCoy,8200,NYJ@BUF 01:00PM ET,21.287,BUF,RB,,,,,
RB,Ezekiel Elliott,8100,NYG@DAL 08:30PM ET,22.731,DAL,RB,,,,,
WR,A.J. Green,8000,BAL@CIN 01:00PM ET,19.84,CIN,WR,,,,,
WR,Mike Evans,7800,Postponed,19.756,TB,WR,,,,,
WR,Brandin Cooks,7700,KC@NE 08:30PM ET,15.956,NE,WR,,,,,
QB,Tom Brady,7600,KC@NE 08:30PM ET,23.086,NE,QB,,,,,
WR,Jordy Nelson,7600,SEA@GB 04:25PM ET,18.983,GB,WR,,,,,
WR,Dez Bryant,7500,NYG@DAL 08:30PM ET,16.229,DAL,WR,,,,,
RB,DeMarco Murray,7400,OAK@TEN 01:00PM ET,19.363,TEN,RB,,,,,
WR,Michael Thomas,7400,NO@MIN 07:10PM ET,17.78,NO,WR,,,,,
QB,Ben Roethlisberger,7300,PIT@CLE 01:00PM ET,18.98,PIT,QB,,,,,
WR,Amari Cooper,7200,OAK@TEN 01:00PM ET,14.547,OAK,WR,,,,,
QB,Drew Brees,7200,NO@MIN 07:10PM ET,23.833,NO,QB,,,,,
QB,Cam Newton,7100,CAR@SF 04:25PM ET,18.617,CAR,QB,,,,,
RB,Devonta Freeman,7000,ATL@CHI 01:00PM ET,18.444,ATL,RB,,,,,
QB,Aaron Rodgers,7000,SEA@GB 04:25PM ET,26.073,GB,QB,,,,,
QB,Matt Ryan,6900,ATL@CHI 01:00PM ET,24.759,ATL,QB,,,,,
WR,T.Y. Hilton,6900,IND@LAR 04:05PM ET,18.238,IND,WR,,,,,
QB,Russell Wilson,6900,SEA@GB 04:25PM ET,18.257,SEA,QB,,,,,
TE,Rob Gronkowski,6800,KC@NE 08:30PM ET,13.25,NE,TE,,,,,
QB,Marcus Mariota,6800,OAK@TEN 01:00PM ET,18.463,TEN,QB,,,,,
QB,Derek Carr,6700,OAK@TEN 01:00PM ET,19.299,OAK,QB,,,,,
WR,Doug Baldwin,6700,SEA@GB 04:25PM ET,17.372,SEA,WR,,,,,
QB,Jameis Winston,6600,Postponed,18.069,TB,QB,,,,,
RB,Melvin Gordon,6600,LAC@DEN 10:20PM ET,20.123,LAC,RB,,,,,
WR,Golden Tate,6500,ARI@DET 01:00PM ET,14.035,DET,WR,,,,,
RB,Jay Ajayi,6500,Postponed,14.738,MIA,RB,,,,,
QB,Andrew Luck,6500,IND@LAR 04:05PM ET,22.713,IND,QB,,,,,
QB,Kirk Cousins,6400,PHI@WAS 01:00PM ET,21.018,WAS,QB,,,,,
RB,Jordan Howard,6300,ATL@CHI 01:00PM ET,16.807,CHI,RB,,,,,
QB,Dak Prescott,6300,NYG@DAL 08:30PM ET,19.427,DAL,QB,,,,,
WR,Demaryius Thomas,6300,LAC@DEN 10:20PM ET,14.644,DEN,WR,,,,,
QB,Tyrod Taylor,6200,NYJ@BUF 01:00PM ET,18.795,BUF,QB,,,,,
WR,Sammy Watkins,6200,IND@LAR 04:05PM ET,10.75,LAR,WR,,,,,
TE,Greg Olsen,6200,CAR@SF 04:25PM ET,13.331,CAR,TE,,,,,
QB,Matthew Stafford,6100,ARI@DET 01:00PM ET,18.44,DET,QB,,,,,
WR,Terrelle Pryor Sr.,6100,PHI@WAS 01:00PM ET,13.903,WAS,WR,,,,,
RB,Darren McFadden,6100,NYG@DAL 08:30PM ET,3.35,DAL,RB,,,,,
WR,Keenan Allen,6100,LAC@DEN 10:20PM ET,12.3,LAC,WR,,,,,
WR,Martavis Bryant,6000,PIT@CLE 01:00PM ET,0,PIT,WR,,,,,
QB,Carson Palmer,6000,ARI@DET 01:00PM ET,18.608,ARI,QB,,,,,
WR,Michael Crabtree,6000,OAK@TEN 01:00PM ET,14.918,OAK,WR,,,,,
RB,Todd Gurley,6000,IND@LAR 04:05PM ET,12.45,LAR,RB,,,,,
WR,Stefon Diggs,6000,NO@MIN 07:10PM ET,15.562,MIN,WR,,,,,
WR,Larry Fitzgerald,5900,ARI@DET 01:00PM ET,15.488,ARI,WR,,,,,
WR,DeAndre Hopkins,5900,JAX@HOU 01:00PM ET,12.978,HOU,WR,,,,,
TE,Jordan Reed,5900,PHI@WAS 01:00PM ET,13.046,WAS,TE,,,,,
WR,Kelvin Benjamin,5900,CAR@SF 04:25PM ET,12.569,CAR,WR,,,,,
QB,Sam Bradford,5900,NO@MIN 07:10PM ET,15.859,MIN,QB,,,,,
RB,Dalvin Cook,5900,NO@MIN 07:10PM ET,0,MIN,RB,,,,,
RB,Kareem Hunt,5800,KC@NE 08:30PM ET,0,KC,RB,,,,,
QB,Jimmy Garoppolo,5800,KC@NE 08:30PM ET,6.163,NE,QB,,,,,
WR,Alshon Jeffery,5800,PHI@WAS 01:00PM ET,12.425,PHI,WR,,,,,
RB,Ty Montgomery,5800,SEA@GB 04:25PM ET,10.183,GB,RB,,,,,
QB,Philip Rivers,5800,LAC@DEN 10:20PM ET,18.934,LAC,QB,,,,,
WR,Tyreek Hill,5700,KC@NE 08:30PM ET,13.324,KC,WR,,,,,
QB,Andy Dalton,5700,BAL@CIN 01:00PM ET,17.728,CIN,QB,,,,,
RB,Leonard Fournette,5700,JAX@HOU 01:00PM ET,0,JAX,RB,,,,,
TE,Travis Kelce,5600,KC@NE 08:30PM ET,14.924,KC,TE,,,,,
WR,Jamison Crowder,5600,PHI@WAS 01:00PM ET,12.969,WAS,WR,,,,,
QB,Eli Manning,5600,NYG@DAL 08:30PM ET,15.955,NYG,QB,,,,,
QB,Joe Flacco,5500,BAL@CIN 01:00PM ET,17.03,BAL,QB,,,,,
RB,Joe Mixon,5500,BAL@CIN 01:00PM ET,0,CIN,RB,,,,,
RB,Derrick Henry,5500,OAK@TEN 01:00PM ET,6.606,TEN,RB,,,,,
QB,Derek Anderson,5500,CAR@SF 04:25PM ET,4.504,CAR,QB,,,,,
QB,Alex Smith,5400,KC@NE 08:30PM ET,15.66,KC,QB,,,,,
RB,Tevin Coleman,5400,ATL@CHI 01:00PM ET,15.093,ATL,RB,,,,,
QB,Jay Cutler,5400,Postponed,10.752,MIA,QB,,,,,
WR,Jarvis Landry,5400,Postponed,15.853,MIA,WR,,,,,
RB,Christian McCaffrey,5400,CAR@SF 04:25PM ET,0,CAR,RB,,,,,
RB,Isaiah Crowell,5300,PIT@CLE 01:00PM ET,13.694,CLE,RB,,,,,
WR,DeVante Parker,5300,Postponed,10.619,MIA,WR,,,,,
RB,Marshawn Lynch,5300,OAK@TEN 01:00PM ET,0,OAK,RB,,,,,
QB,Carson Wentz,5300,PHI@WAS 01:00PM ET,15.186,PHI,QB,,,,,
WR,Randall Cobb,5300,SEA@GB 04:25PM ET,13.519,GB,WR,,,,,
WR,Pierre Garcon,5300,CAR@SF 04:25PM ET,12.756,SF,WR,,,,,
RB,Danny Woodhead,5200,BAL@CIN 01:00PM ET,13.55,BAL,RB,,,,,
WR,Allen Robinson,5200,JAX@HOU 01:00PM ET,12.831,JAX,WR,,,,,
QB,Colt McCoy,5200,PHI@WAS 01:00PM ET,0,WAS,QB,,,,,
WR,Davante Adams,5200,SEA@GB 04:25PM ET,16.442,GB,WR,,,,,
WR,Emmanuel Sanders,5200,LAC@DEN 10:20PM ET,13.85,DEN,WR,,,,,
RB,Lamar Miller,5100,JAX@HOU 01:00PM ET,14.394,HOU,RB,,,,,
TE,Jimmy Graham,5100,SEA@GB 04:25PM ET,12.122,SEA,TE,,,,,
QB,Brian Hoyer,5100,CAR@SF 04:25PM ET,15.433,SF,QB,,,,,
WR,Brandon Marshall,5100,NYG@DAL 08:30PM ET,10.787,NYG,WR,,,,,
WR,Cameron Meredith,5000,ATL@CHI 01:00PM ET,13.82,CHI,WR,,,,,
WR,Jeremy Maclin,5000,BAL@CIN 01:00PM ET,8.792,BAL,WR,,,,,
QB,Ryan Tannehill,5000,Postponed,16.246,MIA,QB,,,,,
WR,Eric Decker,5000,OAK@TEN 01:00PM ET,14.467,TEN,WR,,,,,
WR,Donte Moncrief,5000,IND@LAR 04:05PM ET,11.4,IND,WR,,,,,
RB,Eddie Lacy,5000,SEA@GB 04:25PM ET,9.16,SEA,RB,,,,,
RB,Jonathan Stewart,5000,CAR@SF 04:25PM ET,11.646,CAR,RB,,,,,
QB,Trevor Siemian,5000,LAC@DEN 10:20PM ET,15.196,DEN,QB,,,,,
RB,Bilal Powell,4900,NYJ@BUF 01:00PM ET,12.75,NYJ,RB,,,,,
QB,Mike Glennon,4900,ATL@CHI 01:00PM ET,4.5,CHI,QB,,,,,
