Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Julio Jones,9300,ATL@DET 01:00PM ET,14.7,ATL
WR,Antonio Brown,9000,PIT@CHI 01:00PM ET,21.7,PIT
RB,Le'Veon Bell,8800,PIT@CHI 01:00PM ET,10.4,PIT
WR,Odell Beckham Jr.,8600,NYG@PHI 01:00PM ET,7.6,NYG
WR,A.J. Green,8100,CIN@GB 04:25PM ET,12.05,CIN
RB,Kareem Hunt,8000,KC@LAC 04:25PM ET,37.75,KC
WR,Jordy Nelson,7800,CIN@GB 04:25PM ET,10.45,GB
QB,Tom Brady,7700,HOU@NE 01:00PM ET,22.23,NE
RB,Jay Ajayi,7700,MIA@NYJ 01:00PM ET,17.6,MIA
RB,Melvin Gordon,7600,KC@LAC 04:25PM ET,19.85,LAC
WR,Mike Evans,7500,TB@MIN 01:00PM ET,22.3,TB
WR,Michael Crabtree,7400,OAK@WAS 08:30PM ET,23.15,OAK
WR,Brandin Cooks,7300,HOU@NE 01:00PM ET,9.05,NE
QB,Aaron Rodgers,7300,CIN@GB 04:25PM ET,22.03,GB
QB,Drew Brees,7200,NO@CAR 01:00PM ET,20.44,NO
WR,Keenan Allen,7200,KC@LAC 04:25PM ET,18.25,LAC
QB,Matt Ryan,7100,ATL@DET 01:00PM ET,17.91,ATL
WR,Amari Cooper,7100,OAK@WAS 08:30PM ET,12.25,OAK
RB,LeSean McCoy,7000,DEN@BUF 01:00PM ET,17.1,BUF
WR,Michael Thomas,7000,NO@CAR 01:00PM ET,11.7,NO
WR,Golden Tate,6900,ATL@DET 01:00PM ET,15.45,DET
RB,Ty Montgomery,6900,CIN@GB 04:25PM ET,24.15,GB
TE,Rob Gronkowski,6800,HOU@NE 01:00PM ET,15.95,NE
WR,Jarvis Landry,6800,MIA@NYJ 01:00PM ET,20.1,MIA
QB,Derek Carr,6800,OAK@WAS 08:30PM ET,19.94,OAK
WR,Kelvin Benjamin,6700,NO@CAR 01:00PM ET,8.6,CAR
RB,Devonta Freeman,6700,ATL@DET 01:00PM ET,17.95,ATL
QB,Cam Newton,6600,NO@CAR 01:00PM ET,12.98,CAR
WR,Tyreek Hill,6600,KC@LAC 04:25PM ET,19.35,KC
WR,Stefon Diggs,6500,TB@MIN 01:00PM ET,16.4,MIN
WR,Doug Baldwin,6400,SEA@TEN 04:05PM ET,10.2,SEA
QB,Philip Rivers,6400,KC@LAC 04:25PM ET,19.46,LAC
WR,DeVante Parker,6300,MIA@NYJ 01:00PM ET,12.5,MIA
QB,Russell Wilson,6300,SEA@TEN 04:05PM ET,12.32,SEA
QB,Ben Roethlisberger,6200,PIT@CHI 01:00PM ET,17.12,PIT
QB,Matthew Stafford,6200,ATL@DET 01:00PM ET,21.13,DET
WR,DeAndre Hopkins,6200,HOU@NE 01:00PM ET,16.4,HOU
RB,Christian McCaffrey,6100,NO@CAR 01:00PM ET,10.45,CAR
WR,Chris Hogan,6100,HOU@NE 01:00PM ET,11.15,NE
QB,Jay Cutler,6100,MIA@NYJ 01:00PM ET,13.1,MIA
QB,Kirk Cousins,6100,OAK@WAS 08:30PM ET,12.73,WAS
QB,Jameis Winston,6000,TB@MIN 01:00PM ET,12.46,TB
QB,Marcus Mariota,6000,SEA@TEN 04:05PM ET,16.42,TEN
WR,Randall Cobb,6000,CIN@GB 04:25PM ET,15.25,GB
TE,Travis Kelce,6000,KC@LAC 04:25PM ET,18.35,KC
RB,Marshawn Lynch,6000,OAK@WAS 08:30PM ET,11.05,OAK
WR,Demaryius Thomas,5900,DEN@BUF 01:00PM ET,12.4,DEN
RB,Dalvin Cook,5900,TB@MIN 01:00PM ET,14.05,MIN
QB,Carson Wentz,5900,NYG@PHI 01:00PM ET,26.35,PHI
WR,Alshon Jeffery,5900,NYG@PHI 01:00PM ET,15.5,PHI
QB,Alex Smith,5900,KC@LAC 04:25PM ET,25.08,KC
WR,Terrelle Pryor Sr.,5900,OAK@WAS 08:30PM ET,8.85,WAS
RB,C.J. Anderson,5800,DEN@BUF 01:00PM ET,21.6,DEN
WR,Emmanuel Sanders,5800,DEN@BUF 01:00PM ET,14.9,DEN
QB,Andrew Luck,5800,CLE@IND 01:00PM ET,0,IND
WR,Martavis Bryant,5700,PIT@CHI 01:00PM ET,11.1,PIT
QB,Sam Bradford,5700,TB@MIN 01:00PM ET,28.54,MIN
WR,Adam Thielen,5700,TB@MIN 01:00PM ET,18.05,MIN
RB,Mike Gillislee,5700,HOU@NE 01:00PM ET,17.7,NE
RB,Tarik Cohen,5600,PIT@CHI 01:00PM ET,19.55,CHI
QB,Jimmy Garoppolo,5600,HOU@NE 01:00PM ET,0,NE
WR,Davante Adams,5600,CIN@GB 04:25PM ET,15.8,GB
QB,Trevor Siemian,5500,DEN@BUF 01:00PM ET,24.15,DEN
RB,DeMarco Murray,5500,SEA@TEN 04:05PM ET,5.9,TEN
QB,Derek Anderson,5400,NO@CAR 01:00PM ET,0,CAR
RB,James White,5400,HOU@NE 01:00PM ET,13.7,NE
WR,Danny Amendola,5400,HOU@NE 01:00PM ET,19,NE
TE,Jordan Reed,5400,OAK@WAS 08:30PM ET,9.7,WAS
RB,Tevin Coleman,5300,ATL@DET 01:00PM ET,11.15,ATL
QB,Eli Manning,5300,NYG@PHI 01:00PM ET,10.13,NYG
RB,Derrick Henry,5300,SEA@TEN 04:05PM ET,8.85,TEN
WR,T.Y. Hilton,5200,CLE@IND 01:00PM ET,8.3,IND
RB,Theo Riddick,5100,ATL@DET 01:00PM ET,10.65,DET
QB,Andy Dalton,5100,CIN@GB 04:25PM ET,5.73,CIN
QB,DeShone Kizer,5000,CLE@IND 01:00PM ET,12.73,CLE
RB,Lamar Miller,5000,HOU@NE 01:00PM ET,11.65,HOU
WR,Brandon Marshall,5000,NYG@PHI 01:00PM ET,2.35,NYG
TE,Zach Ertz,5000,NYG@PHI 01:00PM ET,16,PHI
QB,Tyrod Taylor,4900,DEN@BUF 01:00PM ET,15.13,BUF
TE,Greg Olsen,4900,NO@CAR 01:00PM ET,2.9,CAR
RB,Jordan Howard,4900,PIT@CHI 01:00PM ET,8.15,CHI
RB,Chris Carson,4900,SEA@TEN 04:05PM ET,8.45,SEA
WR,Jamison Crowder,4900,OAK@WAS 08:30PM ET,6.05,WAS
RB,Isaiah Crowell,4800,CLE@IND 01:00PM ET,7.15,CLE
WR,Corey Coleman,4800,CLE@IND 01:00PM ET,9.1,CLE
QB,Jacoby Brissett,4800,CLE@IND 01:00PM ET,5.94,IND
RB,Jonathan Stewart,4700,NO@CAR 01:00PM ET,10.1,CAR
QB,Mike Glennon,4700,PIT@CHI 01:00PM ET,14.28,CHI
RB,Ameer Abdullah,4700,ATL@DET 01:00PM ET,7.85,DET
QB,Deshaun Watson,4700,HOU@NE 01:00PM ET,12.69,HOU
WR,Sterling Shepard,4700,NYG@PHI 01:00PM ET,8.5,NYG
QB,AJ McCarron,4700,CIN@GB 04:25PM ET,0,CIN
QB,Patrick Mahomes II,4700,KC@LAC 04:25PM ET,0,KC
QB,Colt McCoy,4700,OAK@WAS 08:30PM ET,0,WAS
QB,Chase Daniel,4600,NO@CAR 01:00PM ET,0,NO
WR,Kenny Golladay,4600,ATL@DET 01:00PM ET,12.35,DET
QB,Kevin Hogan,4600,CLE@IND 01:00PM ET,8.22,CLE
RB,Jacquizz Rodgers,4600,TB@MIN 01:00PM ET,12.7,TB
WR,DeSean Jackson,4600,TB@MIN 01:00PM ET,6.9,TB
WR,Jermaine Kearse,4600,MIA@NYJ 01:00PM ET,17.65,NYJ
TE,Jimmy Graham,4600,SEA@TEN 04:05PM ET,2.45,SEA
WR,Tyrell Williams,4600,KC@LAC 04:25PM ET,9.9,LAC
RB,Mark Ingram,4500,NO@CAR 01:00PM ET,11.85,NO
WR,Willie Snead,4500,NO@CAR 01:00PM ET,0,NO
QB,Mitchell Trubisky,4500,PIT@CHI 01:00PM ET,0,CHI
QB,Landry Jones,4500,PIT@CHI 01:00PM ET,0,PIT
RB,James Conner,4500,PIT@CHI 01:00PM ET,1,PIT
WR,Mohamed Sanu,4500,ATL@DET 01:00PM ET,12.1,ATL
QB,Case Keenum,4500,TB@MIN 01:00PM ET,6.68,MIN
RB,Doug Martin,4500,TB@MIN 01:00PM ET,0,TB
QB,Matt Moore,4500,MIA@NYJ 01:00PM ET,0,MIA
QB,Josh McCown,4500,MIA@NYJ 01:00PM ET,14.11,NYJ
QB,Geno Smith,4500,NYG@PHI 01:00PM ET,0,NYG
RB,Joe Mixon,4500,CIN@GB 04:25PM ET,5.25,CIN
QB,Cardale Jones,4500,KC@LAC 04:25PM ET,0,LAC
RB,Samaje Perine,4500,OAK@WAS 08:30PM ET,3.85,WAS
RB,Chris Thompson,4500,OAK@WAS 08:30PM ET,20.6,WAS
QB,Ryan Fitzpatrick,4400,TB@MIN 01:00PM ET,-0.2,TB
QB,Tom Savage,4400,HOU@NE 01:00PM ET,0.48,HOU
WR,Kenny Stills,4400,MIA@NYJ 01:00PM ET,11.7,MIA
TE,Delanie Walker,4400,SEA@TEN 04:05PM ET,15.4,TEN
RB,Jamaal Williams,4400,CIN@GB 04:25PM ET,1.5,GB
WR,Kendall Wright,4300,PIT@CHI 01:00PM ET,10.15,CHI
QB,Matt Schaub,4300,ATL@DET 01:00PM ET,0,ATL
QB,Scott Tolzien,4300,CLE@IND 01:00PM ET,3.32,IND
RB,Matt Forte,4300,MIA@NYJ 01:00PM ET,9.85,NYJ
QB,Nick Foles,4300,NYG@PHI 01:00PM ET,0,PHI
QB,Matt Cassel,4300,SEA@TEN 04:05PM ET,0,TEN
QB,Austin Davis,4300,SEA@TEN 04:05PM ET,0,SEA
WR,Tyler Lockett,4300,SEA@TEN 04:05PM ET,7.1,SEA
QB,Connor Cook,4300,OAK@WAS 08:30PM ET,0,OAK
QB,Brock Osweiler,4200,DEN@BUF 01:00PM ET,0,DEN
RB,Jamaal Charles,4200,DEN@BUF 01:00PM ET,4.6,DEN
WR,Devin Funchess,4200,NO@CAR 01:00PM ET,7.4,CAR
QB,Jake Rudock,4200,ATL@DET 01:00PM ET,0,DET
WR,Marvin Jones Jr.,4200,ATL@DET 01:00PM ET,10.7,DET
RB,Duke Johnson Jr.,4200,CLE@IND 01:00PM ET,7.5,CLE
RB,Frank Gore,4200,CLE@IND 01:00PM ET,8.4,IND
TE,Kyle Rudolph,4200,TB@MIN 01:00PM ET,10.05,MIN
RB,Bilal Powell,4200,MIA@NYJ 01:00PM ET,5.1,NYJ
WR,Nelson Agholor,4200,NYG@PHI 01:00PM ET,14.25,PHI
WR,Rishard Matthews,4200,SEA@TEN 04:05PM ET,9.7,TEN
QB,Brett Hundley,4200,CIN@GB 04:25PM ET,0,GB
RB,Rob Kelley,4200,OAK@WAS 08:30PM ET,5.4,WAS
WR,Ted Ginn Jr.,4100,NO@CAR 01:00PM ET,7.6,NO
TE,Coby Fleener,4100,NO@CAR 01:00PM ET,14.35,NO
WR,Kenny Britt,4100,CLE@IND 01:00PM ET,1.75,CLE
QB,Christian Hackenberg,4100,MIA@NYJ 01:00PM ET,0,NYJ
WR,Paul Richardson,4100,SEA@TEN 04:05PM ET,9.9,SEA
RB,Jalen Richard,4100,OAK@WAS 08:30PM ET,11.35,OAK
QB,Joe Webb,4000,DEN@BUF 01:00PM ET,0,BUF
QB,Nathan Peterman,4000,DEN@BUF 01:00PM ET,0,BUF
QB,Paxton Lynch,4000,DEN@BUF 01:00PM ET,0,DEN
QB,Taysom Hill,4000,NO@CAR 01:00PM ET,0,NO
RB,Alvin Kamara,4000,NO@CAR 01:00PM ET,8.1,NO
QB,Brad Kaaya,4000,NO@CAR 01:00PM ET,0,CAR
QB,Mark Sanchez,4000,PIT@CHI 01:00PM ET,0,CHI
QB,Joshua Dobbs,4000,PIT@CHI 01:00PM ET,0,PIT
WR,Taylor Gabriel,4000,ATL@DET 01:00PM ET,5.35,ATL
QB,Cody Kessler,4000,CLE@IND 01:00PM ET,0,CLE
WR,Rashard Higgins,4000,CLE@IND 01:00PM ET,16.9,CLE
WR,Josh Gordon,4000,CLE@IND 01:00PM ET,0,CLE
QB,Kyle Sloter,4000,TB@MIN 01:00PM ET,0,MIN
RB,Jerick McKinnon,4000,TB@MIN 01:00PM ET,6.1,MIN
RB,D'Onta Foreman,4000,HOU@NE 01:00PM ET,2.2,HOU
RB,Rex Burkhead,4000,HOU@NE 01:00PM ET,8.35,NE
WR,Phillip Dorsett,4000,HOU@NE 01:00PM ET,5.25,NE
RB,Kenyan Drake,4000,MIA@NYJ 01:00PM ET,-0.3,MIA
QB,Bryce Petty,4000,MIA@NYJ 01:00PM ET,0,NYJ
QB,Davis Webb,4000,NYG@PHI 01:00PM ET,0,NYG
RB,Shane Vereen,4000,NYG@PHI 01:00PM ET,11.3,NYG
WR,Eric Decker,4000,SEA@TEN 04:05PM ET,5.1,TEN
