"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9300,"ATL@DET 01:00PM ET",14.700,"ATL"
"WR","Antonio Brown",9000,"PIT@CHI 01:00PM ET",21.700,"PIT"
"RB","Le'Veon Bell",8800,"PIT@CHI 01:00PM ET",10.400,"PIT"
"WR","Odell Beckham Jr.",8600,"NYG@PHI 01:00PM ET",7.600,"NYG"
"RB","Ezekiel Elliott",8300,"DAL@ARI 08:30PM ET",14.100,"DAL"
"WR","A.J. Green",8100,"CIN@GB 04:25PM ET",12.050,"CIN"
"RB","Kareem Hunt",8000,"KC@LAC 04:25PM ET",37.750,"KC"
"WR","Jordy Nelson",7800,"CIN@GB 04:25PM ET",10.450,"GB"
"QB","Tom Brady",7700,"HOU@NE 01:00PM ET",22.230,"NE"
"RB","Jay Ajayi",7700,"MIA@NYJ 01:00PM ET",17.600,"MIA"
"RB","Melvin Gordon",7600,"KC@LAC 04:25PM ET",19.850,"LAC"
"WR","Mike Evans",7500,"TB@MIN 01:00PM ET",22.300,"TB"
"WR","Michael Crabtree",7400,"OAK@WAS 08:30PM ET",23.150,"OAK"
"WR","Brandin Cooks",7300,"HOU@NE 01:00PM ET",9.050,"NE"
"QB","Aaron Rodgers",7300,"CIN@GB 04:25PM ET",22.030,"GB"
"QB","Drew Brees",7200,"NO@CAR 01:00PM ET",20.440,"NO"
"WR","Keenan Allen",7200,"KC@LAC 04:25PM ET",18.250,"LAC"
"QB","Matt Ryan",7100,"ATL@DET 01:00PM ET",17.910,"ATL"
"WR","Amari Cooper",7100,"OAK@WAS 08:30PM ET",12.250,"OAK"
"RB","LeSean McCoy",7000,"DEN@BUF 01:00PM ET",17.100,"BUF"
"WR","Michael Thomas",7000,"NO@CAR 01:00PM ET",11.700,"NO"
"WR","Golden Tate",6900,"ATL@DET 01:00PM ET",15.450,"DET"
"RB","Ty Montgomery",6900,"CIN@GB 04:25PM ET",24.150,"GB"
"RB","Todd Gurley II",6800,"LAR@SF 08:25PM ET",24.100,"LAR"
"TE","Rob Gronkowski",6800,"HOU@NE 01:00PM ET",15.950,"NE"
"WR","Jarvis Landry",6800,"MIA@NYJ 01:00PM ET",20.100,"MIA"
"QB","Derek Carr",6800,"OAK@WAS 08:30PM ET",19.940,"OAK"
"WR","Dez Bryant",6800,"DAL@ARI 08:30PM ET",12.600,"DAL"
"WR","Kelvin Benjamin",6700,"NO@CAR 01:00PM ET",8.600,"CAR"
"RB","Devonta Freeman",6700,"ATL@DET 01:00PM ET",17.950,"ATL"
"QB","Cam Newton",6600,"NO@CAR 01:00PM ET",12.980,"CAR"
"WR","Tyreek Hill",6600,"KC@LAC 04:25PM ET",19.350,"KC"
"WR","Stefon Diggs",6500,"TB@MIN 01:00PM ET",16.400,"MIN"
"WR","Doug Baldwin",6400,"SEA@TEN 04:05PM ET",10.200,"SEA"
"QB","Philip Rivers",6400,"KC@LAC 04:25PM ET",19.460,"LAC"
"WR","Larry Fitzgerald",6400,"DAL@ARI 08:30PM ET",9.250,"ARI"
"WR","DeVante Parker",6300,"MIA@NYJ 01:00PM ET",12.500,"MIA"
"QB","Russell Wilson",6300,"SEA@TEN 04:05PM ET",12.320,"SEA"
"QB","Ben Roethlisberger",6200,"PIT@CHI 01:00PM ET",17.120,"PIT"
"QB","Matthew Stafford",6200,"ATL@DET 01:00PM ET",21.130,"DET"
"WR","DeAndre Hopkins",6200,"HOU@NE 01:00PM ET",16.400,"HOU"
"RB","Christian McCaffrey",6100,"NO@CAR 01:00PM ET",10.450,"CAR"
"WR","Chris Hogan",6100,"HOU@NE 01:00PM ET",11.150,"NE"
"QB","Jay Cutler",6100,"MIA@NYJ 01:00PM ET",13.100,"MIA"
"QB","Kirk Cousins",6100,"OAK@WAS 08:30PM ET",12.730,"WAS"
"RB","Leonard Fournette",6000,"BAL@JAX 09:30AM ET",19.250,"JAX"
"QB","Jameis Winston",6000,"TB@MIN 01:00PM ET",12.460,"TB"
"QB","Marcus Mariota",6000,"SEA@TEN 04:05PM ET",16.420,"TEN"
"WR","Randall Cobb",6000,"CIN@GB 04:25PM ET",15.250,"GB"
"TE","Travis Kelce",6000,"KC@LAC 04:25PM ET",18.350,"KC"
"RB","Marshawn Lynch",6000,"OAK@WAS 08:30PM ET",11.050,"OAK"
"QB","Carson Palmer",6000,"DAL@ARI 08:30PM ET",15.920,"ARI"
"WR","Demaryius Thomas",5900,"DEN@BUF 01:00PM ET",12.400,"DEN"
"RB","Dalvin Cook",5900,"TB@MIN 01:00PM ET",14.050,"MIN"
"WR","Alshon Jeffery",5900,"NYG@PHI 01:00PM ET",15.500,"PHI"
"QB","Carson Wentz",5900,"NYG@PHI 01:00PM ET",26.350,"PHI"
"QB","Alex Smith",5900,"KC@LAC 04:25PM ET",25.080,"KC"
"WR","Terrelle Pryor Sr.",5900,"OAK@WAS 08:30PM ET",8.850,"WAS"
"WR","Emmanuel Sanders",5800,"DEN@BUF 01:00PM ET",14.900,"DEN"
"RB","C.J. Anderson",5800,"DEN@BUF 01:00PM ET",21.600,"DEN"
"QB","Andrew Luck",5800,"CLE@IND 01:00PM ET",0,"IND"
"QB","Dak Prescott",5800,"DAL@ARI 08:30PM ET",17.520,"DAL"
"WR","Martavis Bryant",5700,"PIT@CHI 01:00PM ET",11.100,"PIT"
"QB","Sam Bradford",5700,"TB@MIN 01:00PM ET",28.540,"MIN"
"WR","Adam Thielen",5700,"TB@MIN 01:00PM ET",18.050,"MIN"
"RB","Mike Gillislee",5700,"HOU@NE 01:00PM ET",17.700,"NE"
"RB","Tarik Cohen",5600,"PIT@CHI 01:00PM ET",19.550,"CHI"
"QB","Jimmy Garoppolo",5600,"HOU@NE 01:00PM ET",0,"NE"
"WR","Davante Adams",5600,"CIN@GB 04:25PM ET",15.800,"GB"
"WR","Sammy Watkins",5500,"LAR@SF 08:25PM ET",7.900,"LAR"
"QB","Trevor Siemian",5500,"DEN@BUF 01:00PM ET",24.150,"DEN"
"RB","DeMarco Murray",5500,"SEA@TEN 04:05PM ET",5.900,"TEN"
"QB","Derek Anderson",5400,"NO@CAR 01:00PM ET",0,"CAR"
"WR","Danny Amendola",5400,"HOU@NE 01:00PM ET",19.000,"NE"
"RB","James White",5400,"HOU@NE 01:00PM ET",13.700,"NE"
"TE","Jordan Reed",5400,"OAK@WAS 08:30PM ET",9.700,"WAS"
"WR","Pierre Garcon",5300,"LAR@SF 08:25PM ET",9.850,"SF"
"QB","Joe Flacco",5300,"BAL@JAX 09:30AM ET",11.710,"BAL"
"RB","Tevin Coleman",5300,"ATL@DET 01:00PM ET",11.150,"ATL"
"QB","Eli Manning",5300,"NYG@PHI 01:00PM ET",10.130,"NYG"
"RB","Derrick Henry",5300,"SEA@TEN 04:05PM ET",8.850,"TEN"
"WR","J.J. Nelson",5300,"DAL@ARI 08:30PM ET",20.650,"ARI"
