"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",9300,"PIT@BAL 01:00PM ET",24.467,"PIT"
"WR","Odell Beckham Jr.",8900,"NYG@TB 04:05PM ET",18.250,"NYG"
"WR","Julio Jones",8800,"BUF@ATL 01:00PM ET",15.167,"ATL"
"RB","Le'Veon Bell",8700,"PIT@BAL 01:00PM ET",14.200,"PIT"
"WR","A.J. Green",8600,"CIN@CLE 01:00PM ET",18.067,"CIN"
"RB","LeSean McCoy",8400,"BUF@ATL 01:00PM ET",16.033,"BUF"
"RB","Ezekiel Elliott",8200,"LAR@DAL 01:00PM ET",15.533,"DAL"
"QB","Tom Brady",8000,"CAR@NE 01:00PM ET",28.060,"NE"
"RB","Todd Gurley II",7800,"LAR@DAL 01:00PM ET",29.700,"LAR"
"WR","Brandin Cooks",7600,"CAR@NE 01:00PM ET",17.733,"NE"
"QB","Matt Ryan",7400,"BUF@ATL 01:00PM ET",17.493,"ATL"
"WR","Mike Evans",7400,"NYG@TB 04:05PM ET",18.000,"TB"
"RB","Devonta Freeman",7300,"BUF@ATL 01:00PM ET",20.567,"ATL"
"WR","Keenan Allen",7200,"PHI@LAC 04:05PM ET",15.867,"LAC"
"WR","Stefon Diggs",7100,"DET@MIN 01:00PM ET",24.367,"MIN"
"RB","Melvin Gordon",7000,"PHI@LAC 04:05PM ET",17.867,"LAC"
"RB","Christian McCaffrey",6800,"CAR@NE 01:00PM ET",14.867,"CAR"
"RB","Leonard Fournette",6700,"JAX@NYJ 01:00PM ET",18.500,"JAX"
"TE","Rob Gronkowski",6600,"CAR@NE 01:00PM ET",18.267,"NE"
"RB","Carlos Hyde",6600,"SF@ARI 04:05PM ET",19.467,"SF"
"QB","Carson Wentz",6600,"PHI@LAC 04:05PM ET",21.980,"PHI"
"WR","Dez Bryant",6500,"LAR@DAL 01:00PM ET",11.467,"DAL"
"RB","Dalvin Cook",6500,"DET@MIN 01:00PM ET",18.667,"MIN"
"WR","DeAndre Hopkins",6400,"TEN@HOU 01:00PM ET",15.800,"HOU"
"QB","Marcus Mariota",6400,"TEN@HOU 01:00PM ET",17.513,"TEN"
"WR","Golden Tate",6300,"DET@MIN 01:00PM ET",16.567,"DET"
"RB","David Johnson",6300,"SF@ARI 04:05PM ET",14.100,"ARI"
"TE","Zach Ertz",6300,"PHI@LAC 04:05PM ET",16.833,"PHI"
