Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,852089974,peloubet,0,170.84,QB Deshaun Watson WR Will Fuller V RB Kareem Hunt DST Dolphins  FLEX Bilal Powell WR Jermaine Kearse RB Le'Veon Bell TE Cameron Brate WR Nelson Agholor,,Jameis Winston,58.25%,21.46
2,853624999,jlebrun208,0,165.54,QB Deshaun Watson WR DeAndre Hopkins DST Steelers  TE Delanie Walker FLEX Marshawn Lynch WR Jaron Brown WR Chris Hogan RB Duke Johnson Jr. RB Leonard Fournette,,Le'Veon Bell,50.49%,19.3
3,852613938,bwells00,0,165.36,DST Dolphins  RB Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Mike Evans,49.51%,9.9
4,852679603,GolfGalaxy,0,163.56,DST Eagles  FLEX Dez Bryant WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon RB Isaiah Crowell QB Jameis Winston,,Austin Seferian-Jenkins,31.07%,14.9
5,853629037,mukwa33,0,162.24,QB Deshaun Watson WR DeAndre Hopkins WR Will Fuller V DST Lions  TE Delanie Walker WR Danny Amendola RB Le'Veon Bell FLEX Javorius Allen RB Duke Johnson Jr.,,Dez Bryant,29.13%,16.2
6,853279447,Netlink,0,158.84,QB Deshaun Watson WR Will Fuller V RB Kareem Hunt WR Adam Thielen DST Lions  WR DeSean Jackson FLEX T.Y. Hilton TE Cameron Brate RB Jay Ajayi,,Todd Gurley II,28.16%,6
7,853305990,ADerr15,0,157.82,DST Ravens  QB Tom Brady WR DeSean Jackson WR Dez Bryant FLEX Pierre Garcon WR Chris Hogan RB Melvin Gordon RB Duke Johnson Jr. TE Evan Engram,,Chris Hogan,27.18%,21.4
8,853351574,BoostedRS,0,157.76,DST Steelers  WR Danny Amendola FLEX Dez Bryant TE Cameron Brate RB James White WR Chris Hogan WR Mike Evans RB Melvin Gordon QB Jameis Winston,,Adam Humphries,25.24%,8.1
9,853428194,jlew126,0,157.06,DST Ravens  WR DeSean Jackson FLEX Dez Bryant WR Torrey Smith RB Le'Veon Bell TE Austin Seferian-Jenkins WR DeVante Parker RB Melvin Gordon QB Jameis Winston,,Danny Amendola,22.33%,15.7
10,853479523,Winner476,0,155.56,DST Jets  RB Doug Martin WR Jaron Brown WR Randall Cobb WR T.Y. Hilton TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston FLEX Ezekiel Elliott,,Bills ,21.36%,8
11,851603893,ZekeFreaks,0,154.92,WR Will Fuller V WR Tyreek Hill DST Eagles  QB Tom Brady TE Cameron Brate WR Chris Hogan FLEX Sterling Shepard RB Leonard Fournette RB Christian McCaffrey,,James White,19.42%,13
12,852369848,Jessyjamesb11,0,154.54,QB Deshaun Watson WR Will Fuller V DST Bills  WR Larry Fitzgerald FLEX Le'Veon Bell TE Cameron Brate WR DeVante Parker RB J.D. McKissic RB Leonard Fournette,,T.Y. Hilton,18.45%,27.7
13,853340773,JTDixon444,0,153.66,DST Eagles  WR Pierre Garcon FLEX Andre Ellington RB Le'Veon Bell TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries RB Melvin Gordon QB Jameis Winston,,Cameron Brate,17.48%,17.8
14,851643516,Wuahsports,0,152.94,QB Deshaun Watson WR Will Fuller V FLEX Jordan Howard WR Adam Thielen DST Ravens  WR T.Y. Hilton RB Todd Gurley II TE Evan Engram RB Leonard Fournette,,Ezekiel Elliott,16.50%,17.2
15,851811339,craftylefty,0,152.16,DST Bills  WR Danny Amendola RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston RB Todd Gurley II,,Duke Johnson Jr.,15.53%,17.3
16,851665172,redraiderbt,0,152.06,DST Dolphins  WR DeSean Jackson WR Pierre Garcon RB Andre Ellington TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Duke Johnson Jr. FLEX Ezekiel Elliott,,Jarvis Landry,15.53%,15.4
17,851923615,drpotter1314,0,151.22,RB Lamar Miller DST Lions  QB Tom Brady RB Frank Gore WR T.Y. Hilton TE Cameron Brate WR Jarvis Landry WR Mike Evans FLEX Melvin Gordon,,Melvin Gordon,14.56%,37.3
18,853017254,splshbrothers30,0,149.64,WR Adam Thielen DST Titans  QB Aaron Rodgers WR Danny Amendola RB Doug Martin TE Charles Clay FLEX Andre Ellington WR Chris Hogan RB Leonard Fournette,,Jaron Brown,14.56%,6.9
19,853535056,ndejesus15,0,149.32,DST Eagles  QB Tom Brady FLEX T.Y. Hilton RB James White WR Jarvis Landry WR Mike Evans WR Adam Humphries TE Hunter Henry RB Leonard Fournette,,Dwayne Allen,13.59%,0
20,853358409,Souzabets,0,148.26,DST Jaguars  WR Pierre Garcon FLEX Terrance Williams TE Dwayne Allen WR T.Y. Hilton WR Mike Evans QB Jameis Winston RB Todd Gurley II RB Leonard Fournette,,Tom Brady,12.62%,17.62
21,853372749,theone11,0,146.56,DST Jets  RB Marshawn Lynch WR Dez Bryant WR Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon QB Jameis Winston FLEX Joe Mixon,,Eagles ,12.62%,10
22,852466605,Beelio24,0,145.42,DST Bills  QB Tom Brady WR T.Y. Hilton RB Le'Veon Bell RB James White WR Chris Hogan FLEX Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries,,Delanie Walker,11.65%,5.5
23,853511972,tcoker002,0,145.26,DST Bills  WR Dez Bryant WR T.Y. Hilton FLEX Eddie Lacy TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon QB Jameis Winston RB Todd Gurley II,,Will Fuller V,10.68%,20.2
24,852677370,bgmula,0,142.56,DST Bills  WR Danny Amendola FLEX T.Y. Hilton RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Ravens ,10.68%,12
25,852157976,0_for_5,0,142.16,DST Cardinals  WR Dez Bryant RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Jets ,10.68%,8
26,850927861,stevestehr,0,139.96,WR DeAndre Hopkins DST Seahawks  WR Jordy Nelson FLEX Martellus Bennett RB Bilal Powell RB James White WR Chris Hogan TE Austin Seferian-Jenkins QB Jameis Winston,,Adam Thielen,9.71%,9.5
27,853347308,jbement,0,137.64,DST Bills  QB Aaron Rodgers WR DeSean Jackson FLEX Bilal Powell WR Jaron Brown WR T.Y. Hilton RB James White TE Austin Seferian-Jenkins RB Ezekiel Elliott,,Frank Gore,9.71%,11.6
28,852542099,kiztulance09,0,136.46,DST Dolphins  FLEX Frank Gore WR Danny Amendola WR Dez Bryant RB LeGarrette Blount RB Le'Veon Bell TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston,,DeSean Jackson,9.71%,18.6
29,853620709,00sidmatisse,0,134.76,DST Jets  WR DeSean Jackson RB Andre Ellington FLEX Jaron Brown RB Le'Veon Bell WR Chris Hogan WR Mike Evans QB Jameis Winston TE David Njoku,,Pierre Garcon,9.71%,17.4
30,853391321,dukeluke,0,134.06,DST Bills  WR Danny Amendola FLEX Pierre Garcon WR T.Y. Hilton RB James White TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Todd Gurley II,,Lamar Miller,9.71%,10.9
31,852660523,paqthesnake,0,133.96,DST Raiders  WR Danny Amendola FLEX Le'Veon Bell WR Mike Evans QB Jameis Winston TE O.J. Howard RB Aaron Jones RB Leonard Fournette WR JuJu Smith-Schuster,,Bilal Powell,8.74%,7.3
32,852540250,puttst,0,133.86,FLEX Lamar Miller DST Chiefs  WR Jeremy Maclin WR T.Y. Hilton WR Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Leonard Fournette,8.74%,34.4
33,853281945,johncolligan,0,133.56,DST Lions  TE Delanie Walker WR Danny Amendola QB Matthew Stafford FLEX Pierre Garcon WR Golden Tate RB Bilal Powell WR Chris Hogan RB Melvin Gordon,,Chiefs ,8.74%,10
34,852236757,webb5008,0,132.46,DST Cardinals  RB Le'Veon Bell RB James White WR Chris Hogan WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston TE Evan Engram,,Jordy Nelson,7.77%,10.4
34,852881350,platinum903,0,132.46,DST Bills  WR Dez Bryant FLEX Andre Ellington WR T.Y. Hilton RB James White TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Todd Gurley II,,Aaron Rodgers,7.77%,24.04
36,853605292,acropolisinc,0,131.86,DST Jets  FLEX Danny Amendola WR DeSean Jackson TE Cameron Brate RB James White WR Chris Hogan WR Mike Evans QB Jameis Winston RB Todd Gurley II,,Andre Ellington,7.77%,15.3
37,853613033,fittz,0,130.5,DST Titans  QB Eli Manning TE Ed Dickson RB DeMarco Murray FLEX Jeremy Maclin WR Antonio Brown WR Mike Evans RB Isaiah Crowell WR Brandin Cooks,,DeVante Parker,7.77%,1.6
38,853577510,xprocowboy,0,130.46,DST Jets  WR Pierre Garcon FLEX Andre Ellington WR Jaron Brown RB Le'Veon Bell TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Duke Johnson Jr.,,Larry Fitzgerald,6.80%,11.1
39,852178358,yougotcropdusted,0,129.26,DST Bills  WR Dez Bryant RB Andre Ellington WR Jaron Brown RB Le'Veon Bell TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston FLEX Duke Johnson Jr.,,Deshaun Watson,6.80%,35.54
40,853216327,dfsmonkey,0,129.16,WR Adam Thielen DST Eagles  WR Danny Amendola FLEX Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Stefon Diggs,6.80%,1.4
41,853025521,rpdakg,0,128.66,DST Cardinals  WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,DeAndre Hopkins,5.83%,27.2
42,853441070,Lumbergh21,0,128.46,DST Bills  RB Frank Gore WR Dez Bryant WR Jaron Brown RB Le'Veon Bell TE Cameron Brate WR Mike Evans QB Jameis Winston FLEX Duke Johnson Jr.,,Ameer Abdullah,5.83%,4.4
43,851468899,THEROBBOB20,0,127.56,DST Bills  FLEX Le'Veon Bell RB James White WR Chris Hogan WR Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Evan Engram,5.83%,0
44,853491948,davidbelan22,0,127.54,QB Deshaun Watson WR DeAndre Hopkins WR Will Fuller V DST Bills  FLEX Delanie Walker RB Doug Martin WR Mike Evans RB Todd Gurley II TE O.J. Howard,,Cardinals ,5.83%,2
