Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,852453352,Daut44,0,165.36,DST Dolphins  RB Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Jameis Winston,73.79%,21.46
2,851959400,ianj300,0,163.56,DST Eagles  FLEX Dez Bryant WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon RB Isaiah Crowell QB Jameis Winston,,Le'Veon Bell,56.31%,19.3
2,852464629,GolfGalaxy (1/2),0,163.56,DST Eagles  FLEX Dez Bryant WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon RB Isaiah Crowell QB Jameis Winston,,Dez Bryant,38.83%,16.2
2,852470964,GolfGalaxy (2/2),0,163.56,DST Eagles  FLEX Dez Bryant WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon RB Isaiah Crowell QB Jameis Winston,,Adam Humphries,35.92%,8.1
5,853747982,mfb00100,0,163.12,DST Ravens  QB Brian Hoyer WR Pierre Garcon FLEX Jaron Brown WR T.Y. Hilton RB Le'Veon Bell TE Cameron Brate WR Brandin Cooks RB Aaron Jones,,Todd Gurley II,33.98%,6
6,851858066,CONDIA (1/3),0,155.02,DST Eagles  QB Tom Brady WR Danny Amendola WR Dez Bryant FLEX Le'Veon Bell TE Cameron Brate RB James White WR Adam Humphries RB Melvin Gordon,,Jarvis Landry,29.13%,15.4
6,851858068,CONDIA (3/3),0,155.02,DST Eagles  QB Tom Brady WR Danny Amendola WR Dez Bryant FLEX Le'Veon Bell TE Cameron Brate RB James White WR Adam Humphries RB Melvin Gordon,,Chris Hogan,28.16%,21.4
8,853329163,Sawood,0,153.36,DST Bills  WR Dez Bryant WR Randall Cobb WR T.Y. Hilton FLEX Cameron Brate TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II RB Leonard Fournette,,Mike Evans,28.16%,9.9
9,852746952,ykya111 (1/2),0,152.96,DST Eagles  WR Dez Bryant WR Jarvis Landry WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott TE George Kittle,,Eagles ,26.21%,10
9,852746953,ykya111 (2/2),0,152.96,DST Eagles  WR Dez Bryant WR Jarvis Landry WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott TE George Kittle,,Ezekiel Elliott,26.21%,17.2
11,851811322,craftylefty,0,152.16,DST Bills  WR Danny Amendola RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston RB Todd Gurley II,,Cameron Brate,25.24%,17.8
12,853538265,youdacao (1/3),0,146.66,DST Eagles  WR Jeremy Maclin WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell FLEX Ameer Abdullah RB Melvin Gordon QB Jameis Winston TE Evan Engram,,James White,24.27%,13
12,853538266,youdacao (2/3),0,146.66,DST Eagles  WR Jeremy Maclin WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell FLEX Ameer Abdullah RB Melvin Gordon QB Jameis Winston TE Evan Engram,,T.Y. Hilton,20.39%,27.7
12,853538267,youdacao (3/3),0,146.66,DST Eagles  WR Jeremy Maclin WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell FLEX Ameer Abdullah RB Melvin Gordon QB Jameis Winston TE Evan Engram,,Austin Seferian-Jenkins,19.42%,14.9
15,854186095,AtticusA01,0,145.56,DST Dolphins  WR DeSean Jackson FLEX Bilal Powell WR Randall Cobb WR Chris Hogan TE Austin Seferian-Jenkins QB Jacoby Brissett RB Duke Johnson Jr. RB Ezekiel Elliott,,Dwayne Allen,18.45%,0
16,851858067,CONDIA (2/3),0,143.96,DST Chiefs  WR Danny Amendola RB Le'Veon Bell TE Cameron Brate RB James White WR Chris Hogan WR Adam Humphries QB Jameis Winston FLEX Ezekiel Elliott,,DeSean Jackson,17.48%,18.6
17,853589349,BDholla89 (1/3),0,141.66,RB Lamar Miller TE Travis Kelce DST Bills  WR Mike Wallace FLEX Torrey Smith WR Chris Hogan WR Mike Evans QB Jameis Winston RB Ezekiel Elliott,,Melvin Gordon,16.50%,37.3
18,851664325,ChipotleAddict (1/3),0,141.46,RB Lamar Miller DST Chiefs  FLEX Jordan Howard TE Zach Miller WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry QB Jameis Winston,,Lamar Miller,15.53%,10.9
18,851664326,ChipotleAddict (2/3),0,141.46,RB Lamar Miller DST Chiefs  FLEX Jordan Howard TE Zach Miller WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry QB Jameis Winston,,Danny Amendola,15.53%,15.7
18,851664327,ChipotleAddict (3/3),0,141.46,RB Lamar Miller DST Chiefs  FLEX Jordan Howard TE Zach Miller WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry QB Jameis Winston,,Bills ,13.59%,8
