Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,863675985,antonino_derosa (1/5),0,210.3,DST Saints  TE Zach Miller WR Antonio Brown RB Mark Ingram RB Jerick McKinnon WR Davante Adams WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson,,Mark Ingram,57.14%,34
1,863675986,antonino_derosa (2/5),0,210.3,DST Saints  TE Zach Miller WR Antonio Brown RB Mark Ingram RB Jerick McKinnon WR Davante Adams WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson,,Jerick McKinnon,50.87%,25.9
1,863675987,antonino_derosa (3/5),0,210.3,DST Saints  TE Zach Miller WR Antonio Brown RB Mark Ingram RB Jerick McKinnon WR Davante Adams WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson,,Kareem Hunt,44.43%,16
1,863675988,antonino_derosa (4/5),0,210.3,DST Saints  TE Zach Miller WR Antonio Brown RB Mark Ingram RB Jerick McKinnon WR Davante Adams WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson,,Adam Thielen,42.68%,18.7
1,863675989,antonino_derosa (5/5),0,210.3,DST Saints  TE Zach Miller WR Antonio Brown RB Mark Ingram RB Jerick McKinnon WR Davante Adams WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson,,Broncos ,41.29%,6
6,862573891,MFord108 (1/5),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,DeAndre Hopkins,39.72%,9.9
6,862573899,MFord108 (2/5),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Deshaun Watson,37.28%,24.3
6,862573916,MFord108 (3/5),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,T.Y. Hilton,26.48%,2.9
6,862581739,MFord108 (4/5),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Michael Thomas,23.17%,4.1
6,862581749,MFord108 (5/5),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Alvin Kamara,19.86%,12.7
