Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,863555571,dwfortune,0,184.5,DST Redskins  TE Zach Miller RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon WR Jarvis Landry RB Melvin Gordon WR Adam Thielen QB Deshaun Watson,,Mark Ingram,71.79%,34
2,863408215,moklovin,0,176.2,DST Buccaneers  RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Jarvis Landry FLEX Todd Gurley II WR Adam Thielen QB Deshaun Watson TE Evan Engram,,Jerick McKinnon,64.10%,25.9
3,863472932,GolfGalaxy,0,174.3,TE Rob Gronkowski RB Mark Ingram WR John Brown RB Jerick McKinnon WR Amari Cooper WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Kareem Hunt,56.41%,16
4,863651266,bh9999,0,170.7,DST Buccaneers  FLEX Rob Gronkowski RB Mark Ingram TE Zach Ertz WR DeAndre Hopkins RB Jerick McKinnon WR Amari Cooper WR Adam Thielen QB Deshaun Watson,,Adam Thielen,53.85%,18.7
5,863401815,ykya111,0,169.94,QB Drew Brees RB Mark Ingram RB Jerick McKinnon WR Jarvis Landry WR Davante Adams WR Adam Thielen FLEX Kareem Hunt DST Broncos  TE Evan Engram,,Broncos ,43.59%,6
6,863902104,stevster77,0,165.7,DST Ravens  TE Zach Miller WR DeSean Jackson WR Michael Crabtree RB Mark Ingram WR Jarvis Landry QB Kevin Hogan FLEX Kareem Hunt RB Leonard Fournette,,Deshaun Watson,38.46%,24.3
7,863819462,STR8_CASH_HOMIES,0,164.3,RB Mark Ingram WR Julio Jones RB Jerick McKinnon WR Jarvis Landry WR Ricardo Louis FLEX Kareem Hunt QB Deshaun Watson DST Broncos  TE Evan Engram,,Drew Brees,33.33%,13.54
8,863426892,aejones,0,161.9,RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen FLEX Kareem Hunt WR Taylor Gabriel QB Deshaun Watson DST Broncos  TE Evan Engram,,DeAndre Hopkins,33.33%,9.9
9,863783869,0_2_60mph,0,160.2,TE Zach Miller WR Michael Crabtree RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Davante Adams FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Evan Engram,25.64%,19.2
10,863715999,BirdWings,0,159.74,DST Saints  QB Drew Brees RB Mark Ingram TE Jordan Reed RB Jerick McKinnon WR Amari Cooper WR Michael Thomas WR Adam Thielen FLEX Kareem Hunt,,Michael Thomas,25.64%,4.1
