Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,862240839,gkorn,0,180.1,DST Texans  FLEX Martellus Bennett WR Antonio Brown RB Mark Ingram WR John Brown WR DeAndre Hopkins QB Deshaun Watson TE Evan Engram RB DeMarco Murray,,Mark Ingram,56.31%,34
2,861334404,moklovin (1/3),0,176.2,DST Buccaneers  RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Jarvis Landry FLEX Todd Gurley II WR Adam Thielen QB Deshaun Watson TE Evan Engram,,Jerick McKinnon,53.40%,25.9
2,863238214,moklovin (2/3),0,176.2,DST Buccaneers  RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Jarvis Landry FLEX Todd Gurley II WR Adam Thielen QB Deshaun Watson TE Evan Engram,,Kareem Hunt,39.81%,16
2,863238215,moklovin (3/3),0,176.2,DST Buccaneers  RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Jarvis Landry FLEX Todd Gurley II WR Adam Thielen QB Deshaun Watson TE Evan Engram,,Adam Thielen,39.81%,18.7
5,861067783,ianj300,0,174.3,TE Rob Gronkowski RB Mark Ingram WR John Brown RB Jerick McKinnon WR Amari Cooper WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,DeAndre Hopkins,36.89%,9.9
5,861349043,GolfGalaxy (1/2),0,174.3,TE Rob Gronkowski RB Mark Ingram WR John Brown RB Jerick McKinnon WR Amari Cooper WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Broncos ,34.95%,6
5,863848308,GolfGalaxy (2/2),0,174.3,TE Rob Gronkowski RB Mark Ingram WR John Brown RB Jerick McKinnon WR Amari Cooper WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Deshaun Watson,33.98%,24.3
8,863445940,MoneyTrain18,0,173.2,TE Rob Gronkowski RB Mark Ingram RB Jerick McKinnon WR Jamison Crowder WR Davante Adams WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Evan Engram,33.01%,19.2
9,861397249,Professional (2/3),0,170.1,TE Ed Dickson WR Michael Crabtree WR Antonio Brown RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon FLEX Alvin Kamara QB Deshaun Watson DST Broncos ,,Alvin Kamara,23.30%,12.7
9,861405018,Professional (3/3),0,170.1,TE Ed Dickson WR Michael Crabtree WR Antonio Brown RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon FLEX Alvin Kamara QB Deshaun Watson DST Broncos ,,Drew Brees,23.30%,13.54
11,861850085,puttst (1/2),0,168.3,WR Michael Crabtree RB Mark Ingram WR Jarvis Landry WR Adam Thielen RB Kareem Hunt FLEX Alvin Kamara QB Deshaun Watson DST Broncos  TE Evan Engram,,Michael Thomas,22.33%,4.1
11,862025954,puttst (2/2),0,168.3,WR Michael Crabtree RB Mark Ingram WR Jarvis Landry WR Adam Thielen RB Kareem Hunt FLEX Alvin Kamara QB Deshaun Watson DST Broncos  TE Evan Engram,,T.Y. Hilton,17.48%,2.9
13,863614393,dkdk21,0,166.2,DST Buccaneers  WR Golden Tate QB Kirk Cousins RB Mark Ingram TE Jordan Reed WR DeAndre Hopkins RB Jerick McKinnon FLEX Mike Evans WR Amari Cooper,,Julio Jones,15.53%,13.2
14,863735884,tmav55,0,164.44,QB Drew Brees WR Antonio Brown FLEX Mark Ingram WR John Brown RB Lamar Miller WR DeAndre Hopkins RB Jerick McKinnon TE Evan Engram DST Titans ,,Falcons ,14.56%,3
15,861092927,STR8_CASH_HOMIES (1/2),0,164.3,RB Mark Ingram WR Julio Jones RB Jerick McKinnon WR Jarvis Landry WR Ricardo Louis FLEX Kareem Hunt QB Deshaun Watson DST Broncos  TE Evan Engram,,C.J. Anderson,13.59%,1.7
15,862439810,STR8_CASH_HOMIES (2/2),0,164.3,RB Mark Ingram WR Julio Jones RB Jerick McKinnon WR Jarvis Landry WR Ricardo Louis FLEX Kareem Hunt QB Deshaun Watson DST Broncos  TE Evan Engram,,Davante Adams,13.59%,16.4
17,861140538,Professional (1/3),0,163.9,RB Mark Ingram WR Julio Jones WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen FLEX Alvin Kamara QB Deshaun Watson DST Broncos  TE Evan Engram,,Kelvin Benjamin,12.62%,18.9
18,861294186,aejones (1/2),0,161.9,RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen FLEX Kareem Hunt WR Taylor Gabriel QB Deshaun Watson DST Broncos  TE Evan Engram,,Todd Gurley II,11.65%,16
18,862183207,aejones (2/2),0,161.9,RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen FLEX Kareem Hunt WR Taylor Gabriel QB Deshaun Watson DST Broncos  TE Evan Engram,,Jarvis Landry,11.65%,20.2
20,861446944,Srekcap,0,159.1,RB Mark Ingram RB Jerick McKinnon WR Michael Thomas WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos  TE Evan Engram WR Rishard Matthews,,Cameron Brate,11.65%,19.6
21,862690607,underjones (1/3),0,156.76,DST Redskins  QB Case Keenum RB Mark Ingram WR Julio Jones TE Kyle Rudolph RB Jerick McKinnon WR Jarvis Landry WR Adam Thielen FLEX Kareem Hunt,,Devin Funchess,10.68%,6.6
21,862716777,underjones (2/3),0,156.76,DST Redskins  QB Case Keenum RB Mark Ingram WR Julio Jones TE Kyle Rudolph RB Jerick McKinnon WR Jarvis Landry WR Adam Thielen FLEX Kareem Hunt,,Lamar Miller,10.68%,11.1
21,862716778,underjones (3/3),0,156.76,DST Redskins  QB Case Keenum RB Mark Ingram WR Julio Jones TE Kyle Rudolph RB Jerick McKinnon WR Jarvis Landry WR Adam Thielen FLEX Kareem Hunt,,Antonio Brown,10.68%,32.5
24,862909126,ykya111 (1/2),0,156.22,DST Falcons  QB Aaron Rodgers FLEX Antonio Brown RB Mark Ingram WR Randall Cobb RB Jerick McKinnon WR Davante Adams WR Adam Thielen TE Evan Engram,,Leonard Fournette,10.68%,24.8
24,862909127,ykya111 (2/2),0,156.22,DST Falcons  QB Aaron Rodgers FLEX Antonio Brown RB Mark Ingram WR Randall Cobb RB Jerick McKinnon WR Davante Adams WR Adam Thielen TE Evan Engram,,Amari Cooper,9.71%,7.8
26,863640142,chazz630,0,154.96,DST Bears  WR Danny Amendola TE Ed Dickson WR Michael Crabtree QB Cam Newton FLEX Jerick McKinnon RB Melvin Gordon WR Devin Funchess RB Kareem Hunt,,Chris Hogan,9.71%,2.9
27,862255777,TeeJayOrTj,0,154.24,QB Drew Brees WR Mike Wallace TE Rob Gronkowski RB Mark Ingram RB Jerick McKinnon WR Amari Cooper WR Adam Thielen FLEX Kareem Hunt DST Broncos ,,Redskins ,9.71%,5
28,861570736,mfb00100,0,154.06,DST Chiefs  QB Josh McCown WR Jermaine Kearse WR Marvin Jones Jr. WR John Brown FLEX Todd Gurley II RB Kareem Hunt RB Leonard Fournette TE Evan Engram,,Will Fuller V,9.71%,14.2
29,862916909,gwag01,0,153.6,DST Jaguars  WR Michael Crabtree WR Antonio Brown RB Jerick McKinnon WR Jamison Crowder RB Todd Gurley II FLEX Taylor Gabriel QB Deshaun Watson TE Evan Engram,,Cam Newton,9.71%,23.66
30,863660960,seaveym,0,153.56,DST Redskins  QB Josh McCown TE Zach Miller RB Mark Ingram WR Davante Adams FLEX Todd Gurley II WR Adam Thielen RB Leonard Fournette WR T.Y. Hilton,,John Brown,8.74%,15.3
31,861055605,CONDIA (1/3),0,151.7,WR Ted Ginn Jr. RB Mark Ingram WR Julio Jones TE Kyle Rudolph WR Kelvin Benjamin FLEX Kareem Hunt RB Alvin Kamara QB Deshaun Watson DST Broncos ,,Michael Crabtree,8.74%,17.2
31,861055607,CONDIA (3/3),0,151.7,WR Ted Ginn Jr. RB Mark Ingram WR Julio Jones TE Kyle Rudolph WR Kelvin Benjamin FLEX Kareem Hunt RB Alvin Kamara QB Deshaun Watson DST Broncos ,,Jamison Crowder,8.74%,5.6
33,863665944,3rdcoast,0,151.4,DST Ravens  TE Cameron Brate RB Javorius Allen WR Kelvin Benjamin RB Melvin Gordon WR Devin Funchess FLEX Elijah McGuire WR Will Fuller V QB Deshaun Watson,,Delanie Walker,8.74%,5.4
34,861933029,ruben2125,0,149.22,DST Patriots  QB Aaron Rodgers FLEX Mark Ingram TE Zach Ertz RB Jerick McKinnon WR Kelvin Benjamin WR Ricardo Louis RB Leonard Fournette WR Emmanuel Sanders,,Aaron Rodgers,7.77%,0.72
35,863296968,knicker111,0,145.84,DST Buccaneers  RB Mark Ingram WR John Brown WR Mike Evans WR Davante Adams QB Jameis Winston RB Todd Gurley II FLEX Kareem Hunt TE Evan Engram,,Chris Thompson,6.80%,20.8
36,862935812,Makisupa,0,145.24,QB Drew Brees RB Mark Ingram RB Jerick McKinnon WR Amari Cooper WR Michael Thomas WR Adam Thielen FLEX Kareem Hunt DST Broncos  TE Evan Engram,,Kyle Rudolph,6.80%,9.7
37,863412588,wpoole1380,0,145.2,DST Jaguars  RB Doug Martin QB Kirk Cousins WR Terrelle Pryor Sr. RB Carlos Hyde TE Cameron Brate WR Marqise Lee FLEX Todd Gurley II WR Emmanuel Sanders,,Rob Gronkowski,6.80%,26.3
38,863336346,docholoday,0,144.52,DST Texans  QB Aaron Rodgers WR Jordy Nelson FLEX Adrian Peterson TE Cameron Brate WR Kelvin Benjamin RB Kareem Hunt WR Will Fuller V RB Alvin Kamara,,Buccaneers ,6.80%,8
39,861670890,youdacao (1/3),0,142.74,DST Falcons  QB Drew Brees FLEX Mark Ingram WR Julio Jones RB Lamar Miller RB Jerick McKinnon WR Michael Thomas WR Adam Thielen TE Evan Engram,,Ed Dickson,6.80%,7.6
39,861670891,youdacao (2/3),0,142.74,DST Falcons  QB Drew Brees FLEX Mark Ingram WR Julio Jones RB Lamar Miller RB Jerick McKinnon WR Michael Thomas WR Adam Thielen TE Evan Engram,,Austin Seferian-Jenkins,5.83%,17.6
39,861670892,youdacao (3/3),0,142.74,DST Falcons  QB Drew Brees FLEX Mark Ingram WR Julio Jones RB Lamar Miller RB Jerick McKinnon WR Michael Thomas WR Adam Thielen TE Evan Engram,,Javorius Allen,5.83%,9.6
39,863236959,madoublet98,0,142.74,DST Falcons  QB Drew Brees FLEX Mark Ingram WR Julio Jones RB Lamar Miller RB Jerick McKinnon WR Michael Thomas WR Adam Thielen TE Evan Engram,,Jaguars ,5.83%,5
39,863407689,soupajaff,0,142.74,DST Falcons  QB Drew Brees FLEX Mark Ingram WR Julio Jones RB Lamar Miller RB Jerick McKinnon WR Michael Thomas WR Adam Thielen TE Evan Engram,,Ricardo Louis,4.85%,5.5
44,862229216,bfrye151,0,141.36,QB Case Keenum WR Antonio Brown WR Adam Humphries WR Adam Thielen RB Kareem Hunt RB Leonard Fournette FLEX A.J. Derby TE Evan Engram DST Titans ,,Kirk Cousins,4.85%,31.8
45,862959278,ending,0,141.2,DST Redskins  RB Mark Ingram RB Jerick McKinnon WR Amari Cooper WR Michael Thomas WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson TE Delanie Walker,,DeMarco Murray,4.85%,18.7
46,861140933,Cicima6709 (1/2),0,140.64,DST Falcons  QB Drew Brees RB Mark Ingram WR Julio Jones TE Kyle Rudolph WR DeAndre Hopkins FLEX Jerick McKinnon WR Adam Thielen RB Alvin Kamara,,Chiefs ,4.85%,4
46,861140934,Cicima6709 (2/2),0,140.64,DST Falcons  QB Drew Brees RB Mark Ingram WR Julio Jones TE Kyle Rudolph WR DeAndre Hopkins FLEX Jerick McKinnon WR Adam Thielen RB Alvin Kamara,,Jermaine Kearse,4.85%,11.9
48,863795329,Creamer221,0,139.52,DST Jaguars  QB Aaron Rodgers TE Rob Gronkowski RB Mark Ingram RB Jerick McKinnon FLEX Javorius Allen WR Davante Adams WR Adam Thielen WR T.Y. Hilton,,Titans ,4.85%,3
49,863555251,Da_Dirty_Dizzle (1/3),0,137.6,DST Chiefs  WR Jermaine Kearse FLEX Chris Thompson RB James White WR DeAndre Hopkins WR Will Fuller V RB Leonard Fournette QB Deshaun Watson TE Evan Engram,,Danny Amendola,4.85%,7
49,863562699,Da_Dirty_Dizzle (2/3),0,137.6,DST Chiefs  WR Jermaine Kearse FLEX Chris Thompson RB James White WR DeAndre Hopkins WR Will Fuller V RB Leonard Fournette QB Deshaun Watson TE Evan Engram,,James White,4.85%,8.5
49,863570035,Da_Dirty_Dizzle (3/3),0,137.6,DST Chiefs  WR Jermaine Kearse FLEX Chris Thompson RB James White WR DeAndre Hopkins WR Will Fuller V RB Leonard Fournette QB Deshaun Watson TE Evan Engram,,Melvin Gordon,4.85%,36
52,863453872,georgefinn,0,136.86,DST Cardinals  WR Larry Fitzgerald QB Cam Newton RB LeGarrette Blount RB James White FLEX Mike Evans WR Kelvin Benjamin WR Davante Adams TE Delanie Walker,,Ravens ,3.88%,20
53,863130972,demarchi411,0,136.36,TE Ed Dickson QB Cam Newton WR Antonio Brown WR Marvin Jones Jr. WR DeAndre Hopkins FLEX Nelson Agholor RB Duke Johnson Jr. RB Alvin Kamara DST Broncos ,,Emmanuel Sanders,3.88%,12.6
54,862321716,BirdWings,0,136.24,QB Drew Brees TE Rob Gronkowski RB Mark Ingram RB Jerick McKinnon WR Jamison Crowder WR Amari Cooper WR Michael Thomas FLEX Kareem Hunt DST Titans ,,Coby Fleener,3.88%,0
55,863670819,Ronald27curtis,0,134.48,DST Jaguars  QB Ben Roethlisberger WR Antonio Brown FLEX Jermaine Kearse TE Cameron Brate RB James White WR DeAndre Hopkins WR Nelson Agholor RB DeMarco Murray,,Taylor Gabriel,3.88%,7.9
56,863457674,Kylecunn,0,134.04,DST Eagles  FLEX DeSean Jackson QB Blake Bortles WR Jarvis Landry RB Melvin Gordon TE Hunter Henry WR Will Fuller V RB C.J. Anderson WR Emmanuel Sanders,,Case Keenum,3.88%,14.06
57,861250411,craftylefty,0,133.54,QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon FLEX Javorius Allen WR Michael Thomas WR Adam Thielen TE Austin Hooper DST Broncos ,,Larry Fitzgerald,3.88%,31.8
58,862606210,boyblue09,0,132.24,DST Redskins  WR Larry Fitzgerald FLEX Mark Ingram QB Derek Carr WR Keenan Allen RB Jay Ajayi TE Austin Seferian-Jenkins WR Amari Cooper RB C.J. Anderson,,Devonta Freeman,3.88%,9.9
58,863021286,82Goldtop,0,132.24,DST Buccaneers  QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon TE Austin Seferian-Jenkins WR Adam Thielen FLEX C.J. Anderson WR T.Y. Hilton,,Mike Evans,3.88%,18.5
60,863160097,sjm6 (1/3),0,131.84,DST Ravens  QB Drew Brees RB Jerick McKinnon FLEX Chris Hogan TE Austin Seferian-Jenkins WR Davante Adams WR Michael Thomas WR Adam Thielen RB Alvin Kamara,,Marshawn Lynch,3.88%,6.3
61,863552839,jgallagher80,0,131.3,WR Larry Fitzgerald QB Kevin Hogan RB Javorius Allen RB Melvin Gordon WR Devin Funchess FLEX Jordan Howard WR Tyreek Hill TE David Njoku DST Broncos ,,Hunter Henry,3.88%,14
