Rank	EntryId	EntryName	TimeRemaining	Points	Lineup	Contest Size	Contest Format	Buy-in
1	812579658	crcounts	0	172.98	WR Stefon Diggs DST Rams  WR Larry Fitzgerald WR Michael Crabtree TE Zach Ertz FLEX Carlos Hyde RB David Johnson QB Carson Wentz RB Todd Gurley II	57	Double	$1 
2	812311508	marcf	0	170.18	DST Rams  WR Antonio Brown WR Kendall Wright TE Zach Ertz RB David Johnson WR Rishard Matthews QB Carson Wentz FLEX Todd Gurley II RB Jordan Howard	58	Double	$2 
2	812445926	LatticeProject	0	170.18	DST Rams  WR Antonio Brown WR Kendall Wright TE Zach Ertz RB David Johnson WR Rishard Matthews QB Carson Wentz FLEX Todd Gurley II RB Jordan Howard	59	Double	$3 
4	812855386	skoal80	0	155.48	WR Adam Thielen DST Rams  WR Pierre Garcon WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson FLEX Todd Gurley II QB DeShone Kizer	60	Double	$4 
5	812607833	romeofox	0	154.98	WR Tyreek Hill QB Tom Brady WR Brandin Cooks DST Rams  RB Bilal Powell WR Mohamed Sanu TE Zach Ertz FLEX Amari Cooper RB Todd Gurley II	61	Double	$5 
6	812880412	DemolitionCrew	0	153.66	RB Dalvin Cook DST Rams  QB Carson Palmer WR Larry Fitzgerald RB LeSean McCoy WR A.J. Green WR Kendall Wright TE Zach Ertz FLEX Todd Gurley II	62	Double	$6 
7	812824837	RGAlexander216	0	153.54	DST Rams  WR Brandon Marshall RB LeSean McCoy WR Randall Cobb TE C.J. Fiedorowicz WR Rishard Matthews QB Marcus Mariota RB Todd Gurley II FLEX Ezekiel Elliott	63	Double	$7 
8	812634300	tjl5124	0	152.18	WR Adam Thielen DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz	64	Double	$8 
9	812719140	donnie23baseball	0	146.38	DST Rams  WR Doug Baldwin WR A.J. Green WR Kendall Wright TE Zach Ertz RB Carlos Hyde RB David Johnson QB Carson Wentz FLEX Todd Gurley II	65	Double	$9 
10	812188366	mikew2069	0	145.38	QB Tom Brady TE Rob Gronkowski DST Rams  WR Torrey Smith WR Antonio Brown WR Marvin Jones Jr. FLEX Zach Ertz RB Todd Gurley II RB Jordan Howard	66	Double	$10 
11	812809675	NYCUte	0	144.08	RB Dalvin Cook WR Chris Hogan DST Rams  WR Julio Jones WR Kendall Wright TE Zach Ertz RB David Johnson QB Carson Wentz FLEX Todd Gurley II	67	Double	$11 
12	812756150	DZMcFATTS	0	142.18	WR Stefon Diggs WR Adam Thielen WR Chris Hogan RB Adrian Peterson DST Eagles  FLEX Julio Jones TE Zach Ertz RB Le'Veon Bell QB Carson Wentz	68	Double	$12 
13	812699449	Satchl	0	139.04	WR Ted Ginn Jr. DST Rams  QB Matt Ryan RB DeMarco Murray WR Pierre Garcon TE Zach Ertz RB David Johnson WR Robby Anderson FLEX Todd Gurley II	69	Double	$13 
14	812594718	charder30	0	137.64	DST Rams  WR Brandon Marshall WR Larry Fitzgerald RB LeSean McCoy WR Kendall Wright TE Zach Ertz FLEX Carlos Hyde RB David Johnson QB Marcus Mariota	70	Double	$14 
15	812652665	mfreix	0	137.12	QB Alex Smith TE Travis Kelce WR Ted Ginn Jr. DST Texans  WR Larry Fitzgerald FLEX Zach Ertz RB David Johnson WR DeAndre Hopkins RB Todd Gurley II	71	Double	$15 
16	812905323	pyrocory	0	135.68	WR Adam Thielen WR Chris Hogan WR Ted Ginn Jr. DST Steelers  TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz	72	Double	$16 
17	812831149	kochy11	0	133.28	WR Chris Hogan DST Rams  WR Michael Crabtree WR Terrelle Pryor Sr. FLEX Randall Cobb QB Derek Carr TE Zach Ertz RB Le'Veon Bell RB Carlos Hyde	73	Double	$17 
18	812592663	pdpablo	0	131.24	DST Rams  WR Larry Fitzgerald QB Cam Newton WR Doug Baldwin WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB Carlos Hyde FLEX Todd Gurley II	74	Double	$18 
19	812395513	CJ_16	0	131.08	RB Dalvin Cook DST Rams  TE Delanie Walker WR Eric Decker QB Derek Carr WR Kelvin Benjamin WR Amari Cooper FLEX Tevin Coleman RB Jordan Howard	75	Double	$19 
20	812331102	Bkc7134	0	130.6	WR Brandin Cooks FLEX Adrian Peterson TE Antonio Gates DST Rams  QB Kirk Cousins WR Terrelle Pryor Sr. RB David Johnson WR Nelson Agholor RB Leonard Fournette	76	Double	$20 
21	812840378	Brentaculous	0	128.86	DST Rams  QB Carson Palmer WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson WR Corey Coleman	77	Double	$21 
22	812812730	podunker	0	128.24	DST Rams  QB Aaron Rodgers WR Kendall Wright WR Randall Cobb TE Zach Ertz WR Marquise Goodwin FLEX Lamar Miller RB Le'Veon Bell RB David Johnson	78	Double	$22 
23	812857274	0_2_60mph	0	127.98	WR Chris Hogan DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz	79	Double	$23 
24	812908236	wrogers16	0	127.78	DST Bengals  WR Antonio Brown WR Kendall Wright TE Zach Ertz FLEX Lamar Miller RB David Johnson WR Allen Robinson QB Carson Wentz RB Jordan Howard	80	Double	$24 
25	812519100	Capt1214	0	127.46	RB Mike Gillislee WR Chris Hogan DST Jaguars  QB Carson Palmer WR Larry Fitzgerald FLEX Danny Woodhead WR Doug Baldwin TE Zach Ertz RB David Johnson	81	Double	$25 
26	812602388	jcpertz	0	126.68	RB Dalvin Cook QB Tom Brady WR Brandin Cooks WR Chris Hogan TE Rob Gronkowski WR Ted Ginn Jr. DST Rams  FLEX Zach Ertz RB Todd Gurley II	82	Double	$26 
27	812856015	Kylecunn	0	126.52	WR Tyreek Hill WR Brandin Cooks WR Chris Hogan DST Panthers  TE Martellus Bennett FLEX Jeremy Maclin QB Russell Wilson RB Todd Gurley II RB Jordan Howard	83	Double	$27 
28	812229554	molnark245	0	126.48	DST Rams  WR Brandon Marshall WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz	84	Double	$28 
28	812690707	DaenerysStormborn	0	126.48	DST Rams  WR Brandon Marshall WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson QB Carson Wentz	85	Double	$29 
28	812872956	lorenl	0	126.48	DST Cardinals  WR Michael Crabtree WR Doug Baldwin WR Kendall Wright TE Zach Ertz RB David Johnson RB Devonta Freeman QB Carson Wentz FLEX Todd Gurley II	86	Double	$30 
31	812663196	hpjj	0	125.74	DST Rams  QB Aaron Rodgers WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews FLEX Robby Anderson	87	Double	$31 
32	812856377	Nando5921	0	123.18	DST Cardinals  WR Brandon Marshall WR Larry Fitzgerald FLEX LeSean McCoy WR Kendall Wright TE Zach Ertz RB Le'Veon Bell QB Carson Wentz RB Todd Gurley II	88	Double	$32 
33	812475159	kratter22	0	122.48	WR Adam Thielen QB Tom Brady DST Jets  WR Larry Fitzgerald WR Doug Baldwin TE Zach Ertz FLEX Lamar Miller RB Carlos Hyde RB David Johnson	89	Double	$33 
34	812684463	DFSAnalytics1	0	122.38	DST Bengals  WR Doug Baldwin WR A.J. Green WR Kendall Wright TE Zach Ertz FLEX Carlos Hyde RB David Johnson QB Carson Wentz RB Todd Gurley II	90	Double	$34 
35	812817631	Rshark	0	121.14	DST Broncos  WR Jordy Nelson WR Julio Jones TE Zach Ertz RB Lamar Miller FLEX Carlos Hyde QB Marcus Mariota RB Todd Gurley II WR Kevin White	91	Double	$35 
36	812628344	ending	0	119.54	WR Ted Ginn Jr. DST Rams  WR Brandon Marshall QB Aaron Rodgers WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson	92	Double	$36 
37	812557282	Double_L	0	118.84	WR Chris Hogan DST Chargers  QB Aaron Rodgers WR Larry Fitzgerald WR Pierre Garcon TE Zach Ertz RB Le'Veon Bell RB Carlos Hyde FLEX Todd Gurley II	93	Double	$37 
38	812334292	teddyswenson69	0	118.18	QB Tom Brady TE Coby Fleener DST Falcons  RB LeSean McCoy WR Terrelle Pryor Sr. WR Cole Beasley RB Carlos Hyde WR Amari Cooper FLEX Christian McCaffrey	94	Double	$38 
39	812383147	FiveFoldV	0	117.18	DST Vikings  WR Brandon Marshall WR Larry Fitzgerald RB LeSean McCoy WR Kendall Wright TE Zach Ertz RB Le'Veon Bell QB Carson Wentz FLEX Todd Gurley II	95	Double	$39 
40	812711082	OPerchatsch	0	116.98	DST Bills  WR Michael Crabtree WR Pierre Garcon QB Derek Carr TE Zach Ertz RB David Johnson FLEX Robby Anderson WR Allen Robinson RB Todd Gurley II	96	Double	$40 
41	812919586	leif74	0	116.22	TE Rob Gronkowski RB Adrian Peterson DST Rams  QB Russell Wilson WR Antonio Brown WR Paul Richardson FLEX Josh Doctson WR Amari Cooper RB Christian McCaffrey	97	Double	$41 
41	812637241	beaver9	0	116.22	DST Broncos  QB Ben Roethlisberger FLEX Doug Baldwin RB Bilal Powell WR Antonio Brown TE Zach Ertz WR Rishard Matthews WR Jamison Crowder RB Isaiah Crowell	98	Double	$42 
43	812843106	sunman10	0	115.94	RB Dalvin Cook FLEX Adam Thielen WR Chris Hogan DST Texans  WR Brandon Marshall QB Aaron Rodgers WR Randall Cobb TE Zach Ertz RB Le'Veon Bell	99	Double	$43 
44	812853012	NeptuneJags	0	114.04	QB Sam Bradford WR Adam Thielen TE Hunter Henry DST Bills  FLEX A.J. Green WR Kendall Wright RB David Johnson WR Martavis Bryant RB Christian McCaffrey	100	Double	$44 
44	812653737	Galadran	0	114.04	WR Chris Hogan DST Bills  TE Delanie Walker WR Golden Tate FLEX Jamison Crowder RB Isaiah Crowell QB Marcus Mariota WR Amari Cooper RB Christian McCaffrey	101	Double	$45 
46	812790944	Nookx	0	110.54	WR Ted Ginn Jr. DST Colts  QB Aaron Rodgers WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews FLEX Todd Gurley II	102	Double	$46 
47	812847433	MoneyTrain18	0	108.98	DST Broncos  WR Brandon Marshall WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson QB Carson Wentz WR Sterling Shepard FLEX Todd Gurley II	103	Double	$47 
48	812814188	walterhouston22	0	105.8	FLEX C.J. Anderson WR Adam Thielen WR Chris Hogan TE Coby Fleener DST Cardinals  QB Andy Dalton WR A.J. Green RB David Johnson RB Devonta Freeman	104	Double	$48 
49	812598221	kyrogers50	0	104.34	DST Chiefs  WR Keenan Allen FLEX Frank Gore QB Aaron Rodgers TE Delanie Walker WR Doug Baldwin RB Carlos Hyde RB David Johnson WR Davante Adams	105	Double	$49 
50	812554231	rebone1987	0	103.28	RB Dalvin Cook QB Tom Brady FLEX Melvin Gordon TE Antonio Gates DST Cowboys  WR Pierre Garcon WR Alshon Jeffery RB Devonta Freeman WR Kelvin Benjamin	106	Double	$50 
51	812242824	topherflowers	0	97.3	DST Cardinals  WR Larry Fitzgerald QB Andy Dalton FLEX Doug Baldwin WR A.J. Green WR Kendall Wright TE Zach Ertz RB Carlos Hyde RB David Johnson	107	Double	$51 
