Rank	EntryId	EntryName	TimeRemaining	Points	Lineup	Contest Size	Contest Format	Buy-in	Notes
1	812692116	Doc1863 (1/2)	0	177.98	RB Lamar Miller QB Matthew Stafford WR Michael Crabtree RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald WR Antonio Brown FLEX Christian McCaffrey	1149	Double	$1 	"Excludes Thursday, Florida games"
1	812692117	Doc1863 (2/2)	0	177.98	RB Lamar Miller QB Matthew Stafford WR Michael Crabtree RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald WR Antonio Brown FLEX Christian McCaffrey	1149	Double	$1 	"Excludes Thursday, Florida games"
3	811977860	stoneme2 (1/10)	0	170.48	WR Kendall Wright WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
3	811977863	stoneme2 (2/10)	0	170.48	WR Kendall Wright WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
3	811977865	stoneme2 (3/10)	0	170.48	WR Kendall Wright WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
3	811977870	stoneme2 (4/10)	0	170.48	WR Kendall Wright WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
3	811977882	stoneme2 (5/10)	0	170.48	WR Kendall Wright WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
3	811977895	stoneme2 (6/10)	0	170.48	WR Kendall Wright WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
3	811984585	stoneme2 (7/10)	0	170.48	WR Kendall Wright WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
3	811984625	stoneme2 (8/10)	0	170.48	WR Kendall Wright WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
