Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Contest Size,Contest Format,Buy-in,Notes:
1,812319730,3rd_and_schlong,0,169.58,DST Rams  WR Larry Fitzgerald WR Antonio Brown WR Kendall Wright TE Zach Ertz FLEX Carlos Hyde RB David Johnson QB Carson Wentz RB Todd Gurley II,34,Double,$10 ,Excludes Florida games
2,812537812,Dinkpiece,0,168.88,WR Adam Thielen DST Rams  WR Larry Fitzgerald RB LeSean McCoy WR Kendall Wright TE Zach Ertz RB Le'Veon Bell QB Carson Wentz FLEX Todd Gurley II,34,Double,$10 ,Excludes Florida games
3,812444781,sevans_theory,0,150.68,DST Rams  WR Larry Fitzgerald RB LeSean McCoy WR Doug Baldwin WR Kendall Wright TE Zach Ertz FLEX Carlos Hyde RB David Johnson QB Carson Wentz,34,Double,$10 ,Excludes Florida games
4,812612078,jhanhauser,0,148.04,QB Sam Bradford WR Stefon Diggs DST Colts  TE Delanie Walker WR Kendall Wright RB David Johnson WR Rishard Matthews RB Todd Gurley II FLEX Ezekiel Elliott,34,Double,$10 ,Excludes Florida games
5,811788499,rumsey182,0,143.38,DST Jaguars  WR Larry Fitzgerald WR A.J. Green WR Kendall Wright TE Zach Ertz FLEX Le'Veon Bell RB Carlos Hyde QB Carson Wentz RB Todd Gurley II,34,Double,$10 ,Excludes Florida games
6,812019157,blazed123,0,140.84,WR Danny Amendola DST Panthers  QB Matt Ryan TE Charles Clay WR A.J. Green WR DeAndre Hopkins FLEX Kelvin Benjamin RB Todd Gurley II RB Jordan Howard,34,Double,$10 ,Excludes Florida games
7,812024682,madoublet98,0,139.04,DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews FLEX Todd Gurley II QB Jared Goff,34,Double,$10 ,Excludes Florida games
7,812872316,youdacao,0,139.04,DST Rams  WR Larry Fitzgerald WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews FLEX Todd Gurley II QB Jared Goff,34,Double,$10 ,Excludes Florida games
9,812048639,moklovin,0,137.64,DST Rams  QB Aaron Rodgers WR Larry Fitzgerald WR Doug Baldwin WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB Todd Gurley II,34,Double,$10 ,Excludes Florida games
9,812595023,charder30,0,137.64,DST Rams  WR Brandon Marshall WR Larry Fitzgerald RB LeSean McCoy WR Kendall Wright TE Zach Ertz FLEX Carlos Hyde RB David Johnson QB Marcus Mariota,34,Double,$10 ,Excludes Florida games
