Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,853698178,smk0620,0,174.76,WR Will Fuller V DST Lions  RB Doug Martin WR Randall Cobb WR Chris Hogan TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston FLEX Leonard Fournette,,Jameis Winston,74.56%,21.46
2,853724557,SoulChild,0,174.22,DST Chiefs  FLEX Latavius Murray QB Brian Hoyer WR Dez Bryant WR Pierre Garcon WR T.Y. Hilton RB Le'Veon Bell TE Austin Seferian-Jenkins RB Melvin Gordon,,Le'Veon Bell,53.51%,19.3
3,853621951,draftwiz,0,172.26,DST Dolphins  WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry FLEX Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston TE Evan Engram,,Austin Seferian-Jenkins,50.00%,14.9
4,853495214,whitebr3ad,0,166.66,RB Lamar Miller DST Eagles  WR Dez Bryant FLEX T.Y. Hilton TE Cameron Brate WR Jarvis Landry WR Mike Evans RB Melvin Gordon QB Jameis Winston,,Mike Evans,46.49%,9.9
5,853582575,tattoodscott,0,165.54,FLEX DeAndre Hopkins DST Ravens  QB Carson Palmer WR Dez Bryant WR T.Y. Hilton RB James White TE Austin Seferian-Jenkins WR DeVante Parker RB Melvin Gordon,,Dez Bryant,38.60%,16.2
6,853771455,firsdon,0,165.44,QB Deshaun Watson WR Adam Thielen DST Seahawks  TE Delanie Walker WR Danny Amendola WR T.Y. Hilton RB Carlos Hyde FLEX Jarvis Landry RB Melvin Gordon,,Todd Gurley II,36.84%,6
7,853453692,bwells00,0,165.36,DST Dolphins  RB Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Adam Humphries,35.96%,8.1
8,853680953,GolfGalaxy,0,163.56,DST Eagles  FLEX Dez Bryant WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon RB Isaiah Crowell QB Jameis Winston,,Jarvis Landry,28.95%,15.4
9,853624740,jlebrun208,0,162.66,WR Will Fuller V DST Vikings  RB Le'Veon Bell TE Cameron Brate WR Chris Hogan FLEX Melvin Gordon WR Sterling Shepard QB Jameis Winston RB Duke Johnson Jr.,,James White,28.07%,13
10,853593306,fandk,0,158.02,DST Eagles  QB Brian Hoyer WR DeSean Jackson FLEX Andre Ellington WR T.Y. Hilton RB Le'Veon Bell RB Carlos Hyde TE Cameron Brate WR Chris Hogan,,Chris Hogan,28.07%,21.4
11,853545273,cardinalmaniac08,0,157.56,DST Eagles  WR Dez Bryant RB Andre Ellington WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston FLEX Duke Johnson Jr.,,Danny Amendola,25.44%,15.7
12,853513465,jefe23,0,150.36,DST Eagles  WR Dez Bryant RB Le'Veon Bell TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston RB Wayne Gallman,,Eagles ,22.81%,10
13,853706175,Mjharks22,0,148.26,FLEX Lamar Miller DST Bills  WR Jeremy Maclin TE Cameron Brate WR Jarvis Landry WR Mike Evans RB Melvin Gordon QB Jameis Winston RB Ezekiel Elliott,,T.Y. Hilton,21.05%,27.7
14,853398950,baseballsjk33,0,147.96,DST Bills  FLEX Frank Gore WR DeSean Jackson WR Jaron Brown RB Le'Veon Bell TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon QB Jameis Winston,,Melvin Gordon,21.05%,37.3
15,853432074,LatticeProject,0,145.46,DST Dolphins  WR Dez Bryant FLEX Le'Veon Bell WR Mike Evans WR Adam Humphries RB Melvin Gordon QB Jameis Winston RB Wayne Gallman TE Evan Engram,,Carlos Hyde,20.18%,2.8
15,853664872,jasonwedge,0,145.46,DST Dolphins  WR Dez Bryant RB Le'Veon Bell WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston RB Wayne Gallman TE Evan Engram,,Bills ,15.79%,8
15,853697616,marcf,0,145.46,DST Dolphins  WR Dez Bryant FLEX Le'Veon Bell WR Mike Evans WR Adam Humphries RB Melvin Gordon QB Jameis Winston RB Wayne Gallman TE Evan Engram,,Jaron Brown,14.91%,6.9
18,853802006,anydaysavior,0,142.56,DST Bills  WR Danny Amendola WR T.Y. Hilton RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins FLEX Adam Humphries QB Jameis Winston RB Todd Gurley II,,Ezekiel Elliott,14.91%,17.2
19,853508804,0_for_5,0,142.16,DST Cardinals  WR Dez Bryant RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Evan Engram,14.04%,0
20,853726334,redspecial,0,139.86,DST Bills  WR T.Y. Hilton RB Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Duke Johnson Jr.,12.28%,17.3
21,853789491,SGrabs33,0,139.06,WR Will Fuller V DST Bills  WR Dez Bryant RB LeGarrette Blount WR T.Y. Hilton TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Andre Ellington,12.28%,15.3
22,853471378,ejay1111,0,138.66,DST Dolphins  WR Danny Amendola WR Dez Bryant RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins QB Jameis Winston WR Ricardo Louis FLEX Todd Gurley II,,Cameron Brate,11.40%,17.8
23,853672889,mikew2069,0,138.56,DST Chiefs  RB Frank Gore WR Jeremy Maclin WR Dez Bryant RB Le'Veon Bell TE Julius Thomas WR Mike Evans FLEX Melvin Gordon QB Jameis Winston,,Dolphins ,9.65%,20
24,853614308,romansmom92,0,138.16,DST Dolphins  WR Danny Amendola TE Dwayne Allen WR T.Y. Hilton RB Le'Veon Bell RB James White WR Mike Evans QB Jameis Winston FLEX Joe Mixon,,Tom Brady,9.65%,17.62
25,853560537,Nklivin24,0,137.56,WR Albert Wilson DST Chiefs  WR T.Y. Hilton FLEX Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II,,Lamar Miller,8.77%,10.9
26,853637551,Hardcore_Dorn,0,136.76,DST Bills  WR Dez Bryant RB Andre Ellington WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston FLEX Duke Johnson Jr. RB Todd Gurley II,,DeSean Jackson,7.89%,18.6
27,853724841,Cooper.1651,0,136.06,RB Lamar Miller WR DeAndre Hopkins RB Kareem Hunt WR Kendall Wright DST Dolphins  TE Delanie Walker FLEX Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston,,Cardinals ,7.89%,2
28,853740126,outfortheseason,0,135.96,DST Jets  WR Dez Bryant FLEX Andre Ellington WR Jaron Brown TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon QB Jameis Winston RB Todd Gurley II,,DeVante Parker,7.89%,1.6
29,853673330,rcbrady61,0,135.92,DST Jets  QB Tom Brady RB Bilal Powell WR T.Y. Hilton TE Cameron Brate RB James White WR Chris Hogan WR Mike Evans FLEX Wayne Gallman,,Ravens ,7.89%,12
30,853771041,fuhlzg0ld,0,135.86,DST Ravens  TE Delanie Walker WR T.Y. Hilton WR Rishard Matthews WR Jarvis Landry RB Ameer Abdullah RB Melvin Gordon QB Jameis Winston FLEX Todd Gurley II,,Dwayne Allen,7.02%,0
31,853487761,highlandsjc,0,135.06,DST Eagles  WR Danny Amendola FLEX Jarvis Landry WR Mike Evans WR Adam Humphries RB Melvin Gordon QB Jameis Winston RB Ezekiel Elliott TE Evan Engram,,Adam Thielen,7.02%,9.5
