Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,854424025,DavidCoppafeel,0,198.84,QB Deshaun Watson FLEX DeAndre Hopkins WR Will Fuller V DST Cowboys  RB Marshawn Lynch WR Antonio Brown WR T.Y. Hilton TE Tyler Kroft RB Leonard Fournette,,Jameis Winston,60.04%,21.46
2,854333638,iroczstache,0,193.16,FLEX Tyreek Hill DST Jets  WR DeSean Jackson WR Pierre Garcon TE Cameron Brate WR Chris Hogan RB Melvin Gordon QB Jameis Winston RB Leonard Fournette,,Mike Evans,41.81%,9.9
3,854199026,Dmoney361,0,190.06,DST Dolphins  WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell TE Cameron Brate WR Jarvis Landry FLEX Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston,,Le'Veon Bell,40.07%,19.3
4,852107122,Boss_Hoss,0,188.06,DST Ravens  FLEX Frank Gore WR Jordy Nelson WR T.Y. Hilton TE Cameron Brate WR Jarvis Landry RB Melvin Gordon QB Jameis Winston RB Leonard Fournette,,Todd Gurley II,29.73%,6
5,854238663,JKnKC,0,187.96,DST Ravens  WR DeSean Jackson FLEX Andre Ellington WR T.Y. Hilton RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston,,Austin Seferian-Jenkins,28.72%,14.9
6,853742837,trmcneill,0,187.74,QB Deshaun Watson DST Lions  FLEX Danny Amendola WR DeSean Jackson WR Pierre Garcon WR T.Y. Hilton TE Zach Ertz RB Duke Johnson Jr. RB Leonard Fournette,,Dez Bryant,28.61%,16.2
7,853953981,Ryan55,0,185.86,DST Ravens  WR DeSean Jackson TE Cameron Brate RB James White WR Chris Hogan WR Mike Evans FLEX Melvin Gordon QB Jameis Winston RB Leonard Fournette,,Chris Hogan,28.57%,21.4
8,851656670,swigerfantasy,0,184.34,QB Deshaun Watson WR DeAndre Hopkins WR Adam Thielen DST Bills  TE Jimmy Graham RB Andre Ellington WR Chris Hogan FLEX Duke Johnson Jr. RB Leonard Fournette,,Danny Amendola,22.81%,15.7
9,852265179,dalvey23,0,181.06,WR DeAndre Hopkins FLEX Will Fuller V DST Panthers  TE Delanie Walker RB Doug Martin WR T.Y. Hilton WR Chris Hogan QB Jameis Winston RB Leonard Fournette,,Adam Humphries,22.41%,8.1
10,853842677,andersonm4494,0,180.36,DST Dolphins  WR DeSean Jackson WR Chris Hogan WR Mike Evans RB Melvin Gordon QB Jameis Winston FLEX Duke Johnson Jr. TE Evan Engram RB Leonard Fournette,,Cameron Brate,20.49%,17.8
11,851271578,jhcouvie,0,179.26,TE Zach Miller DST Dolphins  WR Dez Bryant FLEX Andre Ellington RB Le'Veon Bell WR Chris Hogan WR Jarvis Landry RB Melvin Gordon QB Jameis Winston,,Duke Johnson Jr.,17.44%,17.3
12,853497435,Macio73,0,179.02,WR DeAndre Hopkins FLEX Albert Wilson QB Mitchell Trubisky TE Kyle Rudolph DST Jaguars  WR A.J. Green WR Mike Evans RB Melvin Gordon RB Joe Mixon,,T.Y. Hilton,16.97%,27.7
13,851782212,babysauce7,0,178.86,DST Bills  WR Jordy Nelson WR Danny Amendola TE Jimmy Graham WR DeSean Jackson FLEX Melvin Gordon QB Jameis Winston RB Duke Johnson Jr. RB Leonard Fournette,,Bills ,16.17%,8
