"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Le'Veon Bell",9500,"JAX@PIT 01:00PM ET",20.050,"PIT"
"RB","Ezekiel Elliott",8800,"GB@DAL 04:25PM ET",19.125,"DAL"
"RB","Kareem Hunt",8600,"KC@HOU 08:30PM ET",30.725,"KC"
"WR","Odell Beckham Jr.",8500,"LAC@NYG 01:00PM ET",17.500,"NYG"
"WR","Antonio Brown",8400,"JAX@PIT 01:00PM ET",20.200,"PIT"
"WR","A.J. Green",8200,"BUF@CIN 01:00PM ET",17.875,"CIN"
"QB","Aaron Rodgers",8100,"GB@DAL 04:25PM ET",23.985,"GB"
"WR","Jordy Nelson",8100,"GB@DAL 04:25PM ET",16.900,"GB"
"QB","Tom Brady",8000,"NE@TB 08:25PM ET",26.915,"NE"
"RB","Todd Gurley II",8000,"SEA@LAR 04:05PM ET",31.650,"LAR"
"WR","Mike Evans",7900,"NE@TB 08:25PM ET",17.900,"TB"
"RB","LeSean McCoy",7800,"BUF@CIN 01:00PM ET",15.475,"BUF"
"WR","DeAndre Hopkins",7600,"KC@HOU 08:30PM ET",19.275,"HOU"
"WR","Brandin Cooks",7400,"NE@TB 08:25PM ET",15.100,"NE"
"RB","Ty Montgomery",7400,"GB@DAL 04:25PM ET",16.025,"GB"
"WR","Stefon Diggs",7300,"MIN@CHI 08:30PM ET",21.975,"MIN"
"WR","Keenan Allen",7200,"LAC@NYG 01:00PM ET",17.350,"LAC"
"QB","Russell Wilson",7100,"SEA@LAR 04:05PM ET",22.690,"SEA"
"RB","Leonard Fournette",7000,"JAX@PIT 01:00PM ET",20.000,"JAX"
"WR","Doug Baldwin",7000,"SEA@LAR 04:05PM ET",14.600,"SEA"
"TE","Rob Gronkowski",6900,"NE@TB 08:25PM ET",16.700,"NE"
"RB","Carlos Hyde",6900,"SF@IND 01:00PM ET",18.225,"SF"
"WR","Larry Fitzgerald",6800,"ARI@PHI 01:00PM ET",17.150,"ARI"
"QB","Dak Prescott",6800,"GB@DAL 04:25PM ET",20.385,"DAL"
"WR","Randall Cobb",6700,"GB@DAL 04:25PM ET",14.967,"GB"
"WR","Tyreek Hill",6700,"KC@HOU 08:30PM ET",16.800,"KC"
"RB","Jay Ajayi",6600,"TEN@MIA 01:00PM ET",9.500,"MIA"
"WR","DeVante Parker",6600,"TEN@MIA 01:00PM ET",15.667,"MIA"
"QB","Carson Wentz",6600,"ARI@PHI 01:00PM ET",20.255,"PHI"
"QB","Cam Newton",6500,"CAR@DET 01:00PM ET",18.570,"CAR"
"WR","Dez Bryant",6500,"GB@DAL 04:25PM ET",12.300,"DAL"
"QB","Marcus Mariota",6400,"TEN@MIA 01:00PM ET",17.570,"TEN"
"QB","Ben Roethlisberger",6400,"JAX@PIT 01:00PM ET",14.695,"PIT"
"WR","Michael Crabtree",6400,"BAL@OAK 04:05PM ET",16.000,"OAK"
"QB","Matthew Stafford",6300,"CAR@DET 01:00PM ET",17.195,"DET"
"WR","Golden Tate",6300,"CAR@DET 01:00PM ET",13.950,"DET"
"RB","David Johnson",6300,"ARI@PHI 01:00PM ET",14.100,"ARI"
"RB","Bilal Powell",6200,"NYJ@CLE 01:00PM ET",12.975,"NYJ"
"TE","Zach Ertz",6200,"ARI@PHI 01:00PM ET",15.900,"PHI"
"QB","Derek Carr",6200,"BAL@OAK 04:05PM ET",14.205,"OAK"
"QB","Deshaun Watson",6200,"KC@HOU 08:30PM ET",21.310,"HOU"
"WR","Chris Hogan",6100,"NE@TB 08:25PM ET",15.525,"NE"
"WR","Pierre Garcon",6100,"SF@IND 01:00PM ET",12.875,"SF"
"QB","Eli Manning",6100,"LAC@NYG 01:00PM ET",18.905,"NYG"
"QB","Jameis Winston",6000,"NE@TB 08:25PM ET",21.153,"TB"
"QB","Andy Dalton",6000,"BUF@CIN 01:00PM ET",14.270,"CIN"
"WR","T.Y. Hilton",6000,"SF@IND 01:00PM ET",13.475,"IND"
"RB","Melvin Gordon",6000,"LAC@NYG 01:00PM ET",14.375,"LAC"
"TE","Travis Kelce",6000,"KC@HOU 08:30PM ET",16.300,"KC"
"QB","Sam Bradford",6000,"MIN@CHI 08:30PM ET",28.540,"MIN"
"WR","Kelvin Benjamin",5900,"CAR@DET 01:00PM ET",9.350,"CAR"
"QB","Carson Palmer",5900,"ARI@PHI 01:00PM ET",19.230,"ARI"
"RB","Chris Carson",5900,"SEA@LAR 04:05PM ET",9.925,"SEA"
"QB","Alex Smith",5900,"KC@HOU 08:30PM ET",23.145,"KC"
"WR","Adam Thielen",5900,"MIN@CHI 08:30PM ET",15.200,"MIN"
"WR","Jarvis Landry",5800,"TEN@MIA 01:00PM ET",13.633,"MIA"
"QB","Philip Rivers",5800,"LAC@NYG 01:00PM ET",17.320,"LAC"
"WR","Alshon Jeffery",5800,"ARI@PHI 01:00PM ET",13.125,"PHI"
"WR","Davante Adams",5800,"GB@DAL 04:25PM ET",12.475,"GB"
"RB","Christian McCaffrey",5700,"CAR@DET 01:00PM ET",13.375,"CAR"
"QB","Andrew Luck",5700,"SF@IND 01:00PM ET",0,"IND"
"WR","Amari Cooper",5700,"BAL@OAK 04:05PM ET",7.250,"OAK"
"WR","Devin Funchess",5600,"CAR@DET 01:00PM ET",12.650,"CAR"
"QB","Jacoby Brissett",5600,"SF@IND 01:00PM ET",12.805,"IND"
"RB","Jordan Howard",5600,"MIN@CHI 08:30PM ET",16.500,"CHI"
"RB","Doug Martin",5500,"NE@TB 08:25PM ET",0,"TB"
"QB","Jimmy Garoppolo",5500,"NE@TB 08:25PM ET",0,"NE"
"RB","Joe Mixon",5500,"BUF@CIN 01:00PM ET",8.100,"CIN"
"QB","DeShone Kizer",5500,"NYJ@CLE 01:00PM ET",13.815,"CLE"
"WR","DeSean Jackson",5400,"NE@TB 08:25PM ET",9.767,"TB"
"QB","Derek Anderson",5400,"CAR@DET 01:00PM ET",0.680,"CAR"
"RB","DeMarco Murray",5400,"TEN@MIA 01:00PM ET",9.825,"TEN"
"WR","Rishard Matthews",5400,"TEN@MIA 01:00PM ET",12.000,"TEN"
"RB","Mike Gillislee",5300,"NE@TB 08:25PM ET",10.850,"NE"
"WR","Tyrell Williams",5300,"LAC@NYG 01:00PM ET",12.200,"LAC"
"QB","Jared Goff",5300,"SEA@LAR 04:05PM ET",18.295,"LAR"
"RB","Tarik Cohen",5300,"MIN@CHI 08:30PM ET",15.525,"CHI"
