Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,863038805,SUNSET76 (3/5),0,184.9,DST Ravens  WR Antonio Brown FLEX Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Humphries QB Deshaun Watson,,Mark Ingram,47.57%,34
2,863434783,chost (2/3),0,179,WR Larry Fitzgerald WR Michael Crabtree FLEX Rob Gronkowski RB Mark Ingram TE Cameron Brate WR Michael Thomas QB Deshaun Watson RB DeMarco Murray DST Titans ,,Kareem Hunt,40.78%,16
3,862330861,Professional (2/3),0,174.5,TE Zach Miller WR Antonio Brown RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen FLEX Alvin Kamara QB Deshaun Watson DST Broncos ,,Broncos ,40.29%,6
4,861347507,GolfGalaxy (1/2),0,174.3,TE Rob Gronkowski RB Mark Ingram WR John Brown RB Jerick McKinnon WR Amari Cooper WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Deshaun Watson,39.81%,24.3
4,861349058,GolfGalaxy (2/2),0,174.3,TE Rob Gronkowski RB Mark Ingram WR John Brown RB Jerick McKinnon WR Amari Cooper WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,DeAndre Hopkins,38.83%,9.9
6,863460764,MoneyTrain18,0,173.2,TE Rob Gronkowski RB Mark Ingram RB Jerick McKinnon WR Jamison Crowder WR Davante Adams WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Jerick McKinnon,36.41%,25.9
7,863029657,SUNSET76 (2/5),0,172.9,WR Michael Crabtree RB Mark Ingram TE Zach Ertz FLEX Cameron Brate WR DeAndre Hopkins RB Jerick McKinnon WR Jarvis Landry QB Deshaun Watson DST Broncos ,,Adam Thielen,32.04%,18.7
8,863121242,msunken,0,172.18,DST Rams  RB Mark Ingram WR Julio Jones TE Cameron Brate RB Jerick McKinnon WR Brandin Cooks WR Demaryius Thomas QB Jacoby Brissett FLEX T.Y. Hilton,,T.Y. Hilton,28.64%,2.9
9,861355940,SlowQueen (2/3),0,170.4,DST Ravens  RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Jarvis Landry TE Austin Seferian-Jenkins FLEX Kareem Hunt QB Deshaun Watson WR Roger Lewis,,Alvin Kamara,20.39%,12.7
10,861840355,puttst (1/4),0,168.3,WR Michael Crabtree RB Mark Ingram WR Jarvis Landry WR Adam Thielen RB Kareem Hunt FLEX Alvin Kamara QB Deshaun Watson DST Broncos  TE Evan Engram,,Drew Brees,19.42%,13.54
