Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,862616090,MFord108 (1/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Mark Ingram,71.84%,34
1,862616105,MFord108 (2/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Jerick McKinnon,64.81%,25.9
1,862616114,MFord108 (3/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Adam Thielen,56.60%,18.7
1,862616123,MFord108 (4/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Kareem Hunt,42.26%,16
1,862616155,MFord108 (5/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,DeAndre Hopkins,41.56%,9.9
1,862616169,MFord108 (6/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Deshaun Watson,40.31%,24.3
1,862616184,MFord108 (7/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Broncos ,37.80%,6
1,862616227,MFord108 (8/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Drew Brees,34.60%,13.54
1,862616248,MFord108 (9/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Michael Thomas,25.48%,4.1
1,862616274,MFord108 (10/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Alvin Kamara,24.19%,12.7
1,862616359,MFord108 (11/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Julio Jones,23.49%,13.2
1,862616402,MFord108 (12/30),0,197.02,DST Jaguars  QB Carson Palmer WR Larry Fitzgerald WR Antonio Brown RB Mark Ingram FLEX Jerick McKinnon TE Austin Seferian-Jenkins RB Javorius Allen WR Adam Thielen,,Evan Engram,21.86%,19.2
