"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Le'Veon Bell",9600,"PIT@KC 04:25PM ET",19.900,"PIT"
"WR","Antonio Brown",9300,"PIT@KC 04:25PM ET",21.900,"PIT"
"WR","Julio Jones",8300,"MIA@ATL 01:00PM ET",12.875,"ATL"
"QB","Tom Brady",8300,"NE@NYJ 01:00PM ET",25.056,"NE"
"RB","Kareem Hunt",8200,"PIT@KC 04:25PM ET",28.100,"KC"
"WR","DeAndre Hopkins",8100,"CLE@HOU 01:00PM ET",20.860,"HOU"
"RB","Leonard Fournette",8000,"LAR@JAX 04:05PM ET",22.880,"JAX"
"WR","Keenan Allen",7900,"LAC@OAK 04:25PM ET",16.020,"LAC"
"RB","Melvin Gordon",7800,"LAC@OAK 04:25PM ET",18.960,"LAC"
"RB","Todd Gurley II",7700,"LAR@JAX 04:05PM ET",26.520,"LAR"
"WR","Brandin Cooks",7600,"NE@NYJ 01:00PM ET",14.780,"NE"
"WR","Stefon Diggs",7500,"GB@MIN 01:00PM ET",17.860,"MIN"
"RB","Devonta Freeman",7400,"MIA@ATL 01:00PM ET",19.375,"ATL"
"QB","Aaron Rodgers",7300,"GB@MIN 01:00PM ET",23.996,"GB"
"WR","Michael Thomas",7300,"DET@NO 01:00PM ET",17.000,"NO"
"QB","Drew Brees",7200,"DET@NO 01:00PM ET",20.175,"NO"
"WR","Jordy Nelson",7100,"GB@MIN 01:00PM ET",15.600,"GB"
"QB","Matt Ryan",7000,"MIA@ATL 01:00PM ET",15.990,"ATL"
"WR","Chris Hogan",7000,"NE@NYJ 01:00PM ET",16.700,"NE"
"WR","Mike Evans",6900,"TB@ARI 04:05PM ET",15.900,"TB"
"WR","Golden Tate",6800,"DET@NO 01:00PM ET",13.120,"DET"
"TE","Rob Gronkowski",6800,"NE@NYJ 01:00PM ET",16.700,"NE"
"QB","Kirk Cousins",6800,"SF@WAS 01:00PM ET",18.965,"WAS"
"WR","Larry Fitzgerald",6800,"TB@ARI 04:05PM ET",15.940,"ARI"
"QB","Cam Newton",6700,"PHI@CAR 08:25PM ET",20.696,"CAR"
"QB","Deshaun Watson",6700,"CLE@HOU 01:00PM ET",24.156,"HOU"
"RB","Ty Montgomery",6700,"GB@MIN 01:00PM ET",16.025,"GB"
"WR","T.Y. Hilton",6700,"IND@TEN 08:30PM ET",16.320,"IND"
"QB","Carson Wentz",6600,"PHI@CAR 08:25PM ET",22.456,"PHI"
"WR","Jarvis Landry",6600,"MIA@ATL 01:00PM ET",14.075,"MIA"
"QB","Philip Rivers",6600,"LAC@OAK 04:25PM ET",18.220,"LAC"
"RB","C.J. Anderson",6600,"NYG@DEN 08:30PM ET",16.175,"DEN"
"QB","Matthew Stafford",6500,"DET@NO 01:00PM ET",16.988,"DET"
"RB","David Johnson",6500,"TB@ARI 04:05PM ET",14.100,"ARI"
"WR","Odell Beckham Jr.",6500,"NYG@DEN 08:30PM ET",18.500,"NYG"
"WR","Kelvin Benjamin",6400,"PHI@CAR 08:25PM ET",10.640,"CAR"
"QB","Alex Smith",6400,"PIT@KC 04:25PM ET",24.488,"KC"
"WR","Tyreek Hill",6400,"PIT@KC 04:25PM ET",16.800,"KC"
"TE","Zach Ertz",6300,"PHI@CAR 08:25PM ET",16.340,"PHI"
"WR","Alshon Jeffery",6300,"PHI@CAR 08:25PM ET",11.720,"PHI"
"WR","Pierre Garcon",6300,"SF@WAS 01:00PM ET",13.780,"SF"
"QB","Marcus Mariota",6300,"IND@TEN 08:30PM ET",17.570,"TEN"
"WR","DeVante Parker",6200,"MIA@ATL 01:00PM ET",12.150,"MIA"
"RB","Carlos Hyde",6200,"SF@WAS 01:00PM ET",15.140,"SF"
"QB","Jameis Winston",6200,"TB@ARI 04:05PM ET",21.230,"TB"
"WR","Devin Funchess",6100,"PHI@CAR 08:25PM ET",13.780,"CAR"
"QB","Carson Palmer",6100,"TB@ARI 04:05PM ET",18.512,"ARI"
