player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Ravens,DST,8.12,3.2,1.71,14.52,7.63,6.4
Broncos,DST,8.1,1.36,5.39,10.82,7.99,8.02
Steelers,DST,7.97,3.11,1.76,14.18,7.42,7.6
Chargers,DST,7.82,1.78,4.26,11.38,7.61,7.82
Cardinals,DST,7.59,1.36,4.87,10.31,7.47,7.86
Panthers,DST,7.45,2.02,3.42,11.49,7.16,6.76
Texans,DST,7.34,1.84,3.66,11.02,7.09,8.0
Redskins,DST,7.33,0.96,5.4,9.26,7.27,7.05
Cowboys,DST,7.32,1.4,4.53,10.11,7.2,6.8
Seahawks,DST,7.08,1.51,4.06,10.1,6.94,6.6
Patriots,DST,7.08,0.73,5.61,8.54,7.04,7.09
Eagles,DST,6.99,1.96,3.06,10.92,6.7,6.7
Bengals,DST,6.88,1.67,3.55,10.21,6.7,6.5
Vikings,DST,6.86,1.4,4.06,9.67,6.71,7.0
Falcons,DST,6.82,1.44,3.95,9.7,6.69,6.42
Jaguars,DST,6.8,2.77,1.26,12.34,6.17,6.7
Bills,DST,6.76,2.42,1.91,11.61,6.25,7.8
Raiders,DST,6.76,0.78,5.2,8.32,6.72,6.7
Rams,DST,6.73,1.29,4.15,9.31,6.6,6.6
Chiefs,DST,6.43,1.33,3.76,9.1,6.29,6.2
Packers,DST,6.09,1.79,2.51,9.66,5.78,6.23
Titans,DST,5.99,0.67,4.65,7.33,5.95,6.0
Colts,DST,5.97,2.04,1.89,10.04,5.6,5.9
Giants,DST,5.84,1.34,3.16,8.53,5.7,5.2
Lions,DST,5.84,1.01,3.82,7.85,5.76,5.7
49ers,DST,4.85,1.14,2.57,7.14,4.69,5.27
Jets,DST,4.8,1.01,2.77,6.83,4.7,4.3
Bears,DST,4.8,0.84,3.12,6.47,4.73,4.7
Saints,DST,4.63,2.11,0.42,8.85,4.0,6.1
Browns,DST,4.56,1.25,2.07,7.06,4.41,4.2
Tom Brady,QB,23.95,3.42,17.12,30.78,23.68,24.23
Tom Brady,QB,23.95,3.42,17.12,30.78,23.68,24.23
Drew Brees,QB,22.86,2.97,16.92,28.79,22.66,23.45
Drew Brees,QB,22.86,2.97,16.92,28.79,22.66,23.45
Aaron Rodgers,QB,21.79,2.44,16.91,26.68,21.66,21.04
Aaron Rodgers,QB,21.79,2.44,16.91,26.68,21.66,21.04
Matt Ryan,QB,21.33,2.45,16.42,26.23,21.19,20.37
Matt Ryan,QB,21.33,2.45,16.42,26.23,21.19,20.37
Kirk Cousins,QB,20.69,2.23,16.23,25.14,20.57,20.67
Kirk Cousins,QB,20.69,2.23,16.23,25.14,20.57,20.67
Russell Wilson,QB,20.05,1.97,16.11,23.99,19.95,21.03
Russell Wilson,QB,20.05,1.97,16.11,23.99,19.95,21.03
Cam Newton,QB,19.26,1.42,16.42,22.11,19.21,18.83
Cam Newton,QB,19.26,1.42,16.42,22.11,19.21,18.83
Matthew Stafford,QB,18.76,0.58,17.6,19.91,18.75,18.83
Matthew Stafford,QB,18.76,0.58,17.6,19.91,18.75,18.83
Carson Palmer,QB,17.37,0.96,15.44,19.3,17.34,17.62
Carson Palmer,QB,17.37,0.96,15.44,19.3,17.34,17.62
Philip Rivers,QB,17.12,3.23,10.66,23.59,16.86,15.88
Philip Rivers,QB,17.12,3.23,10.66,23.59,16.86,15.88
Alex Smith,QB,16.82,1.66,13.5,20.14,16.73,16.9
Alex Smith,QB,16.82,1.66,13.5,20.14,16.73,16.9
Eli Manning,QB,16.07,2.36,11.34,20.8,15.88,16.63
Eli Manning,QB,16.07,2.36,11.34,20.8,15.88,16.63
Marcus Mariota,QB,15.78,6.8,2.17,29.39,18.26,18.75
Marcus Mariota,QB,15.78,6.8,2.17,29.39,18.26,18.75
Joe Flacco,QB,15.53,1.22,13.09,17.96,15.48,15.4
Joe Flacco,QB,15.53,1.22,13.09,17.96,15.48,15.4
Derek Carr,QB,15.34,6.42,2.5,28.17,17.82,18.77
Derek Carr,QB,15.34,6.42,2.5,28.17,17.82,18.77
Ben Roethlisberger,QB,15.26,6.36,2.53,27.98,17.74,17.91
Ben Roethlisberger,QB,15.26,6.36,2.53,27.98,17.74,17.91
Blake Bortles,QB,15.19,1.93,11.33,19.04,15.06,14.75
Blake Bortles,QB,15.19,1.93,11.33,19.04,15.06,14.75
Carson Wentz,QB,15.07,1.58,11.9,18.24,14.98,15.6
Carson Wentz,QB,15.07,1.58,11.9,18.24,14.98,15.6
Dak Prescott,QB,14.98,6.85,1.27,28.68,17.9,17.34
Dak Prescott,QB,14.98,6.85,1.27,28.68,17.9,17.34
Brian Hoyer,QB,14.32,2.29,9.75,18.9,14.16,13.6
Brian Hoyer,QB,14.32,2.29,9.75,18.9,14.16,13.6
Trevor Siemian,QB,14.24,2.4,9.44,19.03,14.01,14.8
Trevor Siemian,QB,14.24,2.4,9.44,19.03,14.01,14.8
Jameis Winston,QB,14.0,7.02,-0.03,28.03,17.49,17.51
Andy Dalton,QB,13.61,6.71,0.19,27.03,16.03,15.68
Andy Dalton,QB,13.61,6.71,0.19,27.03,16.03,15.68
Jared Goff,QB,13.13,1.46,10.2,16.05,13.04,13.07
Jared Goff,QB,13.13,1.46,10.2,16.05,13.04,13.07
Deshaun Watson,QB,12.84,8.51,-4.18,29.87,16.31,15.36
Josh McCown,QB,12.66,3.46,5.74,19.58,11.98,13.85
Josh McCown,QB,12.66,3.46,5.74,19.58,11.98,13.85
Sam Bradford,QB,11.95,6.77,-1.59,25.5,7.96,14.09
Sam Bradford,QB,11.95,6.77,-1.59,25.5,7.96,14.09
Tyrod Taylor,QB,11.77,8.35,-4.93,28.47,17.63,17.03
Tyrod Taylor,QB,11.77,8.35,-4.93,28.47,17.63,17.03
Case Keenum,QB,11.14,6.44,-1.74,24.02,14.84,14.56
Jacoby Brissett,QB,10.89,6.4,-1.9,23.69,14.47,13.59
DeShone Kizer,QB,10.45,7.39,-4.32,25.23,5.0,13.07
DeShone Kizer,QB,10.45,7.39,-4.32,25.23,5.0,13.07
Jay Cutler,QB,10.44,6.19,-1.94,22.82,13.84,12.79
Mike Glennon,QB,9.09,6.33,-3.56,21.74,3.38,12.77
Mike Glennon,QB,9.09,6.33,-3.56,21.74,3.38,12.77
Tom Savage,QB,7.55,6.15,-4.74,19.84,3.41,8.09
Tom Savage,QB,7.55,6.15,-4.74,19.84,3.41,8.09
Andrew Luck,QB,7.53,10.65,-13.76,28.82,22.58,0.0
Kevin Hogan,QB,5.91,6.58,-7.26,19.08,6.9,1.69
Scott Tolzien,QB,5.7,6.43,-7.16,18.56,1.55,1.4
Scott Tolzien,QB,5.7,6.43,-7.16,18.56,1.55,1.4
Mitchell Trubisky,QB,4.22,5.81,-7.4,15.85,1.68,0.23
Cody Kessler,QB,4.06,7.04,-10.01,18.14,16.25,0.0
Matt Cassel,QB,3.81,4.79,-5.76,13.39,2.38,1.88
Matt Moore,QB,3.57,5.7,-7.82,14.97,1.02,0.24
Landry Jones,QB,3.19,5.73,-8.28,14.66,0.84,0.26
Brock Osweiler,QB,0.92,1.58,-2.23,4.08,0.35,0.02
Ryan Fitzpatrick,QB,0.84,1.13,-1.42,3.1,0.59,0.28
Bryce Petty,QB,0.58,0.82,-1.05,2.22,0.65,0.29
