player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projection,,Week,Name,Pos,DK points,New Predicted,Average Projection
Patriots,DST,12.48,5.09,2.3,22.66,11.6,12,#N/A,,5,David Johnson,RB,36.501,16.6952866,18.91166667
Vikings,DST,12.04,5.67,0.69,23.39,10.87,9.3,#N/A,,5,Andre Ellington,RB,1.901,8.3650646,4.87
Cardinals,DST,11.28,6.4,-1.52,24.07,9.76,9,#N/A,,5,Brent Celek,TE,0.001,10.98685,4.718333333
Panthers,DST,11.05,3.19,4.67,17.43,10.61,10.45,#N/A,,5,Charles Johnson,WR,1.201,1.1794599,5.066666667
Eagles,DST,9.46,3.33,2.8,16.12,9,7.8,#N/A,,5,Dion Sims,TE,1.601,9.84775,4.701666667
Redskins,DST,9.44,6.38,-3.32,22.2,7.96,6.5,#N/A,,5,Andre Johnson,WR,9.301,4.6850672,4.323333333
Broncos,DST,9.44,2.37,4.7,14.18,9.19,9,#N/A,,5,Garrett Celek,TE,1.401,10.98685,5.536666667
49ers,DST,9.28,7.71,-6.14,24.69,6.59,6.2,#N/A,,5,James Starks,RB,8.201,6.508766,7.361666667
Packers,DST,8.78,2.76,3.26,14.3,8.41,7.7,#N/A,,5,Kamar Aiken,WR,0.001,4.9621133,6.001666667
Steelers,DST,8.48,2.52,3.43,13.53,8.14,8.1,#N/A,,5,Robby Anderson,WR,2.001,5.824015,5.543333333
Bengals,DST,8.4,3.86,0.68,16.12,7.74,6.5,#N/A,,5,Ricardo Louis,WR,3.301,4.4868772,4.721666667
Lions,DST,8.22,3.95,0.33,16.11,7.52,6.7,#N/A,,5,Breshad Perriman,WR,3.101,5.6048267,4.863333333
Ravens,DST,8.2,4.1,0,16.4,7.38,6.4,#N/A,,5,Will Tye,TE,5.701,14.9737,6.376666667
Texans,DST,8.18,3.02,2.14,14.22,7.73,7.2,#N/A,,5,Brice Butler,WR,4.001,6.0411,5.346666667
Raiders,DST,8.02,4.08,-0.14,16.18,7.24,6.5,#N/A,,5,Quinton Patton,WR,3.601,3.2523734,7.27
Bills,DST,8,4.08,-0.17,16.17,7.23,6.4,#N/A,,5,Devin Funchess,WR,0.001,7.2141599,6.396666667
Colts,DST,7.94,3.65,0.64,15.24,7.3,6.2,#N/A,,5,DeAndre Washington,RB,10.201,9.5966926,7.041666667
Buccaneers,DST,7.8,3.76,0.27,15.33,7.03,6.35,#N/A,,5,John Brown,WR,2.101,8.5702277,11.3
Bears,DST,7.7,4.25,-0.8,16.2,6.83,6.3,#N/A,,5,Ryan Griffin,TE,2.801,13.8346,5.348333333
Jets,DST,7.58,3.53,0.51,14.65,6.84,6.5,#N/A,,5,Derrick Henry,RB,5.401,7.785853,6.11
Chargers,DST,7.3,3.91,-0.53,15.13,6.55,5.1,#N/A,,5,Zach Ertz,TE,6.701,10.98685,10.13833333
Dolphins,DST,7.04,3.74,-0.45,14.53,6.24,5.3,#N/A,,5,Tyler Boyd,WR,6.301,5.873144,6.365
Giants,DST,6.92,3.72,-0.53,14.37,6.14,5.7,#N/A,,5,Tajae Sharpe,WR,3.701,6.9682925,8.783333333
Falcons,DST,6.84,3.74,-0.63,14.31,6.05,5.8,#N/A,,5,Dorial Green-Beckham,WR,7.301,6.97516,5.338333333
Titans,DST,6.78,3.82,-0.85,14.41,5.92,5.4,#N/A,,5,Vincent Jackson,WR,6.601,6.7271,8.895
Cowboys,DST,6.5,3.77,-1.04,14.04,5.75,4.4,#N/A,,5,Torrey Smith,WR,0.001,4.2155066,10.32166667
Browns,DST,5.16,4.49,-3.81,14.13,5.95,4.7,#N/A,,5,Jerick McKinnon,RB,5.601,10.5107714,10.99
Cam Newton,QB,22.4,2.19,18.02,26.77,22.29,23.27,#N/A,,5,Danny Amendola,WR,3.101,10.01556,5.651666667
Aaron Rodgers,QB,21.4,2.75,15.9,26.9,21.23,21.46,23.4642858,,5,Nelson Agholor,WR,5.201,7.7377966,6.733333333
Ben Roethlisberger,QB,21.11,2.36,16.38,25.83,20.97,21.88,24.6664259,,5,Marquise Goodwin,WR,9.301,6.674914,4.613333333
Andrew Luck,QB,20.76,0.47,19.81,21.71,20.76,20.85,21.6946959,,5,Charles Clay,TE,12.301,9.84775,7.751666667
Tom Brady,QB,20.32,1.13,18.06,22.58,20.29,20.49,31.379896,,5,Phillip Dorsett,WR,4.601,6.9403233,10.94666667
Derek Carr,QB,20,2.13,15.74,24.26,19.9,19,23.0337914,,5,Dontrelle Inman,WR,1.301,10.0079997,7.403333333
Philip Rivers,QB,19.05,3.91,11.22,26.88,18.69,17.99,21.6124639,,5,Andrew Hawkins,WR,15.601,7.77727,7.191666667
Matthew Stafford,QB,18.33,2.76,12.8,23.86,18.13,17.54,17.929844,,5,Lance Kendricks,TE,4.401,9.84775,5.835
Joe Flacco,QB,17.52,1.71,14.1,20.95,17.44,17.26,15.8440538,,5,Robert Woods,WR,4.601,7.480648,8.366666667
Matt Ryan,QB,17.37,5.38,6.6,28.13,16.72,15.99,20.598068,,5,Devontae Booker,RB,9.901,10.4003226,5.366666667
Ryan Fitzpatrick,QB,17.24,2.09,13.06,21.41,17.11,17.7,16.129668,,5,Jesse James,TE,16.301,17.82145,7.818333333
Ryan Tannehill,QB,16.99,2,12.99,20.99,16.87,17,17.0260989,,5,Bilal Powell,RB,11.101,9.321768,8.043333333
Eli Manning,QB,16.72,2.67,11.39,22.06,16.54,15.57,16.424222,,5,Mohamed Sanu,WR,6.301,6.45228,7.568333333
Jameis Winston,QB,16.55,1.47,13.61,19.48,16.48,17.08,23.890358,,5,Dwayne Allen,TE,17.001,7,7.81
Tyrod Taylor,QB,16.53,1.87,12.79,20.27,16.43,15.84,16.0116968,,5,Terrance Williams,WR,12.001,9.6547233,8.073333333
Andy Dalton,QB,16.5,1.86,12.78,20.23,16.39,17.02,18.8391392,,5,Chris Thompson,RB,8.501,7.63401,6.246666667
Marcus Mariota,QB,16.31,1.68,12.95,19.67,16.22,16.25,17.5464674,,5,Seth Roberts,WR,4.201,8.8903697,7.673333333
Carson Wentz,QB,16.23,2.52,11.19,21.27,16.01,16.77,16.1453971,,5,Jaron Brown,WR,0.001,11.4746177,3.906666667
Kirk Cousins,QB,16.08,1.39,13.3,18.85,16.02,16.2,15.9710048,,5,Antonio Gates,TE,12.001,10.98685,10.76
Carson Palmer,QB,15.25,8.33,-1.41,31.92,16.64,16.39,#N/A,,5,Victor Cruz,WR,0.001,7.2879099,8.441666667
Blaine Gabbert,QB,14.75,1.82,11.12,18.38,14.64,14.25,12.721344,,5,Chris Hogan,WR,18.601,11.851884,6.536666667
Dak Prescott,QB,14.39,0.72,12.95,15.84,14.38,14.3,20.2664573,,5,Jacob Tamme,TE,1.101,11.5564,7.068333333
Brock Osweiler,QB,13.81,1.19,11.44,16.19,13.76,13.98,11.4848392,,5,Hunter Henry,TE,16.401,10.98685,7.156666667
Trevor Siemian,QB,13.75,4.13,5.48,22.01,12.91,14.38,#N/A,,5,Jason Witten,TE,7.301,9.84775,9.811666667
Sam Bradford,QB,12.59,0.79,11.02,14.16,12.56,13.01,#N/A,,5,Gary Barnidge,TE,12.601,18.391,10.2
Cody Kessler,QB,12.12,1.48,9.16,15.07,12.02,12.67,#N/A,,5,Eddie Lacy,RB,9.401,12.155595,13.55
Brian Hoyer,QB,10.55,6.33,-2.11,23.21,11.3,13.32,21.364571,,5,Michael Floyd,WR,0.001,12.0686123,10.09333333
Case Keenum,QB,10.3,2.44,5.42,15.18,9.89,11.37,15.0235491,,5,Cameron Artis-Payne,RB,20.501,10.630012,5.985
Paxton Lynch,QB,4.95,5.28,-5.61,15.5,2.47,3.02,#N/A,,5,Jeremy Hill,RB,1.201,9.521488,9.326666667
Colin Kaepernick,QB,4.79,8.5,-12.22,21.8,1.51,0.76,#N/A,,5,Kenny Stills,WR,0.001,9.0443866,9.385
Jimmy Garoppolo,QB,3.36,6.47,-9.57,16.3,0.48,0.1,#N/A,,5,Ryan Mathews,RB,17.501,11.8122686,9.971666667
Drew Stanton,QB,3.26,5.15,-7.03,13.56,1.3,0.24,#N/A,,5,Julian Edelman,WR,8.501,12.863736,13.80666667
Geno Smith,QB,3.24,4.54,-5.84,12.33,1.14,0.35,#N/A,,5,Adam Thielen,WR,28.701,8.5678533,5.988333333
Shaun Hill,QB,2.64,5,-7.35,12.64,0.53,0.17,#N/A,,5,Rishard Matthews,WR,13.201,10.6812272,7.938333333
Derek Anderson,QB,1.51,2.1,-2.69,5.71,0.5,0.06,#N/A,,5,Pierre Garcon,WR,16.601,7.80968,9.291666667
Mark Sanchez,QB,0.83,0.88,-0.92,2.59,0.67,0.36,#N/A,,5,Brian Quick,WR,8.101,10.7028501,4.701666667
Colt McCoy,QB,0.66,1.12,-1.57,2.89,0.29,0.12,#N/A,,5,Anquan Boldin,WR,8.801,9.4683875,9.781666667
AJ McCarron,QB,0.49,0.72,-0.96,1.94,0.29,0.14,#N/A,,5,Dennis Pitta,TE,12.901,11.5564,7.756666667
Matt McGloin,QB,0.48,0.76,-1.03,2,0.22,0.12,#N/A,,5,Cameron Brate,TE,4.801,13.8346,8.801666667
Mike Glennon,QB,0.46,0.65,-0.85,1.77,0.3,0.16,#N/A,,5,Jack Doyle,TE,2.801,7,6.185
Landry Jones,QB,0.43,0.45,-0.48,1.34,0.31,0.34,#N/A,,5,Darren Sproles,RB,10.801,11.0872618,7.951666667
Dan Orlovsky,QB,0.38,0.54,-0.71,1.46,0.19,0.1,#N/A,,5,DeSean Jackson,WR,6.501,8.521724,11.2
Tom Savage,QB,0.34,0.49,-0.64,1.32,0.16,0.1,#N/A,,5,Sammie Coates,WR,34.901,11.0651467,7.663333333
Matt Cassel,QB,0.34,0.41,-0.49,1.16,0.26,0.14,#N/A,,5,Jeremy Kerley,WR,27.201,8.6592233,8.641666667
Scott Tolzien,QB,0.28,0.35,-0.43,0.99,0.13,0.11,#N/A,,5,Terrance West,RB,10.901,12.7836978,10.50166667
Ryan Mallett,QB,0.25,0.23,-0.2,0.71,0.25,0.15,#N/A,,5,Sterling Shepard,WR,3.401,9.6039267,10.965
E.J. Manuel,QB,0.21,0.14,-0.07,0.49,0.17,0.17,#N/A,,5,Golden Tate,WR,7.501,10.4174672,10.205
Jared Goff,QB,0.19,0.15,-0.11,0.49,0.21,0.19,#N/A,,5,Kyle Rudolph,TE,3.501,13.8346,9.33
Kellen Clemens,QB,0.17,0.24,-0.32,0.66,0.08,0.08,#N/A,,5,Kendall Wright,WR,1.901,12.228986,5.223333333
Joe Callahan,QB,0.12,0.22,-0.31,0.56,0.5,0,#N/A,,5,Matt Jones,RB,6.601,10.775646,9.411666667
Brett Hundley,QB,0.11,0.16,-0.21,0.43,0.05,0.01,#N/A,,5,Tavon Austin,WR,15.501,12.0941466,9.635
Sean Mannion,QB,0.11,0.15,-0.19,0.4,0.24,0,#N/A,,5,Brandon LaFell,WR,26.801,11.513282,7.228333333
Matt Moore,QB,0.1,0.12,-0.13,0.34,0.07,0.07,#N/A,,5,Delanie Walker,TE,17.601,9.84775,10.93833333
Chad Henne,QB,0.09,0.15,-0.21,0.39,0.35,0,#N/A,,5,Jamison Crowder,WR,12.501,9.889598,7.855
Charlie Whitehurst,QB,0.09,0.12,-0.16,0.33,0.05,0,#N/A,,5,Lamar Miller,RB,3.401,12.059762,14.20666667
Chase Daniel,QB,0.07,0.09,-0.12,0.26,0.07,0.02,#N/A,,5,Ryan Fitzpatrick,QB,15.101,16.129668,17.23666667
Jacoby Brissett,QB,0.05,0.07,-0.09,0.2,0.13,0,#N/A,,5,Tyrell Williams,WR,25.701,14.9379675,9.871666667
Matt Barkley,QB,0.04,0.07,-0.09,0.18,0.04,0.01,#N/A,,5,Alshon Jeffery,WR,12.701,14.558532,15.17666667
