"fpts","ha","cond","l5g_avg_fpts","l5g_avg_ints","l5g_avg_tdp","l5g_avg_pa","l5g_avg_py","l5g_avg_pc","l5g_pct_pyb","l5g_avg_sacks","l5g_avg_fuml","l5g_avg_rec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
23,0,"1",7.89,0.5,1,11,93.5,7,0,1,0,0,32.4,112.8,249.6,0.4,2.8
25.94,1,"1",12.9266666666667,1,1,17,125.666666666667,10.3333333333333,0,3,0,0,28.75,74.25,308.5,1.25,2
29.92,0,"1",16.18,1.25,1.25,24.75,204.5,15.25,0.25,5,0,0,15.25,79,212,0.25,3.25
11.1,1,"1",23.71,1.25,1.75,32,255.25,18.25,0.25,1,0,0,25,148.25,199.75,0.5,1
15.02,1,"1",21.188,1,1.4,32.6,261.2,19.4,0.2,2,0.2,0,29.4,134,213,0,3.2
13.16,1,"1",15.875,0.75,1.5,38.25,222.5,18.75,0,5,0,0,22.8,110.4,278,0.8,2
22.26,0,"1",13.85,1,1,40.75,232.5,20,0,4,0,0,12.8,102.8,179,0.6,2.6
28.48,0,"1",13.776,1,1.2,33.6,211.4,16.8,0,1,0.2,0,23.75,86,207.75,0.25,1.5
26.56,1,"1",17.712,0.8,1.6,35,238.8,18.2,0.2,4,0.2,0,26,110.2,236.2,0.8,2.6
21.78,0,"1",19.404,0.6,1.6,31.4,252.6,19.2,0.2,1,0.2,0,18.6,113.2,249.4,0.6,4.2
27,1,"1",21.128,0.8,1.6,31.4,264.2,17.8,0.4,3,0.2,0,23.8,170.8,199.2,0.6,2
17.06,0,"1",22.076,1,1.6,33.2,279.4,19,0.6,3,0.4,0,19.8,120.2,211.8,0.8,2.8
19.36,1,"1",24.176,0.6,1.8,33.6,302.4,20.6,0.6,5,0.2,0,15,75.8,160.6,0.6,2
15.42,0,"1",22.352,1,2,34.2,286.8,20.8,0.4,3,0.2,0,19.2,109.4,182.6,1.2,3
17.9,0,"1",19.252,1.2,2,35,236.8,20.4,0,2,0.2,0,23.5,138.25,203.5,0.25,2.25
32.76,1,"1",19.372,1.2,2.2,31.2,225.8,18,0,3,0.2,0,17,118.25,173.5,0.75,2.25
17.48,1,"1",23.128,0.8,2.4,32.6,233.2,19.4,0,0,0.2,0,8.25,89,168,0.5,2.75
16.96,0,"1",20.585,0.75,2.25,29,214,16,0,2,0,0,18,121.5,189,0.5,3.5
18.76,0,"1",21.275,0.75,2.25,32.5,227.5,17.75,0,2,0,0,19.2,141.6,227.2,1,3
9.54,1,"1",21.49,0.75,2,34.5,246,19.75,0,2,0.25,0,20.25,98.75,235.75,1.25,3
13.7,1,"1",15.685,1.5,1.25,36,261.5,19.75,0.25,4,0.5,0,12.5,111,143.25,0.75,3.25
10.02,0,"1",14.74,1,1.25,33.5,252.25,18,0.25,2,0.75,0,21.6,115.2,233.8,0.6,1.6
20.7,1,"1",13.796,0.8,1.2,31.8,226.4,16.2,0.2,4,0.6,0,25.6,135,232.4,0.6,1.2
10.7,0,"1",14.544,0.8,1.4,31,225.6,16.4,0.2,3,0.6,0,32.8,129.4,221.4,0.4,1.4
15.52,1,"1",10.448,0.8,1,31.4,198.2,18.8,0,0,0.8,0,33,168,200.5,0.5,1
30.48,0,"1",11.46,0.6,1.2,27.8,174,15.8,0,3,0.4,0,32.4,149.4,254.4,1,1.8
12.78,1,"1",14.364,0.6,1.4,28.4,206.6,16.8,0.2,3,0.4,0,18.25,127.25,204.75,0.5,2.25
9.18,0,"1",14.34,0.8,1.6,30.6,207,17.8,0.2,1,0.6,0,18.75,103.5,238,1,3
8.82,1,"1",16.99,0.5,2,30.5,208.5,17.5,0.25,7,0.25,0,27.75,133.75,304.25,1,2
16.18,0,"1",15.315,1,1.5,32.5,227.25,19.25,0.25,2,0.25,0,13.4,157.2,175.6,1.2,3
21.94,0,"1",11.74,1,1,34.75,211,19.5,0,0,0.75,0,21.25,149.75,225.75,1.75,1.5
10.6,1,"1",14.03,0.75,0.75,33.75,194.5,18,0,7,0.5,0,18.8,121.6,169,0.6,1.2
31.94,1,"1",14.385,0.5,0.75,34.25,216.5,19.75,0,1,1.25,0,23.6,138,205.4,0.6,1.8
19.12,0,"1",17.896,0.4,1.6,34.4,232.4,21,0,1,1.2,0,12,78,156.2,1,2.2
14.42,1,"1",19.956,0,2,34.6,239.4,21.2,0,2,1.2,0,19.8,107.6,170,0.8,1.8
20.46,1,"1",16.368,0.4,1.4,35,233.2,20.4,0.2,3,0.2,0,23.5,90.5,293.75,1,2.25
15.28,0,"1",17.956,0.4,1.4,35.2,238.4,21.2,0.2,1,0.2,0,25.2,145.8,215.8,0.2,2
8.02,0,"1",14.365,0.5,1,35,219.75,20,0,3,0.25,1,15.8,77.8,243.8,0.6,2.2
18.46,1,"1",13.875,0.75,1.25,32.25,202.5,18,0,4,0.25,0,25.25,97.25,285,0,2.25
16.78,1,"1",15.555,0.75,1,33.25,240.75,19,0,2,0.25,0,20,117,200.5,0.5,2.5
16.56,0,"1",14.635,1.25,1,38.75,272.75,22,0.25,4,0.25,0,27,132,262.75,0.25,2
18.84,1,"1",14.955,1.75,1,37.5,249.5,21,0.25,1,0.25,0,20.2,114.6,264.2,1,2.6
11.88,0,"1",15.732,1.8,1.4,38,249.8,20.8,0.2,2,0.2,0,30.2,97.2,253,1.2,2
16.46,0,"1",16.504,2,1.4,38.4,265.6,21.2,0.2,7,0,0,15.8,137.2,146.2,0.8,4.2
16.28,1,"1",16.104,1.8,1.6,37.2,247.6,21,0.2,4,0,0,19.8,118.4,183.4,1,2.6
13.74,0,"1",16.004,1.6,1.6,30,217.6,16.6,0,3,0,0,19.2,82,247.2,1.4,2.4
19.16,1,"1",11.976,1.4,0.4,30,216.4,16.2,0.2,2,0.4,0,17.6,118.8,218.2,1,3.6
18,0,"1",13.848,1.6,0.8,31.6,230.2,17,0.2,4,0.2,0,33,131.8,264.6,0.6,2.8
8.36,1,"1",14.248,1.2,1,30.4,201.2,15.2,0,6,0,0,25.25,132.25,203.5,1,3
12.2,1,"1",13.348,1,0.8,30.4,196.2,15.6,0,3,0,0,10.5,80.25,180.75,0,3.25
25.72,0,"1",14.43,1.25,1.25,32.5,208.25,17.5,0,1,0,0,25,135,295.5,0.5,0.75
19.04,0,"1",16.07,1.25,1.25,36.75,229.25,18.75,0.25,1,0,0,28.75,162,174.75,0.5,1.5
15.16,0,"1",14.615,1.75,1.5,33.25,227.25,19.5,0.25,3,0,0,20.8,116.2,171.6,0.4,1.2
10.38,0,"1",12.56,1,1,22,179,13,0,5,0,0,29.4,121,265.2,0.8,3
10.16,0,"1",9.92,1.66666666666667,0.666666666666667,31.3333333333333,201.333333333333,18.3333333333333,0,4,0,0,19.6,95.8,290.4,0.6,1.8
