"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_pct_ryb","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
9.9,1,"1",8.68,3.4,0,0.2,8,26.4,0,21,3,0,0,28.4,120,185.8,0.4,1.8
15.9,0,"1",6.08,1.6,0,0,10.6,42.4,0,12,2,0,0,32.25,168.75,248.5,0.5,1.5
8.8,1,"1",8.62,1.8,0,0.2,11.4,54.8,0,9,4,0,0,23.2,160.6,227.8,0.4,2
11.2,0,"1",9.175,1.75,0,0.5,9.5,34.5,0,18,3,0,0,29.6,128,256.6,0.2,1.8
12.1,0,"1",8.7,2,0,0.25,10.5,38.25,0,23,1,0,0,30,122.8,289.2,1,3
11.4,0,"1",6.66,1.2,0,0,13,48,0,16,2,0,0,27.5,83.25,279,1,2
13.8,1,"1",8.22,1.8,0,0,14.4,54,0,10,1,0,0,23,76.5,267.75,0.75,2.25
8.04,0,"1",8.74,1.4,0,0.2,13.8,52.8,0,6,1,0,0,21.8,91.8,262.6,0.8,3.4
12,0,"1",7.928,1.4,0,0.2,10.8,36.8,0,25,5,0,0,22,114.2,208.6,1,3
7.4,0,"1",5.52,1,0,0,7,27.8,0,22,1,0,0,27.2,118,282,0.4,2
18.6,0,"1",5.275,1,0,0,7.25,22.75,0,0,0,0,0,13.4,119,203.8,0.6,2.2
9.6,1,"1",9.375,1,0,0,15.5,56.25,0.25,20,3,0,0,21.6,131.4,241.6,0.8,1
7.5,0,"1",7.7,1.5,0,0,16.5,55.25,0.25,0,0,0,0,27.75,160.75,226.75,1.75,3
12.2,1,"1",7.425,0.25,0,0.25,11.5,46.5,0.25,33,5,0,0,24.25,143.75,208,0.25,2.25
18.2,1,"1",5.7,2,0,0,9.66666666666667,23,0,34,3,0,1,25.8,83.4,266.2,0.4,2.8
15.1,1,"1",8.825,2.25,0,0,12.5,31.75,0,4,1,0,0,37.75,121.75,325.5,0.75,2.5
12.7,0,"1",9.7,1.25,0,0.25,13.25,42.75,0,0,0,0,0,32.25,136.25,269.25,1.25,2.25
14.4,1,"1",8.8,0.5,0,0.25,13.75,60.75,0.25,2,1,0,0,30,122,284.2,0.4,2.2
10.8,0,"1",13.78,1.4,0,0.4,11.6,75,0.4,0,0,0,0,16.5,85.25,210.5,0.75,2.75
8.1,0,"1",13.16,0.6,0,0.6,11.8,71.6,0.4,0,0,0,0,14.5,92,192.5,1,3.5
9.6,1,"1",12.1,0.6,0,0.8,10.8,55,0.2,27,3,0,0,23.75,126.5,177.5,0.5,3.25
20.1,1,"1",5.56666666666667,2,0,0,11,40,0,46,4,0,0,20.4,94.4,221.4,0.2,2
24,0,"1",9.06666666666667,2,0,0.333333333333333,11,45.3333333333333,0,29,3,0,0,19.4,104.4,233,0.4,3
7.6,1,"1",12.8,2.5,0,0.75,10.5,49.25,0,3,2,0,0,14.8,135.4,203.8,1,1.8
19.3,1,"1",16.64,3.4,0,0.6,18.2,89.8,0.2,10,2,0,0,22.4,136,235.2,1.4,3
17.8,0,"1",17.24,3,0,0.4,18,101.2,0.4,12,2,0,0,24.5,106.25,185.5,0.5,2.75
25.2,0,"1",18.325,2.75,0,0.25,20.5,113.75,0.75,35,4,0,0,20.75,125.75,231.75,1,3.5
19.5,1,"1",18.55,3,0,0.5,19.5,95.75,0.5,62,6,0,0,35.8,149.6,213.6,0.8,2.2
14.3,1,"1",16.475,3.75,0,0.5,18.75,71.25,0.25,34,4,0,0,25.75,114.75,266,0.25,2.25
23.5,1,"1",15.6,4.25,0,0.5,15,52,0,8,1,0,0,32.25,164.5,229.5,0.5,1.25
25.5,0,"1",17.18,4,0,0.8,17,61,0,12,5,0,0,21.8,78.2,205.4,1,3
10,1,"1",17.24,4.4,0,0.6,15.4,70.2,0.2,14,2,0,0,25.4,104.2,239.4,0.6,1.8
11.2,0,"1",15.34,3.4,0,0.6,15.2,68.8,0.2,41,5,0,0,15.4,122,157.6,0.2,2.4
36,1,"1",15.84,4.4,0,0.4,14.4,57.2,0,26,2,0,0,24,138.4,283.4,0.8,1
13.8,1,"1",21.85,4.25,0,1,17.5,71.75,0.25,38,5,0,0,21.25,120.75,205.5,0.5,2.75
19.2,0,"1",8.83333333333333,3.33333333333333,0,0.333333333333333,9.66666666666667,36,0,8,1,0,0,23,108,194.8,1.2,2.8
21.9,1,"-1",11.425,2.75,0,0.75,11,40.5,0,12,3,0,1,22,95,260,0.6,2.8
22,0,"1",16.125,3,0,0.5,16.25,83.25,0.25,4,1,0,0,13.6,83.4,181.2,1.2,1.8
16.5,1,"1",17.3,2.75,0,0.5,18.75,92.75,0.5,22,4,0,0,28.2,102.2,328.8,1,2
9.1,0,"1",17,2.4,0,0.6,21.2,97,0.4,14,3,0,0,26.5,107.25,246,0.75,1.75
19.9,1,"1",9.3,2.25,0,0.25,14.75,56.5,0,61,2,0,0,18,83.5,265.75,1,3
16.6,0,"1",10.15,1.75,0,0.25,14.25,60.25,0,13,2,0,0,21.25,96.5,254,0.5,1.75
24.8,1,"-1",11.375,1.75,0,0.25,13.5,58.25,0.25,41,1,0,0,30,133.8,207.6,0.4,2.6
14.9,0,"1",16.22,4.2,0,0,9.8,50,0,25,3,0,1,17.4,132.6,253.2,1.4,1.4
22.8,1,"1",16.5,4.2,0,0,11.4,53.8,0,36,3,0,1,24.25,155.25,239.5,0,1.25
21.7,0,"1",15.74,3.8,0,0.2,10.8,50.2,0,52,7,0,0,21.8,90.6,250.4,1,1.4
10.9,0,"1",16.82,4.6,0,0.4,10.2,44.2,0,29,3,0,0,23,134.25,265.5,0.5,1.5
10.4,1,"1",13.2,2,0,0.75,9.5,49.5,0.25,17,1,0,0,28.2,102.2,328.8,1,2
8.1,0,"1",11.05,1.75,0,0.75,7.5,36,0.25,0,0,0,0,22.25,93,201,0.75,1.75
8,1,"1",5.325,1,0,0.5,3.25,13,0,0,0,0,0,17.25,86,176.75,0.5,1.75
20.4,0,"1",6.625,0.75,0,0.75,3.75,14.5,0,29,5,0,0,26.5,107.25,246,0.75,1.75
