"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
7.2,1,"-1",5.3,3,0,0,0,0,2,1,0,1,16.75,116.5,184,0.75,2
20.5,1,"1",7.56,4.6,0,0,0,0,35,5,0,2,13.4,87.8,207.6,1,3.4
8.8,0,"1",5.16666666666667,3.66666666666667,0,0,0,0,8,2,0,1,24.4,100.6,239.6,1.6,3
14.4,1,"1",8.1,2.5,0,0,0,0,44,4,0,1,17.75,123.25,127.75,0.5,2.75
11.3,1,"1",6.2,2.4,0,0,0,0,63,5,0,0,21.75,96.75,210,0.75,0.5
9.4,1,"1",5.32,3.4,0,0,0,0,54,4,0,0,25,131.8,177.6,0.6,1.4
7.9,1,"1",9.05,3.25,0,0,0,0,9,1,0,1,16.25,93,203,2,2.25
11.1,1,"1",5.66,3.6,0,0,0,0,21,3,0,1,28.75,139.25,255.25,1.25,3
11.5,0,"1",6.7,3.8,0,0,0,0,25,3,0,1,24.75,106.5,214,0.75,2.75
10.5,0,"1",7.16,3.8,0,0,0,0,25,2,0,1,16,109.5,172.25,0.75,3.5
18.5,1,"1",8.84,4.4,0,0,0,0,75,5,0,1,25.4,160.8,221.4,0.6,0.8
7.6,0,"1",5.5,6.2,0,0,0,0,6,1,0,1,12,111.8,138.6,1.2,3
15.4,1,"1",10.08,5.6,0,0,0,0,54,4,0,1,23,84.6,276.4,0.8,1.8
15.6,0,"1",8.68,5.4,0,0,0,0,86,7,0,0,13.8,86.2,150.6,0.6,2.2
24.8,1,"1",10.025,5.5,0,0,0,0,118,4,0,1,20.75,105.5,195.25,1,2.5
20.7,0,"1",15.375,5.75,0,0,0,0,47,4,0.25,2,21.5,111.5,156,0.75,2.5
23.3,1,"1",16.7,6,0,0,0,0,103,4,0.25,1,30.75,152.25,280.25,0.75,0.75
9.2,0,"1",11.74,7.6,0,0,0,0,52,4,0,0,27.8,124.4,186,0.8,2.2
10.6,1,"1",11.7,7.2,0,0,0,0,66,4,0,0,17,118.6,169.4,0.6,1.6
12.5,0,"1",13.075,7.5,0,0,0,0,65,6,0,0,20.75,139.5,172.25,0.75,3.5
9,1,"1",13.55,7.5,0,0,0,0,40,5,0,0,16.75,115,173.75,0.75,3
15.9,1,"1",10.325,7.25,0,0,0,0,49,5,0,1,24.25,121.75,176.75,0.75,1.75
32.4,0,"1",12,8.25,0,0,0,0,104,7,0,2,19.4,118,171.6,0.8,2
8.2,0,"1",17.45,9.5,0,0,0,0,52,3,0.25,0,10.4,88.8,154.2,0.8,3.6
12.4,1,"1",15.6,9,0,0,0,0,94,3,0.2,0,18.25,143.5,170.5,0.5,1.75
10.3,0,"1",14.46,7.8,0,0,0,0,63,4,0.2,0,16.2,100.4,215,0.4,2
11.6,1,"1",7.45,6.75,0,0,0,0,66,5,0,0,23.75,86.5,232.25,0.25,1.25
38.7,1,"1",7.425,6.75,0,0,0,0,117,6,0,3,16.75,91.5,202,0.25,3
17.2,0,"1",16.3,8.25,0,0,0,0,72,4,0.25,1,21.5,149,193.5,0.5,2
14.7,0,"1",18.125,6.5,0,0,0,0,47,4,0.25,1,28.75,139.25,214,1,2
7.7,1,"1",20.55,6.25,0,0,0,0,37,4,0.25,0,20.5,139.25,165.5,0.5,1.75
14.2,0,"1",9.7,6.2,0,0,0,0,62,2,0,1,19.75,136.5,215.75,0.25,1
10.9,1,"1",7.36,6.4,0,0,0,0,59,5,0,0,19.2,114.4,242.6,0.8,1
18.4,0,"1",8.66,5.6,0,0,0,0,64,6,0,1,23.4,146,209,0.6,1.2
13.5,0,"1",7.36666666666667,4.66666666666667,0,0,0,0,65,7,0,0,22.25,74.5,232,0.25,2.75
9.2,0,"1",5.66,6.4,0,0,0,0,12,2,0,1,31.6,99.8,286.4,1,1.4
21.7,1,"1",6.34,6.4,0,0,0,0,67,3,0,2,16.6,103.6,216,0.6,2.4
7.5,1,"1",6.63333333333333,4,0,0,0,0,35,4,0,0,21.75,140.75,199.25,1,1.5
