"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
9.6,1,"1",7.95,4.25,46,5,0,20.2,143.4,203.6,0.8,1.6
12.2,0,"1",9.975,5.25,92,3,0,21.5,144.5,183.5,1.25,1.75
11.3,1,"1",11.35,6,83,3,0,25.5,69,261.75,1.25,2.75
7.1,0,"1",9.825,5.5,41,3,0,21,105.75,254,0.75,1.25
7.3,1,"1",9.2,5.5,53,2,0,27.6,98,244,0.2,2
20.7,0,"1",9.475,6.25,97,6,0,21.75,128.25,200.5,1,2
18,0,"1",10.68,6.8,100,5,0,26.8,97.6,318.4,0.6,1.4
16.4,1,"-1",11.3,6.2,84,2,0,22.6,132,221,1.6,3.4
8.5,0,"1",11.5,5.5,37,4,0,26.6,144.2,187.6,1,1.8
8.2,1,"1",14.7,7.5,52,3,0,23.8,104.2,240.4,0.8,4
8.9,1,"1",9.28,4.2,39,5,0,9,67,138,0.5,4
11.5,0,"1",9.25,3.75,55,6,0,22,153.5,172.25,1.25,2.25
16.9,1,"1",7.2,5,47,5,0,23.2,121.4,217.2,0.8,4.8
8.3,0,"1",8.48,5.8,43,4,0,26.2,165.6,176.4,0.4,2.2
16.5,0,"-1",8.88,6.6,97,5,0,22.6,144.2,192.6,1,1.8
11.5,1,"1",9.88,6,55,7,0,23.8,112,247.8,1,2.8
10,0,"1",8.8,6.2,56,4,0,26.6,145.4,197.2,0.6,1.6
19.7,0,"1",6.675,5,57,6,0,17.8,88.2,188.4,0.4,4
7.5,0,"1",10.6,8.25,35,4,0,22.25,116,247.5,1.25,0.5
11.6,0,"1",11.25,8.75,78,4,0,22,102.25,239.25,0.75,2.5
14.6,1,"1",11,10,86,6,0,27.75,88.5,215.25,0.25,1.5
12.7,0,"1",11.72,9.8,57,1,0,21.5,74.25,215.5,1,2.25
13.8,0,"1",10.32,8.8,51,4,0,26.6,118.2,204.6,0.8,1.2
9.3,1,"1",12.04,8,13,2,0,20,65,266.2,0.4,2.2
20.9,0,"-1",6.36,3.4,122,4,0,30.75,188.75,219.25,0.25,1
16.8,1,"1",6.86,3.6,83,3,0,25,108,247,0.2,2.8
13.4,0,"1",6.875,3.75,75,5,0,18.75,133.5,263.25,0,2.5
7.4,0,"1",5.55,4,4,1,0,26.2,119.2,253.4,0.4,2.2
15.5,1,"1",19.14,10,95,6,0.2,18.5,102.75,189.75,0.5,2.25
17.1,1,"1",10.075,8,51,6,0,21.5,97.5,266.5,1,2.75
28.8,0,"1",10.7,8,118,8,0,26.5,99.5,228.75,0.5,2.5
13.2,0,"1",16.325,9.75,86,4,0.25,20.75,128.75,206.5,0.75,1.75
36.1,1,"1",15.75,8.75,123,6,0.25,23.6,123.8,179.8,1.8,2.4
7.3,0,"1",19.82,9.2,33,4,0.4,13.6,98.6,180.6,0.2,1.4
29.3,0,"1",20.5,9.8,123,9,0.4,22,103.25,234.25,0.75,2.25
15.4,1,"1",22.94,10.8,73,7,0.6,22,113.2,190.8,0.6,2.6
30.7,0,"1",20.26,10.8,122,10,0.4,25.2,112.2,244.2,0.8,2.6
7.7,1,"1",23.76,12.4,27,5,0.6,20.4,93,198.6,0.6,1
8.7,0,"1",9,9,37,5,0,23.2,154.8,172.8,0,1.8
8.1,1,"1",8.85,8.5,31,5,0,19.75,126,165.5,1,2.5
13.5,0,"1",8.6,8.33333333333333,75,6,0,24.8,125.8,212.2,0.6,1.8
15.7,1,"1",9.825,10.25,87,8,0,15.2,110.6,175.6,0.8,2.2
9.8,0,"1",11,10.8,48,5,0,26.8,149.6,186.8,0,1.4
22.9,1,"1",11.16,11.6,109,9,0,30.8,118.6,225.6,0.8,2
8.8,1,"1",14,12.8,48,4,0.2,24,148.8,169.6,0.4,1.4
27,0,"1",14.14,12.8,107,7,0.2,31.6,151.8,245.2,0.6,1.8
15.9,0,"1",20.925,11.5,69,3,0.5,17.2,88.2,195.2,1,2.8
29.5,0,"1",8.7,6.5,105,8,0,28.5,174,212.25,0.75,2
24.9,1,"1",15.6333333333333,8,115,10,0.33,17.25,102,169.5,0.25,3.75
35.6,0,"1",23.4333333333333,11.6666666666667,156,11,0.67,22.2,118.6,224.2,0.8,1.2
24,1,"1",30,14,114,9,1,18.8,81.8,238.6,0.4,1.8
30.4,0,"1",28.5,14.75,134,8,1,27.6,134,235.4,0.8,2.4
22.5,1,"1",28.88,14.2,81,9,1,25,131.8,177.6,0.6,1.4
16.1,0,"1",27.48,14.8,81,8,0.8,16.4,118.4,194.8,1.2,2.2
34.6,1,"1",15.94,8.8,136,12,0.2,7.2,76.2,158.4,1.6,3.6
10.3,0,"1",19.62,10.6,59,4,0.4,24.75,142.25,140.25,0.5,1.5
8.7,0,"1",19.24,11.2,47,4,0.4,25.5,107.25,294,0.5,3.25
7.3,1,"1",17.7,12.25,53,2,0.25,23.2,87.2,202.6,1.4,1.8
13.7,1,"1",15.225,12,87,5,0.25,20.25,170.75,151.25,1,3
34,0,"1",10,9.25,140,9,0,20,48.8,253.4,0.6,2.2
8.7,1,"1",15.05,9,47,4,0.25,17.2,134,170.4,1,3.6
11.5,1,"1",13.78,8.6,60,5,0.2,27.6,129.8,202.4,0.6,1.4
10.4,0,"1",14.62,9.6,64,4,0.2,22.4,127.8,223.6,0.4,1.8
20,0,"1",13.96,9.6,112,4,0.2,16.2,110.4,161.2,0.8,4.8
24.9,0,"1",29.7,12.5,29,8,0.5,14,84.5,172.5,0.25,3
17.1,0,"1",12.4666666666667,9.33333333333333,71,4,0,24.4,122.6,246,1.4,2
12.6,1,"1",13.625,8.5,76,6,0,24.2,123.4,197,0.4,1.8
14.3,0,"1",9.925,6,83,6,0,21.4,98,259,0.6,2.4
44.2,1,"1",12.125,5.5,162,13,0,32.2,145,226,0.6,1.6
15.6,1,"1",18.9,7.5,56,4,0.25,26.6,125.6,240.6,0.6,2.8
30.3,0,"1",21.7,9,63,9,0.5,12.6,107.8,165.8,0.4,1.8
21.3,0,"1",31.1,12.5,85,6,0.5,21.25,131.5,205,1,3.5
30.1,1,"1",25.8,10.5,92,7,0,33.25,102,224,0,1.5
34.9,0,"1",27.2333333333333,10.6666666666667,186,13,0,21.4,113.4,264.4,0.6,2.2
25.6,1,"1",29.15,12,87,11,0.25,17.2,88,164.4,0.6,3.2
11.1,0,"1",28.44,13.4,63,5,0.2,21.2,111.2,190.2,0.6,3.6
11.2,1,"1",24.6,13,62,5,0.2,31.8,176.8,202,1,0.8
8.4,1,"1",22.58,12.4,34,6,0.2,17.6,80,193.4,0.8,3.2
11.4,0,"1",13.475,9.25,54,6,0,16.4,107.6,208,0.8,2.8
10.5,0,"1",15.35,9.75,75,3,0,20.4,115.8,139.4,1,2.4
21.5,1,"1",10.4,8,105,8,0,21.25,81.75,219.5,1,2.75
27.3,0,"1",12.175,7.5,103,8,0.25,25.75,164,235,0.5,1.5
10.3,0,"1",16.15,8,53,5,0.5,18.5,117.75,213.25,0.25,3.5
28.8,1,"1",16.1,8.5,98,7,0.5,13.75,57.5,199.75,0.75,3.75
8,0,"1",21.975,9.25,40,5,0.5,18.6,113.2,248.4,0.6,2.8
18.2,0,"1",19.18,8.8,67,5,0.4,33.8,161.2,286.4,1.2,1
22.6,1,"1",18.52,8.8,116,8,0.2,25.6,140.2,227.4,1.4,1
16.2,0,"1",17.672,8.4,63,4,0.4,24,113.5,271.5,0.25,1.75
21.2,1,"1",16.712,7.6,92,6,0.2,36.5,197.5,209,0.75,0.75
16,0,"1",11,7.25,50,5,0,23.5,96,277,0.5,2
25.8,1,"1",7.85,5.5,118,5,0,19.8,65.6,246.4,0.8,2.8
7.1,0,"1",11.44,6.2,41,3,0.2,24.8,98.4,270.6,0.4,1.6
24.2,1,"1",10.8,7.5,132,8,0,19,106.6,208.2,0.6,3
14,0,"1",12.5,8,40,4,0.25,23.6,130.2,202.6,0,1.8
24.5,1,"1",14.1,9.25,145,7,0.25,27.5,113.25,239.75,0.75,2
15.8,0,"1",16.625,8.75,88,7,0.5,16.8,99.4,176.2,0,2.6
10.5,1,"1",16.54,10.4,35,1,0.4,17.5,86,250.5,1,3
10.3,1,"1",13.8,9,63,4,0.2,12,72.75,231.5,1.25,2
10.7,1,"1",9.2,6.8,57,5,0,26.5,147,211,0.25,1.75
7.1,0,"1",8.18,6,51,2,0,19,145.8,217.4,0.2,1
14.8,1,"1",13.08,7.6,98,5,0.2,22,109,169.5,0.75,2.25
12.7,0,"1",14.375,9,57,5,0.25,22.2,137.8,255.8,0.8,2
7.8,1,"1",11.275,7.25,38,4,0,26,121.25,207.5,1,2
15.9,0,"1",10.175,6.5,79,8,0,17.6,95.2,160.2,0,1.6
19.1,1,"1",10.65,8,81,5,0,15.6,91.4,142.8,0,2.2
22.8,0,"1",12.34,8.8,78,3,0,18.5,90.75,268.5,0.5,1.75
16.3,1,"1",12.8,8.2,93,7,0,22,151,243.5,1,1.75
12.4,0,"1",8.66,6.6,74,5,0,21.2,128.4,236,1.2,2.6
9.6,0,"-1",10.8,7,56,4,0,35,148.6,277,0.6,1.4
17.6,0,"1",8.275,6.25,56,6,0,22.5,129.5,172.5,0.5,3.5
26.4,0,"1",11.225,6.5,94,5,0,33.6,109.8,278.2,0.2,1.8
18.8,1,"1",14.725,6.5,98,9,0,17.75,86,247,0.75,3.75
15.3,1,"1",17.025,8.25,93,6,0,15.25,113.25,163.75,0.75,2
7.3,0,"1",16.68,8.2,43,3,0,20.2,98,235,0.6,2.8
19.2,1,"1",17.08,8.8,72,6,0,27.4,141,260,1.6,1.8
34,0,"1",17.4,8.4,149,9,0,17.8,92,200.2,0.4,3.4
22.4,0,"1",11.06,7.2,94,7,0,29.75,155.5,189.75,0.75,0.5
12,0,"1",11.96,7.2,50,7,0,20,83,213.25,0.25,3
21.3,1,"1",14.2,8.5,93,6,0,31.25,137.5,265,1,1.25
21.5,0,"1",16.725,8.5,95,6,0,22,81.25,264.25,0.5,3
10.3,0,"1",19.3,10.25,53,5,0,34,203.25,254.25,0.25,1.5
31.7,1,"1",16.275,9.5,137,9,0,22.5,98,229.25,1,2.5
9.8,0,"1",17.92,9,54,4,0.2,31.2,133.4,220.6,0,1.2
13.1,1,"1",12.18,7.2,61,7,0.2,21.6,102.6,226.6,0.6,1
16.1,1,"1",12.74,7.8,81,2,0.2,20.6,147.6,266.2,0.4,3.2
20.2,1,"1",12.22,7.6,102,5,0.2,27.4,101.4,278.2,0.2,3
14.3,0,"1",13.55,8,93,5,0.5,20.25,111.75,188.5,0.5,3.25
17.3,1,"1",10.6,7,93,8,0,25.25,77,235.5,0.75,2.5
8.7,0,"1",15.8,9,37,5,0,17,133.2,208,0.6,2.2
20.4,1,"1",11.125,8.5,74,8,0,17.4,83,240.2,0.2,2.2
7.7,0,"1",12.98,8.8,27,5,0,20.4,92,202.6,0.2,2.4
18.1,1,"1",11.66,8.4,71,5,0,22.4,127.4,284.2,0.6,2
20,1,"1",10.28,5.6,60,8,0,21.2,122.8,242.4,1.2,1.8
11.8,1,"1",12.98,6.8,28,3,0,20.8,119.6,233,1,3
9,0,"1",10.22,5.6,10,2,0,15.75,99.25,199.75,0.75,1.25
9.7,1,"1",10.55,5,37,6,0,25.6,139.6,207.6,0,0.8
19.9,1,"1",7.975,5,69,7,0,22.4,124.2,202.4,0.6,1.4
8,0,"1",10,6.25,40,4,0,22.4,78.2,252.6,0.8,2.6
13.9,1,"1",11.65,7,49,3,0,22.75,119.25,184.75,0,2.5
8.3,0,"1",11.16,6.8,33,5,0,17.6,78.2,267.6,0.8,2.2
15.7,1,"1",10.88,6.4,57,4,0,17.8,105.6,264,1,2.8
20.2,0,"1",8.54,6,102,7,0,25,134.5,222,0.75,1.75
21.7,1,"1",10.42,6.6,67,9,0.2,22.5,103.75,292.75,0.25,1
18.9,1,"1",12.46,8,109,5,0.2,17.5,94.5,120.75,1,4
13.6,0,"1",13.74,8.2,86,5,0.4,16.5,82.75,244.75,1.5,2.5
12.6,0,"1",18.6,10.25,81,4,0.5,20.4,155,209.6,0.6,1.4
15.6,1,"1",16.7,9.5,67,2,0.25,20.8,98.6,246.2,0.4,2.8
29.1,1,"1",15.175,6.75,151,5,0.25,20,188.4,175.4,0.6,1
10.9,0,"1",17.725,6,59,5,0.25,12.8,73,201.6,0.8,1.8
7.2,1,"1",17.05,7,34,3,0.25,24.6,160.2,180.2,0.4,2.8
15,0,"1",15.08,6.8,90,6,0.2,20.2,163.8,219,0.8,2
17.9,0,"1",14.525,10.25,96,7,0,23.8,120,209.8,1,3.6
7.8,1,"1",15.05,9.75,38,4,0,27.4,84.4,334.4,0.6,1.8
9.2,0,"1",5.85,4.5,58,5,0,14.5,103.25,222.5,1,3.25
13.5,1,"1",6.55,6.5,35,4,0,22.6,117.4,232.2,1,2.2
20.6,0,"1",11.35,9.5,76,8,0,26.6,137,239,0.6,2.8
20.7,1,"1",14.4333333333333,10.3333333333333,97,5,0,12.4,69.8,191.8,1.4,3
9.6,1,"1",16,9.25,22,2,0,22,111.6,262.8,1,1.8
18.2,0,"1",22.4,10.5,86,9,0.25,23.2,77.4,222.8,0.4,3.2
11.3,1,"1",23.825,11.5,50,6,0.25,16,107.6,216.2,0.4,3.8
17.4,0,"1",23.725,11,82,9,0.25,25.5,126.5,277,1.25,1.25
18.1,0,"1",17.175,11,71,5,0,22,138,231.8,0.6,3.4
19.4,1,"1",16.25,10,104,6,0,28.6,113.6,222.8,0.2,3.2
35.9,1,"-1",16.88,10.2,147,7,0.2,23.25,71.25,284.75,0,1.25
20.4,0,"-1",20.42,10.6,92,6,0.4,28.25,102.75,197.25,0.25,3
10.9,0,"1",22.24,11.2,59,5,0.4,16.75,100.75,204.75,0.5,3.25
19.2,1,"1",20.94,10.2,82,5,0.4,16.2,140,188.8,0.4,3.2
23.7,1,"1",21.16,10.2,66,5,0.4,19.5,85.25,225.25,1,2.75
19.5,0,"-1",22.02,9.2,105,6,0.2,30,154.4,265,0.8,3
17.7,1,"1",18.74,9.2,87,9,0.2,29.6,137.4,258.2,0.4,1.6
21.6,0,"1",24.556,10.2,118,7,0.4,26.25,153.5,266,0.25,2.25
22.12,1,"1",23.756,11,90,9,0.4,22.8,126.2,277.6,1.2,1.4
38.8,1,"1",24.78,11.2,133,10,0.4,15,89.6,182.2,1.2,4
34.4,1,"1",26.34,11.8,144,11,0.6,16.2,90.8,251,1,3
13.4,0,"1",26.064,12.8,74,8,0.6,31.2,109.4,233.4,0,2.2
24.1,0,"1",26.064,12.2,91,9,0.6,21,138.75,225.5,0.5,3.75
31.7,1,"1",27.675,12.25,97,8,0.5,24.2,150.6,232.6,0.8,2.8
23.7,0,"1",25.9,12,117,9,0.25,16.6,103.2,211.6,0.4,0.8
25.3,0,"1",23.225,11.5,123,10,0.25,24.2,115.2,299.2,0.4,1.6
20.2,1,"1",26.2,11.75,72,7,0.5,20.6,164.4,188.2,0.6,2
34.8,1,"1",25.225,11.25,128,7,0.5,19.2,94.4,215.2,0,1.4
7.4,1,"1",22.46,10,24,3,0.6,18,97.6,235.2,0.4,1.6
22,0,"1",17.68,9.4,124,6,0.4,27.8,96.6,272.4,0.2,1.6
16.7,1,"1",14.18,8.8,47,6,0.4,22.5,115.25,290.75,0.25,2.75
49.6,1,"1",12.56,8.4,284,17,0.2,21.75,76.25,286.5,0.5,2.25
40.9,1,"1",20.64,11.2,139,10,0.4,29,153.8,245.4,0.8,1.2
13.1,0,"1",32.3,14,51,6,0.75,16.75,92.5,188.25,0.5,3
40.8,1,"1",30.075,15,118,8,0.5,21.5,101.75,250,0.75,2.25
15.7,0,"1",36.1,15,87,7,0.75,12.8,79.6,215,0.2,2.4
49.9,1,"1",27.625,11.75,189,16,0.5,17.2,71.4,199.6,0.8,2.8
13.8,0,"1",29.875,12.75,47,7,0.5,24.8,104.6,190.6,1.2,1.4
39.7,0,"1",26.66,12.4,187,13,0.4,25.4,127.6,195.6,0,2.6
8.5,0,"1",23.54,11.2,39,4,0.4,23.8,152.4,250.6,0.6,2
21.9,1,"1",18.12,10.6,106,7,0.2,14,92.2,256,0.8,1.6
21.5,0,"1",18.9,8.75,85,7,0.25,23.75,79.75,258.75,1.25,1.75
39.4,1,"1",18.675,10.25,154,14,0.25,15.75,79,228.5,1,3
15.6,0,"1",22.825,12,76,8,0.5,30.6,174.6,262.4,0.2,1.8
32.1,0,"1",24.6,12.5,91,5,0.5,24.75,106.75,271,0.25,3.5
19.4,1,"1",27.15,11.25,54,6,0.25,18,81.25,260,0.75,4
12.8,0,"-1",25.6,10.4,78,5,0.2,25.5,112.5,207.5,0,1.75
10.8,0,"1",23.86,10.4,58,3,0.2,16,124.4,199.6,0,1.8
25.6,1,"1",18.14,7.8,96,10,0,20.6,102,267,0.8,1.6
13.5,1,"1",9.34,7.8,45,3,0,12.2,83.4,171.6,0.4,3.6
18.6,0,"1",10.3,6.4,96,3,0,14,83.75,222.75,1,1.5
8.9,0,"1",9.1,5.25,44,3,0,22,137.2,174.4,1,1.6
11.3,0,"1",6.375,4,31,3,0,21.2,136.2,195.2,1.8,3.8
32,0,"1",6.86,3.6,170,7,0,23,117,182.2,0.6,2.6
9.5,0,"1",8.15,4,57,4,0,24.5,140,213.75,0.5,1.75
10.2,1,"1",5.46,3.6,52,5,0,25.75,137,231.25,0.5,1.25
13.4,1,"1",5.14,6.4,44,3,0,18.6,114.6,173.4,0.6,2.8
8.1,1,"1",5.48,5.2,41,4,0,27.2,120.8,255.4,0.8,1.8
36.1,0,"1",6.025,4.5,131,8,0,13.8,128.2,171.4,0.8,3.6
33.5,1,"1",13.9,7,115,7,0.25,16.8,99.8,186,0.8,3.2
7.7,0,"1",17.82,7.6,37,4,0.4,20.8,98.8,224.2,1,2.4
15.7,0,"1",17.36,8.8,87,7,0.4,15.6,119.6,166.4,1.2,1.8
7.4,0,"1",14.625,8.5,34,4,0,21.75,97.5,167,0.25,1.75
13.8,0,"1",12.75,7.25,98,4,0,32.5,181.75,216,0.25,1.75
10.9,1,"1",12.575,6.5,79,3,0,27.2,106.2,195.6,0,2.8
18.2,0,"1",12.24,6.6,82,5,0,17.4,77.4,205.2,0.8,1.8
10,1,"1",10.62,7,60,4,0,20.6,144,209.2,0.8,3.2
9.3,1,"1",11.3,8,63,3,0,17.2,95,195.8,0.4,3.6
8.8,0,"1",10.4,7.8,48,4,0,28.5,111.5,262.25,0.75,2.25
13.6,0,"1",9.98,7.6,86,5,0,27.4,138.6,169.2,1.4,2
9,1,"1",9.06,7.2,50,4,0,18.4,95.6,182.8,0.4,2.6
30.3,1,"1",8.86,6.8,123,9,0,19,110.2,211.6,1.4,2.6
11.8,1,"1",12.54,7.2,78,4,0.4,9,67,138,0.5,4
