"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","David Johnson",10000,"ARI@IND 01:00PM ET",14.100,"ARI"
"RB","Le'Veon Bell",9800,"MIN@PIT 01:00PM ET",7.700,"PIT"
"WR","Antonio Brown",9400,"MIN@PIT 01:00PM ET",32.200,"PIT"
"WR","Julio Jones",9200,"GB@ATL 08:30PM ET",10.600,"ATL"
"RB","LeSean McCoy",8600,"BUF@CAR 01:00PM ET",23.900,"BUF"
"WR","Brandin Cooks",8200,"NE@NO 01:00PM ET",11.800,"NE"
"WR","Amari Cooper",8100,"NYJ@OAK 04:05PM ET",17.200,"OAK"
"WR","Odell Beckham Jr.",8000,"DET@NYG 08:30PM ET",0,"NYG"
"QB","Tom Brady",7900,"NE@NO 01:00PM ET",10.680,"NE"
"WR","Jordy Nelson",7900,"GB@ATL 08:30PM ET",20.900,"GB"
"RB","Ezekiel Elliott",7800,"DAL@DEN 04:25PM ET",22.000,"DAL"
"QB","Drew Brees",7700,"NE@NO 01:00PM ET",15.640,"NO"
"WR","Mike Evans",7700,"CHI@TB 01:00PM ET",0,"TB"
"WR","Michael Thomas",7500,"NE@NO 01:00PM ET",9.500,"NO"
"QB","Matt Ryan",7500,"GB@ATL 08:30PM ET",20.940,"ATL"
"QB","Aaron Rodgers",7400,"GB@ATL 08:30PM ET",20.540,"GB"
"RB","Devonta Freeman",7300,"GB@ATL 08:30PM ET",11.900,"ATL"
"QB","Derek Carr",7200,"NYJ@OAK 04:05PM ET",18.680,"OAK"
"WR","Michael Crabtree",7100,"NYJ@OAK 04:05PM ET",14.300,"OAK"
"RB","Melvin Gordon",7000,"MIA@LAC 04:05PM ET",18.900,"LAC"
"TE","Rob Gronkowski",6900,"NE@NO 01:00PM ET",5.300,"NE"
"RB","Kareem Hunt",6800,"PHI@KC 01:00PM ET",49.600,"KC"
"RB","Todd Gurley II",6800,"WAS@LAR 04:25PM ET",20.600,"LAR"
