Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual,Override,Alerts
79402,Elijah McGuire,RB,NYJ,4300,9.11,5,0,ExpectedStarter:1|PlayerMatchupIsGreat:2
79403,Charles Clay,TE,BUF,4800,13.61,5.1,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1|ThumbUp:1|StarBad:1|VegasBad:1
79417,Danny Amendola,WR,NE,5000,6.71,15.7,0,ExpectedStarter:1|PlayerMatchupIsGood:1|VegasBad:1|StarBad:1
79418,Torrey Smith,WR,PHI,3600,6.14,15.7,0,ExpectedStarter:1|PlayerMatchupIsGood:1|ThumbDown:1|VegasBad:1|StarBad:1
79419,Walter Powell,WR,BUF,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
79424,Ryan Griffin,TE,HOU,3100,6.08,4.2,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbDown:1|VegasBad:1
79431,Jaron Brown,WR,ARI,4500,10.52,6.9,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1|PlayerIsHot:2|StarBad:1
79436,Marvin Jones Jr.,WR,DET,4100,10.86,11.4,0,ExpectedStarter:1|PlayerIsHot:1
79437,Randall Telfer,TE,CLE,2500,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsGood:1
79439,Alex Collins,RB,BAL,4000,10.72,5.5,0,ExpectedStarter:1|VegasBad:1|VegasGood:1
79450,Robert Turbin,RB,IND,3700,6.66,3.9,0,ExpectedStarter:1|PlayerMatchupIsGreat:2|VegasBad:1
79459,Kareem Hunt,RB,KC,8600,22.13,17.6,0,ExpectedStarter:1|PlayerMatchupIsBad:2|StarGood:1
79460,Corey Davis,WR,TEN,4000,0,0,0,Injured:1
79461,Carson Palmer,QB,ARI,5900,20.12,15.64,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
79462,Jaguars ,DST,JAX,2800,6.42,28,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbDown:1
79474,Zach Miller,TE,CHI,2800,7.23,12.9,0,ExpectedStarter:1|ThumbUp:1|StarBad:1
79477,Le'Veon Bell,RB,PIT,9500,26.43,19.3,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerIsHot:1|OptimalPick:1
79478,Eagles ,DST,PHI,3100,6.44,10,0,ExpectedStarter:1|PlayerMatchupIsGood:1
79480,Max McCaffrey,WR,JAX,3000,0,1.4,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
79481,Antony Auclair,TE,TB,2500,0,0,0,
79484,Ryan Griffin,QB,TB,4000,0,0,0,PlayerMatchupIsGood:2|Injured:1
79485,Adam Shaheen,TE,CHI,2500,0,0,0,
79492,Bernard Reedy,WR,TB,3000,0,0,0,
79495,Keith Smith,RB,DAL,3000,0,3,0,
79501,Garrett Celek,TE,SF,2500,0,1.6,0,PlayerMatchupIsGreat:1
79502,Raiders ,DST,OAK,2900,6.8,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1
79506,Darrius Heyward-Bey,WR,PIT,3000,0,0,0,PlayerMatchupIsHorribad:2
79510,Lance Dunbar,RB,LAR,3000,0,0,0,Injured:1
79516,LeGarrette Blount,RB,PHI,4200,11.39,7.4,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
79517,T.J. Yeldon,RB,JAX,3900,0,0,0,PlayerMatchupIsGood:1
79518,Senorise Perry,RB,MIA,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
