Id,Name,Position,Team,Salary,Projected,Scored,Override,Alerts
83684,Nelson Agholor,WR,PHI,4900,11.92,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|ThumbUp:1
83688,Stacy Coley,WR,MIN,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
83689,Josh McCown,QB,NYJ,5200,14.9,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1
83693,Bengals ,DST,CIN,2500,6.83,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsGood:1
83696,Wayne Gallman,RB,NYG,3900,6.13,0,0,ExpectedStarter:1
83697,Jamize Olawale,RB,OAK,3000,0,0,0,Injured:1|ThumbDown:1
83706,Roger Lewis,WR,NYG,3800,3.32,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|StarGood:1
83713,Brian Quick,WR,WAS,3000,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1
83723,Jared Goff,QB,LAR,5800,16,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|VegasGood:1
83735,JuJu Smith-Schuster,WR,PIT,3800,8.66,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|StarGood:1
83736,Demarcus Robinson,WR,KC,3000,2.9,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
83741,Mack Hollins,WR,PHI,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
83743,James Develin,RB,NE,3000,0,0,0,
83746,Henry Krieger-Coble,TE,IND,2500,0,0,0,PlayerMatchupIsGood:1|Injured:1
83753,Rishard Matthews,WR,TEN,5500,14.39,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsGood:1|VegasGood:1
83754,Josh Doctson,WR,WAS,3800,7.29,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1|VegasGood:1|StarBad:1
83755,Jonnu Smith,TE,TEN,2600,0,0,0,PlayerMatchupIsGreat:1
83765,Corey Clement,RB,PHI,3900,5.45,0,0,ExpectedStarter:1|VegasGood:1|StarGood:1
83766,Zach Ertz,TE,PHI,6900,16.63,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1|PlayerIsHot:2|ThumbUp:1|VegasGood:1
83779,Geoff Swaim,TE,DAL,2500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
83780,Rams ,DST,LAR,2600,6.38,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1
83786,Pierre Garcon,WR,SF,5800,13.81,0,0,ExpectedStarter:1|PlayerIsHot:1|ThumbDown:1|StarGood:1
83787,Andrew DePaola,TE,CHI,2500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
83793,EJ Manuel,QB,OAK,4800,0,0,0,PlayerMatchupIsBad:1
83794,Chad Kelly,QB,DEN,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|Injured:1
83803,Kenyan Drake,RB,MIA,4000,0,0,0,ThumbUp:1
83806,Devonta Freeman,RB,ATL,7300,19.96,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|ThumbDown:1|VegasGood:1|StarBad:1
83807,Cody Core,WR,CIN,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
83814,Jimmy Garoppolo,QB,NE,5500,0,0,0,
83818,Coby Fleener,TE,NO,3000,5.89,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
83823,Albert Wilson,WR,KC,3700,4.33,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|Injured:1|ThumbDown:1|VegasBad:1|StarGood:1
83826,Chris Thompson,RB,WAS,5700,14.04,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
83829,Laquon Treadwell,WR,MIN,3300,3.48,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|VegasBad:1
83831,Jeremy Maclin,WR,BAL,4200,0,0,0,PlayerMatchupIsHorribad:1|Injured:1
83834,Martavis Bryant,WR,PIT,4300,10.28,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|StarGood:1
83835,James O'Shaughnessy,TE,JAX,2500,0,0,0,PlayerMatchupIsGood:1
83839,Samaje Perine,RB,WAS,4300,9.02,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasBad:1|StarBad:1
83840,Marlon Mack,RB,IND,4100,8.46,0,0,ExpectedStarter:1
83841,Kamar Aiken,WR,IND,3000,4.08,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|VegasBad:1|StarGood:1
83845,Drew Brees,QB,NO,7600,22.42,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
83853,Corey Grant,RB,JAX,3800,0,0,0,
83858,Geno Smith,QB,NYG,4500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
83859,Delanie Walker,TE,TEN,5800,13.06,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerIsHot:1
83864,Tyrod Taylor,QB,BUF,5100,16.65,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|StarGood:1
83875,Melvin Gordon,RB,LAC,7000,17.82,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1|OptimalPick:1|ThumbDown:1
83876,Colt McCoy,QB,WAS,4700,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1
83877,Ben Koyack,TE,JAX,2500,0,0,0,PlayerMatchupIsGood:1
83883,Terrance West,RB,BAL,3900,0,0,0,PlayerMatchupIsBad:1|Injured:1
83884,Michael Floyd,WR,MIN,3200,6.37,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|StarBad:1
83893,Kenny Britt,WR,CLE,4000,0,0,0,PlayerMatchupIsGood:2|Injured:1
83894,Ryan Mallett,QB,BAL,4000,0,0,0,PlayerMatchupIsBad:2
83913,Ryan Griffin,QB,TB,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|Injured:1
83932,Aaron Ripkowski,RB,GB,3000,0,0,0,PlayerMatchupIsBad:1
83933,Demaryius Thomas,WR,DEN,5800,14.61,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1
83934,Brice Butler,WR,DAL,3700,4.94,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1
83939,Charcandrick West,RB,KC,4400,7.26,0,0,ExpectedStarter:1|ThumbDown:1|StarGood:1
83940,Michael Crabtree,WR,OAK,6100,16.46,0,0,ExpectedStarter:1|ThumbDown:1|VegasBad:1|StarGood:1
83953,Tavarres King,WR,NYG,3300,4.34,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1
83954,Antony Auclair,TE,TB,2500,0,0,0,PlayerMatchupIsHorribad:1
83961,Jeremy Sprinkle,TE,WAS,2500,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
83967,Mike Tolbert,RB,BUF,3800,3.2,0,0,ExpectedStarter:1
83980,George Kittle,TE,SF,3600,8.67,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerIsHot:1|VegasBad:1|StarBad:1
83986,Kareem Hunt,RB,KC,8800,22.48,0,0,ExpectedStarter:1|StarGood:1
83987,Victor Bolden Jr.,WR,SF,3000,0,0,0,
83988,David Morgan,TE,MIN,2500,0,0,0,PlayerMatchupIsGreat:1
83990,Rob Kelley,RB,WAS,4200,0,0,0,PlayerMatchupIsHorribad:1|Injured:1
83991,Dez Bryant,WR,DAL,7800,18.63,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|ThumbDown:1|StarBad:1
83992,Brent Celek,TE,PHI,2500,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1|ThumbDown:1
83994,Sean Mannion,QB,LAR,4200,0,0,0,PlayerMatchupIsGreat:1
83999,Jordy Nelson,WR,GB,6800,21.39,0,0,ExpectedStarter:1|PlayerIsHot:1|ThumbUp:1
84000,Jameis Winston,QB,TB,6000,15.05,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
84005,Patriots ,DST,NE,2300,6.15,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1
84006,Chester Rogers,WR,IND,3000,0,0,0,PlayerMatchupIsHorribad:2
84018,Mike Williams,WR,LAC,3400,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
84022,Kyle Juszczyk,RB,SF,3000,0,0,0,PlayerMatchupIsBad:1|Injured:1
84023,Devin Funchess,WR,CAR,6000,11.04,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1
84027,Benny Cunningham,RB,CHI,3000,0,0,0,PlayerMatchupIsHorribad:1
84031,Damien Williams,RB,MIA,3700,0,0,0,ThumbDown:1
84032,Jamison Crowder,WR,WAS,4200,10.8,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1|ThumbDown:1|VegasGood:1
84043,Eric Weems,WR,TEN,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsGood:1
84044,Joshua Dobbs,QB,PIT,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
84047,DeSean Jackson,WR,TB,5700,12.61,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1
84049,Lawrence Thomas,RB,NYJ,3000,0,0,0,PlayerMatchupIsHorribad:1
84050,Alex Smith,QB,KC,6400,19.2,0,0,ExpectedStarter:1|PlayerMatchupIsBad:2
84074,Kyle Sloter,QB,MIN,4000,0,0,0,PlayerMatchupIsBad:1
84085,Arrelious Benn,WR,JAX,3000,2.97,0,0,ExpectedStarter:1
84095,Chargers ,DST,LAC,2400,5.74,0,0,ExpectedStarter:1
84100,Lucky Whitehead,WR,NYJ,3000,0,0,0,Injured:1
84110,Andre Roberts,WR,ATL,3500,0,0,0,
84111,Logan Paulsen,TE,SF,2500,0,0,0,PlayerMatchupIsGreat:1
84117,James Conner,RB,PIT,4500,0,0,0,
84118,Pharoh Cooper,WR,LAR,3000,0,0,0,PlayerMatchupIsGood:2
84123,Marquise Goodwin,WR,SF,3900,6.52,0,0,ExpectedStarter:1|StarBad:1
84130,ArDarius Stewart,WR,NYJ,3000,0,0,0,
84131,Amara Darboh,WR,SEA,3000,0,0,0,PlayerMatchupIsHorribad:2
84139,Julius Thomas,TE,MIA,2600,6.48,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1|ThumbDown:1
84141,Justin Hunter,WR,PIT,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
84146,Taysom Hill,QB,NO,4000,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
84153,Derek Watt,RB,LAC,3000,0,0,0,PlayerMatchupIsHorribad:1
84154,Mike Evans,WR,TB,7600,16.67,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:2
84159,Nathan Peterman,QB,BUF,4000,0,0,0,PlayerMatchupIsGreat:1
84167,Darius Jennings,WR,TEN,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsGood:1|Injured:1
84174,Geronimo Allison,WR,GB,3500,3.81,0,0,ExpectedStarter:1|VegasBad:1|StarGood:1
