Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual
74244,Shelton Gibson,WR,PHI,3000,0,0
74245,Derek Carr,QB,OAK,6800,22.16,7.22
74246,Brett Hundley,QB,GB,4200,0,0
74247,Chris Manhertz,TE,CAR,2500,0,0
74258,Damien Williams,RB,MIA,3800,0,2.1
74261,49ers ,DST,SF,2900,6.2,0
74262,LeSean McCoy,RB,BUF,7000,17.01,13.9
74264,Clive Walford,TE,OAK,2500,0,0.9
74272,Laquon Treadwell,WR,MIN,3300,3.58,1.2
74273,Charles Sims,RB,TB,3900,9.01,2.3
74274,Tyler Ervin,RB,HOU,3000,0,1.8
74275,Kevin McDermott,TE,MIN,2500,0,0
74281,Aldrick Robinson,WR,SF,3000,4.11,4.3
74296,Cameron Brate,TE,TB,3000,9.94,13.3
74298,Chris Conley,WR,KC,3200,5.87,0
74305,Adam Humphries,WR,TB,3100,7.2,12.8
74311,Jamison Crowder,WR,WAS,4900,10.98,10.2
74325,Justin Hardy,WR,ATL,3000,0,0
74329,Hunter Henry,TE,LAC,3900,9.97,0
74332,Luke Stocker,TE,TB,2500,0,0
74333,Brent Celek,TE,PHI,2500,0,0
74343,Jarvis Landry,WR,MIA,6800,17.23,10.8
74349,Ifeanyi Momah,TE,ARI,2500,0,0
74350,Browns ,DST,CLE,3000,5.89,4
74362,Dwayne Harris,WR,NYG,3000,0,0
74363,Elijhaa Penny,RB,ARI,3000,0,0
74370,Robert Woods,WR,LAR,3300,8.4,19.8
74390,Derrick Henry,RB,TEN,5300,12.4,7.4
74396,Jared Abbrederis,WR,DET,3000,0,0
74408,DeAndre Hopkins,WR,HOU,6200,16.65,14.6
74409,Taylor Gabriel,WR,ATL,4000,10.17,18.9
74410,Patrick Mahomes II,QB,KC,4700,0,0
74417,Daniel Brown,TE,CHI,2500,0,0
74420,Alshon Jeffery,WR,PHI,5900,16.11,9.6
74421,Matthew Stafford,QB,DET,6200,22.42,16.46
74427,Brandon Allen,QB,LAR,4000,0,0
74428,Latavius Murray,RB,MIN,3200,0,0.5
74433,Mitchell Trubisky,QB,CHI,4500,0,0
74443,Terron Ward,RB,ATL,3000,0,0
74453,Ted Ginn Jr.,WR,NO,4100,10.18,13.9
74454,Eric Decker,WR,TEN,4000,12.53,8.9
74456,Beau Brinkley,TE,TEN,2500,0,0
74469,Dontrelle Inman,WR,LAC,3400,0,1.2
74478,Derrick Coleman,RB,ATL,3000,0,0
74481,Jeremy Sprinkle,TE,WAS,2500,0,0
74494,JuJu Smith-Schuster,WR,PIT,3000,0,5.9
74502,Julio Jones,WR,ATL,9300,23.75,16.1
74504,Deshaun Watson,QB,HOU,4700,14.18,25.14
74506,Isaiah McKenzie,WR,DEN,3000,0,0.4
74508,Jacob Hollister,TE,NE,2500,0,2.9
74512,Brandon Bolden,RB,NE,3000,0,0
74521,Keenan Allen,WR,LAC,7200,17.8,11.1
74522,Mack Brown,RB,WAS,3000,0,2.7
74531,Brittan Golden,WR,ARI,3000,0,3.1
74534,Alfred Morris,RB,DAL,5200,2.13,0
74535,Colt McCoy,QB,WAS,4700,0,0
74539,Jeff Heuerman,TE,DEN,2500,0,0
74540,Broncos ,DST,DEN,3600,8.84,4
74544,T.Y. Hilton,WR,IND,5200,14.87,31.3
74546,Ryan Fitzpatrick,QB,TB,4400,0,0
74548,Josh Bellamy,WR,CHI,3300,8.01,0
74549,Rob Kelley,RB,WAS,4200,0,0
74552,Blaine Gabbert,QB,ARI,4300,0,0
74563,Sean Culkin,TE,LAC,2500,0,0
74571,Darrell Daniels,TE,IND,2500,0,1.6
74572,Nick Vannett,TE,SEA,2500,0,0
74577,Jim Dray,TE,ARI,2500,0,0
74587,Benjamin Watson,TE,BAL,3700,9.25,10.2
74588,Eli Rogers,WR,PIT,3600,8.35,0
74589,Brice Butler,WR,DAL,3000,0,17
74592,Logan Paulsen,TE,SF,2500,0,0
74605,Jacquizz Rodgers,RB,TB,4600,11.23,1.5
74606,Kerwynn Williams,RB,ARI,4000,6.46,0.3
74613,Jared Goff,QB,LAR,5200,16.19,23.58
74618,Zach Zenner,RB,DET,3300,0,0.5
74624,Kellen Clemens,QB,LAC,4000,0,0
74627,Jalen Richard,RB,OAK,4100,0,1.8
74628,Andre Ellington,RB,ARI,3800,6.35,13.1
74629,Charles Clay,TE,BUF,3400,10.2,15.9
74633,Travis Benjamin,WR,LAC,3500,8.58,19.4
74635,Kellen Moore,QB,DAL,4000,0,0
74645,Chris Carson,RB,SEA,4900,11.08,13.2
74649,Maxx Williams,TE,BAL,2500,0,0
74650,Eric Weems,WR,TEN,3000,0,0
74658,Tanner McEvoy,WR,SEA,3000,0,0
74667,Christian McCaffrey,RB,CAR,6100,15.64,23.7
74674,J.J. Nelson,WR,ARI,5300,14.91,0
74676,Cody Kessler,QB,CLE,4000,0,0
74694,Darren McFadden,RB,DAL,4500,0,0
74695,Akeem Hunt,RB,KC,3000,0,0
74701,Marcus Johnson,WR,PHI,3000,0,0
74707,Colts ,DST,IND,3200,6.42,6
74712,Steelers ,DST,PIT,3400,9,6
74716,Tyler Eifert,TE,CIN,3900,0,0
74723,Wayne Gallman,RB,NYG,3000,0,0
74724,Eric Tomlinson,TE,NYJ,2500,0,0
74728,Cooper Kupp,WR,LAR,4700,12.85,3.7
74732,Sammy Watkins,WR,LAR,5500,12.15,31.6
74733,Jimmy Graham,TE,SEA,4600,11.07,14.2
74736,Amara Darboh,WR,SEA,3000,0,0
74745,Jared Cook,TE,OAK,3100,8.11,14.3
74746,Eagles ,DST,PHI,3000,8.57,4
74752,Josh Malone,WR,CIN,3000,0,0
74756,Blake Bortles,QB,JAX,4400,11.47,27.56
74757,James Conner,RB,PIT,4500,0,0
74758,Robert Turbin,RB,IND,3700,0,3
74766,Matt Ryan,QB,ATL,7100,22.89,16.66
74767,Andy Dalton,QB,CIN,5100,16.76,16.28
74771,Cam Newton,QB,CAR,6600,20.22,11.28
74781,Torrey Smith,WR,PHI,3600,8.91,6.9
74795,Logan Thomas,TE,BUF,2500,0,0
74800,C.J. Anderson,RB,DEN,5800,17.52,6.3
74801,Khari Lee,TE,BUF,2500,0,0
74804,Tarik Cohen,RB,CHI,5600,15.16,14.2
74810,Austin Ekeler,RB,LAC,3000,0,1.6
74816,Jaron Brown,WR,ARI,3700,9.21,10.7
74824,Cardale Jones,QB,LAC,4500,0,0
74828,Zach Miller,TE,CHI,3000,9.04,2.7
74832,Derek Anderson,QB,CAR,5400,0,0.68
74841,Ezekiel Elliott,RB,DAL,8300,19.27,18.4
74842,Jalston Fowler,RB,TEN,3000,0,0
74843,Patriots ,DST,NE,3800,8.33,6
74848,Chris Moore,WR,BAL,3000,0,0
74854,Bears ,DST,CHI,2200,3.43,8
74862,George Kittle,TE,SF,2500,6.38,1.8
74865,Sam Bradford,QB,MIN,5700,0,0
74866,Levine Toilolo,TE,ATL,2500,0,0
74880,Matthew Slater,WR,NE,3000,0,0
74884,Tyler Boyd,WR,CIN,3300,0,2.1
74891,Mark Ingram,RB,NO,4500,12.46,10.6
74902,David Morgan,TE,MIN,2500,0,0
74905,Dwayne Allen,TE,NE,2500,4.47,0
74912,A.J. Green,WR,CIN,8100,22.17,30.1
74918,Brad Kaaya,QB,CAR,4000,0,0
74925,Michael Campanaro,WR,BAL,3100,0,2
74927,Stephen Anderson,TE,HOU,2900,0,2.4
74931,Sean Mannion,QB,LAR,4200,0,0
74936,Jaelen Strong,WR,HOU,3500,0,0
74938,Kyle Sloter,QB,MIN,4000,0,0
74943,Javorius Allen,RB,BAL,5000,12.68,7.8
74944,Reggie Davis,WR,CLE,3000,0,0
74945,Leonte Carroo,WR,MIA,3000,0,0
74946,Marcus Mariota,QB,TEN,6000,16.18,19.7
74960,Bengals ,DST,CIN,2500,3.73,14
74967,Mark Sanchez,QB,CHI,4000,0,0
74968,Drew Stanton,QB,ARI,4000,0,0
74970,Isaiah Crowell,RB,CLE,4800,12.88,7.4
74971,LeGarrette Blount,RB,PHI,3900,7.11,12.7
74976,Adam Thielen,WR,MIN,5700,11.35,14.8
74977,Dalvin Cook,RB,MIN,5900,14.46,27.9
74981,Kelvin Benjamin,WR,CAR,6700,15.83,2.8
74982,Jay Ajayi,RB,MIA,7700,18.15,4.5
74983,Andrew DePaola,TE,CHI,2500,0,0
74986,Marshawn Lynch,RB,OAK,6000,13.58,3.6
