,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Week,Year,GID,Pos,Team,h/a,Oppt,FD points,FD salary
0,RB,Duke Johnson Jr.,4200,CLE@IND 01:00PM ET,9.82,CLE,,,,,,,,,
1,WR,Ted Ginn Jr.,4100,NO@CAR 01:00PM ET,11.04,NO,3.0,2017.0,3670.0,WR,nor,a,car,12.9,5800.0
2,RB,D'Onta Foreman,4000,HOU@NE 01:00PM ET,3.21,HOU,3.0,2017.0,5539.0,RB,hou,a,nwe,10.0,4700.0
3,RB,De'Angelo Henderson,3600,DEN@BUF 01:00PM ET,1.59,DEN,3.0,2017.0,5561.0,RB,den,a,buf,0.1,4500.0
4,WR,Jaelen Strong,3500,BAL@JAX 09:30AM ET,0.0,JAX,,,,,,,,,
5,WR,Victor Bolden Jr.,3000,LAR@SF 08:25PM ET,0.0,SF,,,,,,,,,
6,WR,Kendrick Bourne,3000,LAR@SF 08:25PM ET,0.0,SF,,,,,,,,,
7,WR,Keelan Cole,3000,BAL@JAX 09:30AM ET,0.0,JAX,3.0,2017.0,5570.0,WR,jac,h,bal,1.8,4500.0
8,WR,Damiere Byrd,3000,NO@CAR 01:00PM ET,0.0,CAR,3.0,2017.0,5531.0,WR,car,h,nor,0.0,4500.0
9,RB,Trey Edmunds,3000,NO@CAR 01:00PM ET,0.0,NO,3.0,2017.0,5573.0,RB,nor,a,car,0.0,4500.0
10,RB,Michael Burton,3000,PIT@CHI 01:00PM ET,0.0,CHI,3.0,2017.0,5415.0,RB,chi,h,pit,0.0,4500.0
11,WR,Andre Roberts,3000,ATL@DET 01:00PM ET,0.0,ATL,3.0,2017.0,3978.0,WR,atl,a,det,1.7,4500.0
12,WR,TJ Jones,3000,ATL@DET 01:00PM ET,0.0,DET,,,,,,,,,
13,RB,Tion Green,3000,ATL@DET 01:00PM ET,0.0,DET,,,,,,,,,
14,RB,Danny Vitale,3000,CLE@IND 01:00PM ET,0.0,CLE,,,,,,,,,
15,WR,Reggie Davis,3000,CLE@IND 01:00PM ET,0.0,CLE,,,,,,,,,
16,WR,Bernard Reedy,3000,TB@MIN 01:00PM ET,0.0,TB,3.0,2017.0,5283.0,WR,tam,a,min,1.4,0.0
17,WR,Matthew Slater,3000,HOU@NE 01:00PM ET,0.0,NE,,,,,,,,,
18,RB,Jordan Todman,3000,HOU@NE 01:00PM ET,0.0,HOU,3.0,2017.0,2840.0,RB,hou,a,nwe,0.0,4500.0
19,RB,Brandon Bolden,3000,HOU@NE 01:00PM ET,0.0,NE,3.0,2017.0,2874.0,RB,nwe,h,hou,0.0,4500.0
20,WR,Tavarres King,3000,NYG@PHI 01:00PM ET,0.0,NYG,,,,,,,,,
21,RB,Shane Smith,3000,NYG@PHI 01:00PM ET,0.0,NYG,,,,,,,,,
22,WR,De'Anthony Thomas,3000,KC@LAC 04:25PM ET,0.66,KC,3.0,2017.0,2958.0,WR,kan,a,lac,1.9,4600.0
23,TE,Richard Rodgers,2700,CIN@GB 04:25PM ET,0.0,GB,3.0,2017.0,4629.0,TE,gnb,h,cin,0.0,4600.0
24,TE,Evan Baylis,2600,HOU@NE 01:00PM ET,0.0,HOU,,,,,,,,,
25,TE,Kyle Nelson,2500,LAR@SF 08:25PM ET,0.0,SF,,,,,,,,,
