Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
3;2017;1131;Brady, Tom;QB;nwe;h;hou;35.72;9400
3;2017;1412;Wilson, Russell;QB;sea;a;ten;33.52;7800
3;2017;1435;Keenum, Case;QB;min;h;tam;28.56;6000
3;2017;1496;Brissett, Jacoby;QB;ind;h;cle;27.76;6500
3;2017;1442;Bortles, Blake;QB;jac;h;bal;27.56;7000
3;2017;1336;Hoyer, Brian;QB;sfo;h;lar;27.18;6200
3;2017;1415;Cousins, Kirk;QB;was;h;oak;26.8;7600
3;2017;1252;Rodgers, Aaron;QB;gnb;h;cin;25.82;9300
3;2017;1517;Kizer, DeShone;QB;cle;a;ind;25.08;6900
3;2017;1225;Manning, Eli;QB;nyg;a;phi;24.64;7300
3;2017;1490;Goff, Jared;QB;lar;a;sfo;23.58;6800
3;2017;1501;Prescott, Dak;QB;dal;a;ari;22.92;7800
3;2017;1518;Watson, Deshaun;QB;hou;a;nwe;22.14;7000
3;2017;1207;Palmer, Carson;QB;ari;h;dal;21.7;7300
3;2017;1151;Brees, Drew;QB;nor;a;car;20.8;8400
3;2017;1466;Mariota, Marcus;QB;ten;h;sea;19.7;7500
3;2017;1465;Winston, Jameis;QB;tam;a;min;18.52;7400
3;2017;1400;Taylor, Tyrod;QB;buf;h;den;17.82;7200
3;2017;1301;Ryan, Matt;QB;atl;a;det;16.66;8500
3;2017;1340;Stafford, Matthew;QB;det;h;atl;16.46;7900
3;2017;1403;Dalton, Andy;QB;cin;a;gnb;16.28;6800
3;2017;1254;Smith, Alex;QB;kan;a;lac;15.1;7400
3;2017;1175;McCown, Josh;QB;nyj;h;mia;14.66;6500
3;2017;1514;Wentz, Carson;QB;phi;h;nyg;13.24;7700
3;2017;1263;Cutler, Jay;QB;mia;a;nyj;12.7;7400
3;2017;1232;Roethlisberger, Ben;QB;pit;a;chi;12;8000
3;2017;1378;Newton, Cam;QB;car;h;nor;11.28;8100
3;2017;1488;Siemian, Trevor;QB;den;a;buf;9.56;7400
3;2017;1420;Glennon, Mike;QB;chi;h;pit;7.44;6400
3;2017;1441;Carr, Derek;QB;oak;a;was;7.22;8400
3;2017;1231;Rivers, Philip;QB;lac;h;kan;6.48;7500
3;2017;1401;Mallett, Ryan;QB;bal;a;jac;5.44;6000
3;2017;1239;Anderson, Derek;QB;car;h;nor;0.68;6000
3;2017;5071;Webb, Joe;QB;buf;h;den;0;6000
3;2017;1309;Henne, Chad;QB;jac;h;bal;-0.3;6000
3;2017;1302;Flacco, Joe;QB;bal;a;jac;-0.88;7100
3;2017;2992;Gurley, Todd;RB;lar;a;sfo;35.4;7900
3;2017;5447;Howard, Jordan;RB;chi;h;pit;28.9;6800
3;2017;2915;Thompson, Chris;RB;was;h;oak;27.8;5600
3;2017;5559;Cook, Dalvin;RB;min;h;tam;25.4;6500
3;2017;5560;Hunt, Kareem;RB;kan;a;lac;24.8;8300
3;2017;2933;Hyde, Carlos;RB;sfo;h;lar;22.9;6600
3;2017;2930;Freeman, Devonta;RB;atl;a;det;21.3;8200
3;2017;2997;Johnson, Duke;RB;cle;a;ind;19.4;5700
3;2017;2888;Bell, Le'Veon;RB;pit;a;chi;18.8;8700
3;2017;2831;Murray, DeMarco;RB;ten;h;sea;18.5;6500
3;2017;5444;Elliott, Ezekiel;RB;dal;a;ari;16.9;8800
3;2017;5536;McCaffrey, Christian;RB;car;h;nor;16.2;6800
3;2017;5534;Fournette, Leonard;RB;jac;h;bal;15.5;7400
3;2017;2991;Gordon, Melvin;RB;lac;h;kan;13.9;7600
3;2017;2721;Blount, LeGarrette;RB;phi;h;nyg;12.7;5500
3;2017;5565;Carson, Chris;RB;sea;a;ten;12.2;6000
3;2017;2467;Gore, Frank;RB;ind;h;cle;12.2;6300
3;2017;2629;Charles, Jamaal;RB;den;a;buf;12.2;5100
3;2017;5564;Cohen, Tarik;RB;chi;h;pit;12.2;5600
3;2017;5562;Kamara, Alvin;RB;nor;a;car;11.7;5200
3;2017;5535;Mixon, Joe;RB;cin;a;gnb;11.6;5100
3;2017;2889;Bernard, Giovani;RB;cin;a;gnb;10.9;5500
3;2017;2892;Ellington, Andre;RB;ari;h;dal;10.6;4700
3;2017;2994;Coleman, Tevin;RB;atl;a;det;10.4;5500
3;2017;2707;McCoy, LeSean;RB;buf;h;den;10.4;8100
3;2017;2995;Abdullah, Ameer;RB;det;h;atl;10.1;6100
3;2017;5539;Foreman, D'Onta;RB;hou;a;nwe;10;4700
3;2017;5405;Grant, Corey;RB;jac;h;bal;9.8;4500
3;2017;2819;Powell, Bilal;RB;nyj;h;mia;9.7;6000
3;2017;2793;Ingram, Mark;RB;nor;a;car;9.6;5800
3;2017;5392;Montgomery, Ty;RB;gnb;h;cin;9;7200
3;2017;5448;Prosise, C.J.;RB;sea;a;ten;8.9;5000
3;2017;5473;Smallwood, Wendell;RB;phi;h;nyg;8.5;4800
3;2017;5450;Collins, Alex;RB;bal;a;jac;8.2;0
3;2017;5583;Clement, Corey;RB;phi;h;nyg;8.2;4500
3;2017;5445;Henry, Derrick;RB;ten;h;sea;6.9;6400
3;2017;2859;Miller, Lamar;RB;hou;a;nwe;6.8;6100
3;2017;2612;Stewart, Jonathan;RB;car;h;nor;6.6;6200
3;2017;2969;Crowell, Isaiah;RB;cle;a;ind;6.4;6600
3;2017;2907;Riddick, Theo;RB;det;h;atl;5.8;5600
3;2017;2982;Oliver, Branden;RB;lac;h;kan;5.4;5000
3;2017;2924;Anderson, C.J.;RB;den;a;buf;5.3;6900
3;2017;5370;Allen, Javorius;RB;bal;a;jac;5.3;5700
3;2017;2741;Ivory, Chris;RB;jac;h;bal;5.2;4700
3;2017;5449;Washington, DeAndre;RB;oak;a;was;4.9;5100
3;2017;2553;Peterson, Adrian;RB;nor;a;car;4.7;5500
3;2017;5567;Breida, Matt;RB;sfo;h;lar;4.4;4800
3;2017;2647;Tolbert, Mike;RB;buf;h;den;4.1;4700
3;2017;5472;Perkins, Paul;RB;nyg;a;phi;4;5900
3;2017;5538;Perine, Samaje;RB;was;h;oak;4;5600
3;2017;2908;Juszczyk, Kyle;RB;sfo;h;lar;3.9;4500
3;2017;2976;Darkwa, Orleans;RB;nyg;a;phi;3.8;4900
3;2017;2911;Cunningham, Benny;RB;chi;h;pit;3.8;4800
3;2017;2998;Ajayi, Jay;RB;mia;a;nyj;3.5;8200
3;2017;2928;Hill, Jeremy;RB;cin;a;gnb;3.4;5100
3;2017;2830;Vereen, Shane;RB;nyg;a;phi;3.3;4800
3;2017;2954;White, James;RB;nwe;h;hou;3.3;5600
3;2017;2816;Lewis, Dion;RB;nwe;h;hou;3.2;4700
3;2017;2552;Lynch, Marshawn;RB;oak;a;was;3.1;6700
3;2017;2894;Gillislee, Mike;RB;nwe;h;hou;3.1;6800
3;2017;5526;Brown, Mack;RB;was;h;oak;2.7;4500
3;2017;2645;Johnson, Chris;RB;ari;h;dal;2.6;5700
3;2017;2613;Forte, Matt;RB;nyj;h;mia;2.5;5500
3;2017;2867;Turbin, Robert;RB;ind;h;cle;2.5;5000
3;2017;2987;West, Charcandrick;RB;kan;a;lac;2.3;5100
3;2017;2931;Sims, Charles;RB;tam;a;min;1.8;5500
3;2017;5581;Ham, C.J.;RB;min;h;tam;1.7;4500
3;2017;2957;Williams, Damien;RB;mia;a;nyj;1.6;4500
3;2017;2822;Sherman, Anthony;RB;kan;a;lac;1.6;4500
3;2017;2818;Rodgers, Jacquizz;RB;tam;a;min;1.5;6600
3;2017;2935;McKinnon, Jerick;RB;min;h;tam;1.4;4800
3;2017;5544;McGuire, Elijah;RB;nyj;h;mia;1.4;4500
3;2017;2910;Bohanon, Tommy;RB;jac;h;bal;1.3;4500
3;2017;5490;Richard, Jalen;RB;oak;a;was;1.3;5000
