Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,Duke Johnson Jr.,4200,CLE@IND 01:00PM ET,9.82,CLE
WR,Ted Ginn Jr.,4100,NO@CAR 01:00PM ET,11.04,NO
RB,D'Onta Foreman,4000,HOU@NE 01:00PM ET,3.21,HOU
RB,De'Angelo Henderson,3600,DEN@BUF 01:00PM ET,1.59,DEN
WR,Jaelen Strong,3500,BAL@JAX 09:30AM ET,0,JAX
WR,Victor Bolden Jr.,3000,LAR@SF 08:25PM ET,0,SF
WR,Kendrick Bourne,3000,LAR@SF 08:25PM ET,0,SF
WR,Keelan Cole,3000,BAL@JAX 09:30AM ET,0,JAX
WR,Damiere Byrd,3000,NO@CAR 01:00PM ET,0,CAR
RB,Trey Edmunds,3000,NO@CAR 01:00PM ET,0,NO
RB,Michael Burton,3000,PIT@CHI 01:00PM ET,0,CHI
WR,Andre Roberts,3000,ATL@DET 01:00PM ET,0,ATL
WR,TJ Jones,3000,ATL@DET 01:00PM ET,0,DET
RB,Tion Green,3000,ATL@DET 01:00PM ET,0,DET
RB,Danny Vitale,3000,CLE@IND 01:00PM ET,0,CLE
WR,Reggie Davis,3000,CLE@IND 01:00PM ET,0,CLE
WR,Bernard Reedy,3000,TB@MIN 01:00PM ET,0,TB
WR,Matthew Slater,3000,HOU@NE 01:00PM ET,0,NE
RB,Jordan Todman,3000,HOU@NE 01:00PM ET,0,HOU
RB,Brandon Bolden,3000,HOU@NE 01:00PM ET,0,NE
WR,Tavarres King,3000,NYG@PHI 01:00PM ET,0,NYG
RB,Shane Smith,3000,NYG@PHI 01:00PM ET,0,NYG
WR,De'Anthony Thomas,3000,KC@LAC 04:25PM ET,0.66,KC
TE,Richard Rodgers,2700,CIN@GB 04:25PM ET,0,GB
TE,Evan Baylis,2600,HOU@NE 01:00PM ET,0,HOU
TE,Kyle Nelson,2500,LAR@SF 08:25PM ET,0,SF
TE,James O'Shaughnessy,2500,BAL@JAX 09:30AM ET,0,JAX
TE,Nick O'Leary,2500,DEN@BUF 01:00PM ET,1.18,BUF
TE,Michael Hoomanawanui,2500,NO@CAR 01:00PM ET,0,NO
TE,Andrew DePaola,2500,PIT@CHI 01:00PM ET,0,CHI
TE,Kevin McDermott,2500,TB@MIN 01:00PM ET,0,MIN
TE,Antony Auclair,2500,TB@MIN 01:00PM ET,0,TB
TE,Matt LaCosse,2500,NYG@PHI 01:00PM ET,0,NYG
TE,Beau Brinkley,2500,SEA@TEN 04:05PM ET,0,TEN
TE,Tyler Ott,2500,SEA@TEN 04:05PM ET,0,SEA
TE,Clark Harris,2500,CIN@GB 04:25PM ET,0,CIN
TE,Cethan Carter,2500,CIN@GB 04:25PM ET,0,CIN
TE,James Winchester,2500,KC@LAC 04:25PM ET,0,KC
TE,Sean Culkin,2500,KC@LAC 04:25PM ET,0,LAC
TE,James Hanna,2500,DAL@ARI 08:30PM ET,0,DAL
QB,Aaron Rodgers,7300,CIN@GB 04:25PM ET,22.46,GB
QB,Matt Ryan,7100,ATL@DET 01:00PM ET,21.4,ATL
WR,Julio Jones,9300,ATL@DET 01:00PM ET,21.28,ATL
QB,Drew Brees,7200,NO@CAR 01:00PM ET,21.02,NO
QB,Tom Brady,7700,HOU@NE 01:00PM ET,20.21,NE
QB,Cam Newton,6600,NO@CAR 01:00PM ET,19.51,CAR
QB,Matthew Stafford,6200,ATL@DET 01:00PM ET,18.87,DET
RB,Ezekiel Elliott,8300,DAL@ARI 08:30PM ET,18.66,DAL
QB,Kirk Cousins,6100,OAK@WAS 08:30PM ET,18.49,WAS
QB,Russell Wilson,6300,SEA@TEN 04:05PM ET,18.29,SEA
WR,Antonio Brown,9000,PIT@CHI 01:00PM ET,18.25,PIT
RB,Le'Veon Bell,8800,PIT@CHI 01:00PM ET,18.21,PIT
QB,Alex Smith,5900,KC@LAC 04:25PM ET,18.07,KC
RB,Kareem Hunt,8000,KC@LAC 04:25PM ET,17.77,KC
QB,Philip Rivers,6400,KC@LAC 04:25PM ET,17.52,LAC
RB,Devonta Freeman,6700,ATL@DET 01:00PM ET,17.5,ATL
QB,Dak Prescott,5800,DAL@ARI 08:30PM ET,17.21,DAL
QB,Carson Palmer,6000,DAL@ARI 08:30PM ET,17.08,ARI
QB,Jameis Winston,6000,TB@MIN 01:00PM ET,16.92,TB
RB,LeSean McCoy,7000,DEN@BUF 01:00PM ET,16.51,BUF
WR,Keenan Allen,7200,KC@LAC 04:25PM ET,16.43,LAC
RB,Melvin Gordon,7600,KC@LAC 04:25PM ET,16.39,LAC
