Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
QB,Drew Brees,7200,NO@MIA 09:30AM ET,22.6,NO
QB,Tom Brady,8000,CAR@NE 01:00PM ET,21.81,NE
QB,Matt Ryan,7400,BUF@ATL 01:00PM ET,21.34,ATL
QB,Russell Wilson,7300,IND@SEA 08:30PM ET,20.48,SEA
WR,Julio Jones,8800,BUF@ATL 01:00PM ET,20.46,ATL
RB,Ezekiel Elliott,8200,LAR@DAL 01:00PM ET,20.36,DAL
QB,Dak Prescott,6200,LAR@DAL 01:00PM ET,18.69,DAL
QB,Carson Palmer,6100,SF@ARI 04:05PM ET,17.89,ARI
RB,LeSean McCoy,8400,BUF@ATL 01:00PM ET,17.74,BUF
RB,Devonta Freeman,7300,BUF@ATL 01:00PM ET,17.29,ATL
WR,Odell Beckham Jr.,8900,NYG@TB 04:05PM ET,17.25,NYG
QB,Philip Rivers,6300,PHI@LAC 04:05PM ET,17.11,LAC
QB,Matthew Stafford,6000,DET@MIN 01:00PM ET,17.06,DET
QB,Blake Bortles,5300,JAX@NYJ 01:00PM ET,16.85,JAX
QB,Jameis Winston,5900,NYG@TB 04:05PM ET,16.49,TB
RB,Todd Gurley II,7800,LAR@DAL 01:00PM ET,16.45,LAR
QB,Jay Cutler,5800,NO@MIA 09:30AM ET,16.43,MIA
WR,Antonio Brown,9300,PIT@BAL 01:00PM ET,16.41,PIT
QB,Carson Wentz,6600,PHI@LAC 04:05PM ET,16.37,PHI
QB,Cam Newton,5900,CAR@NE 01:00PM ET,16.28,CAR
RB,Le'Veon Bell,8700,PIT@BAL 01:00PM ET,16.16,PIT
QB,Trevor Siemian,5200,OAK@DEN 04:25PM ET,16.11,DEN
QB,Andy Dalton,5800,CIN@CLE 01:00PM ET,15.78,CIN
QB,Eli Manning,5700,NYG@TB 04:05PM ET,15.76,NYG
WR,Mike Evans,7400,NYG@TB 04:05PM ET,15.71,TB
RB,Dalvin Cook,6500,DET@MIN 01:00PM ET,15.69,MIN
WR,Michael Thomas,7300,NO@MIA 09:30AM ET,15.26,NO
WR,Michael Thomas,3000,LAR@DAL 01:00PM ET,15.26,LAR
WR,A.J. Green,8600,CIN@CLE 01:00PM ET,15.21,CIN
QB,Tyrod Taylor,5300,BUF@ATL 01:00PM ET,14.97,BUF
RB,Leonard Fournette,6700,JAX@NYJ 01:00PM ET,14.87,JAX
QB,Deshaun Watson,5100,TEN@HOU 01:00PM ET,14.72,HOU
WR,Keenan Allen,7200,PHI@LAC 04:05PM ET,14.65,LAC
RB,Melvin Gordon,7000,PHI@LAC 04:05PM ET,14.59,LAC
QB,Marcus Mariota,6400,TEN@HOU 01:00PM ET,14.59,TEN
WR,Jarvis Landry,6500,NO@MIA 09:30AM ET,14.55,MIA
WR,Larry Fitzgerald,6100,SF@ARI 04:05PM ET,14.49,ARI
WR,Demaryius Thomas,6300,OAK@DEN 04:25PM ET,14.45,DEN
QB,DeShone Kizer,5200,CIN@CLE 01:00PM ET,14.4,CLE
WR,Brandin Cooks,7600,CAR@NE 01:00PM ET,14.38,NE
QB,Case Keenum,5000,DET@MIN 01:00PM ET,14.17,MIN
QB,Jared Goff,5600,LAR@DAL 01:00PM ET,14.11,LAR
WR,Doug Baldwin,6900,IND@SEA 08:30PM ET,14.1,SEA
QB,Joe Flacco,4900,PIT@BAL 01:00PM ET,13.81,BAL
WR,Dez Bryant,6500,LAR@DAL 01:00PM ET,13.8,DAL
RB,Jay Ajayi,7400,NO@MIA 09:30AM ET,13.75,MIA
QB,Ben Roethlisberger,6000,PIT@BAL 01:00PM ET,13.65,PIT
WR,Alshon Jeffery,6200,PHI@LAC 04:05PM ET,13.6,PHI
WR,Golden Tate,6300,DET@MIN 01:00PM ET,13.59,DET
RB,Christian McCaffrey,6800,CAR@NE 01:00PM ET,13.55,CAR
WR,DeAndre Hopkins,6400,TEN@HOU 01:00PM ET,13.44,HOU
WR,T.Y. Hilton,5300,IND@SEA 08:30PM ET,13.44,IND
WR,Emmanuel Sanders,6100,OAK@DEN 04:25PM ET,13.38,DEN
RB,DeMarco Murray,6000,TEN@HOU 01:00PM ET,13.27,TEN
QB,Josh McCown,4500,JAX@NYJ 01:00PM ET,13.22,NYJ
QB,Brian Hoyer,4800,SF@ARI 04:05PM ET,13.15,SF
QB,Jacoby Brissett,5000,IND@SEA 08:30PM ET,12.99,IND
RB,Joe Mixon,5700,CIN@CLE 01:00PM ET,12.96,CIN
WR,DeVante Parker,6700,NO@MIA 09:30AM ET,12.79,MIA
QB,Derek Carr,5800,OAK@DEN 04:25PM ET,12.7,OAK
TE,Rob Gronkowski,6600,CAR@NE 01:00PM ET,12.47,NE
TE,Zach Ertz,6300,PHI@LAC 04:05PM ET,12.43,PHI
RB,Mark Ingram,4600,NO@MIA 09:30AM ET,12.34,NO
WR,Stefon Diggs,7100,DET@MIN 01:00PM ET,12.19,MIN
WR,Sammy Watkins,5900,LAR@DAL 01:00PM ET,11.84,LAR
WR,Pierre Garcon,5500,SF@ARI 04:05PM ET,11.74,SF
WR,Michael Crabtree,6200,OAK@DEN 04:25PM ET,11.63,OAK
RB,Carlos Hyde,6600,SF@ARI 04:05PM ET,11.6,SF
WR,Adam Thielen,5800,DET@MIN 01:00PM ET,11.48,MIN
RB,C.J. Anderson,5600,OAK@DEN 04:25PM ET,11.42,DEN
RB,Chris Carson,5400,IND@SEA 08:30PM ET,11.4,SEA
RB,Isaiah Crowell,4800,CIN@CLE 01:00PM ET,11.27,CLE
WR,Chris Hogan,6000,CAR@NE 01:00PM ET,11.23,NE
WR,Amari Cooper,6000,OAK@DEN 04:25PM ET,11.21,OAK
WR,Marqise Lee,4500,JAX@NYJ 01:00PM ET,11.18,JAX
RB,Mike Gillislee,5400,CAR@NE 01:00PM ET,11.12,NE
RB,Jacquizz Rodgers,4400,NYG@TB 04:05PM ET,11.06,TB
RB,Frank Gore,4000,IND@SEA 08:30PM ET,10.94,IND
WR,Rishard Matthews,4900,TEN@HOU 01:00PM ET,10.86,TEN
WR,DeSean Jackson,5200,NYG@TB 04:05PM ET,10.81,TB
TE,Jimmy Graham,4900,IND@SEA 08:30PM ET,10.69,SEA
RB,Tevin Coleman,5000,BUF@ATL 01:00PM ET,10.68,ATL
WR,Tyrell Williams,4400,PHI@LAC 04:05PM ET,10.66,LAC
WR,Willie Snead,5000,NO@MIA 09:30AM ET,10.49,NO
WR,Sterling Shepard,5000,NYG@TB 04:05PM ET,10.47,NYG
RB,Marshawn Lynch,5000,OAK@DEN 04:25PM ET,10.41,OAK
TE,Delanie Walker,4900,TEN@HOU 01:00PM ET,10.3,TEN
RB,Lamar Miller,4500,TEN@HOU 01:00PM ET,10.29,HOU
