QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration,Actual
Matthew Stafford,Carlos Hyde,Jonathan Stewart,A.J. Green,Eric Decker,Davante Adams,Zach Ertz,Le'Veon Bell,Redskins ,DET,SF,CAR,CIN,TEN,GB,PHI,PIT,WAS,6200,5200,4700,8100,4000,5600,5000,8800,2400,152.65,Scenario1,1,150.26
Matthew Stafford,C.J. Anderson,Todd Gurley II,Dez Bryant,Rishard Matthews,T.Y. Hilton,Rob Gronkowski,Carlos Hyde,Eagles ,DET,DEN,LAR,DAL,TEN,IND,NE,SF,PHI,6200,5800,6800,6800,4200,5200,6800,5200,3000,151.43,Scenario1,2,176.06
Derek Carr,Todd Gurley II,Jonathan Stewart,Rishard Matthews,Larry Fitzgerald,J.J. Nelson,Jason Witten,Le'Veon Bell,Raiders ,OAK,LAR,CAR,TEN,ARI,ARI,DAL,PIT,OAK,6800,6800,4700,4200,6400,5300,4500,8800,2500,149.98,Scenario1,3,140.82
Matthew Stafford,C.J. Anderson,Ty Montgomery,Mike Evans,Larry Fitzgerald,Davante Adams,Delanie Walker,Jason Witten,Titans ,DET,DEN,GB,TB,ARI,GB,TEN,DAL,TEN,6200,5800,6900,7500,6400,5600,4400,4500,2700,149.29,Scenario1,4,104.76
Matt Ryan,Le'Veon Bell,Ty Montgomery,A.J. Green,Rishard Matthews,Marvin Jones Jr.,Delanie Walker,Eric Ebron,Eagles ,ATL,PIT,GB,CIN,TEN,DET,TEN,DET,PHI,7100,8800,6900,8100,4200,4200,4400,3300,3000,148.82,Scenario1,5,121.66
Matt Ryan,Todd Gurley II,Jonathan Stewart,Mike Evans,Eric Decker,Terrance Williams,Rob Gronkowski,Ty Montgomery,Panthers ,ATL,LAR,CAR,TB,TEN,DAL,NE,GB,CAR,7100,6800,4700,7500,4000,3600,6800,6900,2600,148.43,Scenario1,6,130.76
Matthew Stafford,Todd Gurley II,Le'Veon Bell,Mohamed Sanu,Alshon Jeffery,Mike Evans,Eric Ebron,Chris Thompson,Falcons ,DET,LAR,PIT,ATL,PHI,TB,DET,WAS,ATL,6200,6800,8800,4500,5900,7500,3300,4500,2500,147.91,Scenario1,7,154.86
Matthew Stafford,Jonathan Stewart,Devonta Freeman,Marvin Jones Jr.,Larry Fitzgerald,Julio Jones,Rob Gronkowski,Eric Ebron,Lions ,DET,CAR,ATL,DET,ARI,ATL,NE,DET,DET,6200,4700,6700,4200,6400,9300,6800,3300,2400,147.79,Scenario1,8,146.56
Derek Carr,C.J. Anderson,Le'Veon Bell,Dez Bryant,Terrance Williams,Davante Adams,Eric Ebron,Devonta Freeman,Panthers ,OAK,DEN,PIT,DAL,DAL,GB,DET,ATL,CAR,6800,5800,8800,6800,3600,5600,3300,6700,2600,147.63,Scenario1,9,89.92
Derek Carr,C.J. Anderson,Jonathan Stewart,A.J. Green,Alshon Jeffery,Tyler Lockett,Rob Gronkowski,Delanie Walker,Buccaneers ,OAK,DEN,CAR,CIN,PHI,SEA,NE,TEN,TB,6800,5800,4700,8100,5900,4300,6800,4400,3200,147.57,Scenario1,10,94.32
Matthew Stafford,Leonard Fournette,Todd Gurley II,DeAndre Hopkins,Marvin Jones Jr.,J.J. Nelson,Zach Ertz,Ty Montgomery,Steelers ,DET,JAX,LAR,HOU,DET,ARI,PHI,GB,PIT,6200,6000,6800,6200,4200,5300,5000,6900,3400,147.42,Scenario1,11,131.76
Matthew Stafford,Leonard Fournette,Le'Veon Bell,Emmanuel Sanders,Terrance Williams,Terrelle Pryor Sr.,Rob Gronkowski,Delanie Walker,Raiders ,DET,JAX,PIT,DEN,DAL,WAS,NE,TEN,OAK,6200,6000,8800,5800,3600,5900,6800,4400,2500,147.29,Scenario1,12,116.36
Dak Prescott,C.J. Anderson,Jonathan Stewart,Rishard Matthews,Emmanuel Sanders,Julio Jones,Zach Ertz,Ty Montgomery,Falcons ,DAL,DEN,CAR,TEN,DEN,ATL,PHI,GB,ATL,5800,5800,4700,4200,5800,9300,5000,6900,2500,147.24,Scenario1,13,122.12
Matt Ryan,Carlos Hyde,Devonta Freeman,Rishard Matthews,Mike Evans,Larry Fitzgerald,Zach Ertz,Chris Thompson,Steelers ,ATL,SF,ATL,TEN,TB,ARI,PHI,WAS,PIT,7100,5200,6700,4200,7500,6400,5000,4500,3400,147.17,Scenario1,14,196.46
Dak Prescott,Todd Gurley II,Ty Montgomery,A.J. Green,Dez Bryant,Davante Adams,Cameron Brate,Chris Thompson,Raiders ,DAL,LAR,GB,CIN,DAL,GB,TB,WAS,OAK,5800,6800,6900,8100,6800,5600,3000,4500,2500,147.15,Scenario1,15,177.12
Kirk Cousins,Jonathan Stewart,Le'Veon Bell,Dez Bryant,Mike Evans,T.Y. Hilton,Cameron Brate,Delanie Walker,Steelers ,WAS,CAR,PIT,DAL,TB,IND,TB,TEN,PIT,6100,4700,8800,6800,7500,5200,3000,4400,3400,146.94,Scenario1,16,139.3
Kirk Cousins,C.J. Anderson,Todd Gurley II,A.J. Green,Jermaine Kearse,Eric Decker,Jason Witten,Devonta Freeman,Steelers ,WAS,DEN,LAR,CIN,NYJ,TEN,DAL,ATL,PIT,6100,5800,6800,8100,4600,4000,4500,6700,3400,146.9,Scenario1,17,156.2
Matt Ryan,C.J. Anderson,Le'Veon Bell,Mohamed Sanu,Terrelle Pryor Sr.,T.Y. Hilton,Zach Ertz,Jason Witten,Buccaneers ,ATL,DEN,PIT,ATL,WAS,IND,PHI,DAL,TB,7100,5800,8800,4500,5900,5200,5000,4500,3200,146.9,Scenario1,18,111.56
Derek Carr,Carlos Hyde,Jonathan Stewart,DeAndre Hopkins,Antonio Brown,T.Y. Hilton,Eric Ebron,Ty Montgomery,Titans ,OAK,SF,CAR,HOU,PIT,IND,DET,GB,TEN,6800,5200,4700,6200,9000,5200,3300,6900,2700,146.61,Scenario1,19,131.52
Kirk Cousins,Todd Gurley II,Le'Veon Bell,Marvin Jones Jr.,Tyler Lockett,Davante Adams,Rob Gronkowski,Ameer Abdullah,Titans ,WAS,LAR,PIT,DET,SEA,GB,NE,DET,TEN,6100,6800,8800,4200,4300,5600,6800,4700,2700,146.58,Scenario1,20,147.3
Matt Ryan,Todd Gurley II,Carlos Hyde,Julio Jones,Davante Adams,J.J. Nelson,Eric Ebron,Frank Gore,Buccaneers ,ATL,LAR,SF,ATL,GB,ARI,DET,IND,TB,7100,6800,5200,9300,5600,5300,3300,4200,3200,146.44,Scenario1,21,121.56
Matthew Stafford,Le'Veon Bell,Devonta Freeman,Rishard Matthews,Jermaine Kearse,Antonio Brown,Cameron Brate,Frank Gore,Buccaneers ,DET,PIT,ATL,TEN,NYJ,PIT,TB,IND,TB,6200,8800,6700,4200,4600,9000,3000,4200,3200,146.4,Scenario1,22,146.96
Ben Roethlisberger,Carlos Hyde,Ty Montgomery,A.J. Green,Mohamed Sanu,J.J. Nelson,Rob Gronkowski,Jason Witten,Falcons ,PIT,SF,GB,CIN,ATL,ARI,NE,DAL,ATL,6200,5200,6900,8100,4500,5300,6800,4500,2500,146.34,Scenario1,23,120.5
Dak Prescott,Leonard Fournette,Todd Gurley II,Antonio Brown,Eric Decker,Larry Fitzgerald,Delanie Walker,Carlos Hyde,Lions ,DAL,JAX,LAR,PIT,TEN,ARI,TEN,SF,DET,5800,6000,6800,9000,4000,6400,4400,5200,2400,146.16,Scenario1,24,201.02
Matthew Stafford,Leonard Fournette,Chris Thompson,A.J. Green,Rishard Matthews,DeSean Jackson,Jason Witten,Julio Jones,Panthers ,DET,JAX,WAS,CIN,TEN,TB,DAL,ATL,CAR,6200,6000,4500,8100,4200,4600,4500,9300,2600,146.11,Scenario1,25,153.86
Matt Ryan,Leonard Fournette,Jonathan Stewart,Dez Bryant,Antonio Brown,Davante Adams,Evan Engram,Jason Witten,Eagles ,ATL,JAX,CAR,DAL,PIT,GB,NYG,DAL,PHI,7100,6000,4700,6800,9000,5600,3200,4500,3000,145.99,Scenario1,26,103.76
Derek Carr,Ty Montgomery,Frank Gore,Dez Bryant,Jermaine Kearse,Larry Fitzgerald,Rob Gronkowski,Zach Ertz,Redskins ,OAK,GB,IND,DAL,NYJ,ARI,NE,PHI,WAS,6800,6900,4200,6800,4600,6400,6800,5000,2400,145.95,Scenario1,27,141.62
Matthew Stafford,C.J. Anderson,Theo Riddick,A.J. Green,Antonio Brown,J.J. Nelson,Eric Ebron,Ameer Abdullah,Raiders ,DET,DEN,DET,CIN,PIT,ARI,DET,DET,OAK,6200,5800,5100,8100,9000,5300,3300,4700,2500,145.82,Scenario1,28,110.16
Derek Carr,C.J. Anderson,Carlos Hyde,Mike Evans,Eric Decker,Julio Jones,Cameron Brate,Terrelle Pryor Sr.,Raiders ,OAK,DEN,SF,TB,TEN,ATL,TB,WAS,OAK,6800,5800,5200,7500,4000,9300,3000,5900,2500,145.43,Scenario1,29,98.82
Ben Roethlisberger,C.J. Anderson,Leonard Fournette,A.J. Green,Doug Baldwin,Larry Fitzgerald,Cameron Brate,Zach Ertz,Eagles ,PIT,DEN,JAX,CIN,SEA,ARI,TB,PHI,PHI,6200,5800,6000,8100,6400,6400,3000,5000,3000,145.06,Scenario1,30,168.6
Kirk Cousins,Tarik Cohen,Ty Montgomery,Alshon Jeffery,Davante Adams,T.Y. Hilton,Zach Ertz,Devonta Freeman,Eagles ,WAS,CHI,GB,PHI,GB,IND,PHI,ATL,PHI,6100,5600,6900,5900,5600,5200,5000,6700,3000,145.03,Scenario1,31,155.2
Derek Carr,Tarik Cohen,Leonard Fournette,Rishard Matthews,Mike Evans,Davante Adams,Rob Gronkowski,Lamar Miller,Falcons ,OAK,CHI,JAX,TEN,TB,GB,NE,HOU,ATL,6800,5600,6000,4200,7500,5600,6800,5000,2500,144.7,Scenario1,32,115.02
Matt Ryan,Devonta Freeman,Frank Gore,A.J. Green,DeAndre Hopkins,T.Y. Hilton,Rob Gronkowski,Evan Engram,Raiders ,ATL,ATL,IND,CIN,HOU,IND,NE,NYG,OAK,7100,6700,4200,8100,6200,5200,6800,3200,2500,144.68,Scenario1,33,168.56
Kirk Cousins,Carlos Hyde,Lamar Miller,Dez Bryant,Marvin Jones Jr.,Julio Jones,Zach Ertz,Jason Witten,Ravens ,WAS,SF,HOU,DAL,DET,ATL,PHI,DAL,BAL,6100,5200,5000,6800,4200,9300,5000,4500,3900,144.48,Scenario1,34,108.0
Ben Roethlisberger,Jonathan Stewart,Devonta Freeman,Antonio Brown,Terrelle Pryor Sr.,J.J. Nelson,Delanie Walker,Zach Ertz,Cowboys ,PIT,CAR,ATL,PIT,WAS,ARI,TEN,PHI,DAL,6200,4700,6700,9000,5900,5300,4400,5000,2800,144.14,Scenario1,35,112.4
Derek Carr,Carlos Hyde,Devonta Freeman,Amari Cooper,Doug Baldwin,Emmanuel Sanders,Delanie Walker,Jason Witten,Eagles ,OAK,SF,ATL,OAK,SEA,DEN,TEN,DAL,PHI,6800,5200,6700,7100,6400,5800,4400,4500,3000,143.74,Scenario1,36,115.42
Matt Ryan,Devonta Freeman,Theo Riddick,Dez Bryant,Eric Decker,Julio Jones,Coby Fleener,Delanie Walker,Falcons ,ATL,ATL,DET,DAL,TEN,ATL,NO,TEN,ATL,7100,6700,5100,6800,4000,9300,4100,4400,2500,143.43,Scenario1,37,97.66
Derek Carr,Melvin Gordon,Chris Thompson,Marvin Jones Jr.,Julio Jones,Davante Adams,Delanie Walker,T.Y. Hilton,Redskins ,OAK,LAC,WAS,DET,ATL,GB,TEN,IND,WAS,6800,7600,4500,4200,9300,5600,4400,5200,2400,142.96,Scenario1,38,137.82
