Id,Name,Position,Team,Salary,Projected,Scored,Override,Alerts
249946,LeBron James,SF/PF,CLE,10200,60.02,66.5,0,Starter:1|PlayerMatchupIsGreat:3
249947,Kevin Durant,SF/PF,GS,9600,50.4,41.75,0,Starter:1|ThumbUp:1|PlayerMatchupIsGood:2|PlayerMatchupIsBad:1
249948,Trevor Ariza,SF/PF,HOU,4500,29.99,27.5,0,Starter:1|ThumbDown:1|OptimalPick:1|PlayerMatchupIsBad:2|PlayerIsCold:1
249949,Jae Crowder,SF/PF,CLE,4300,33.14,24.25,0,Starter:1|PlayerMatchupIsGreat:3
249950,Marcus Morris,SF/PF,BOS,4000,0,0,0,Injured:1|PlayerMatchupIsGreat:2|PlayerMatchupIsGood:1
249951,Jayson Tatum,SF/PF,BOS,3900,18.24,32.5,0,ExpectedStarter:1
249952,P.J. Tucker,SF/PF,HOU,3500,13.01,31,0,OptimalPick:1|PlayerMatchupIsBad:1|PlayerIsHot:1|VegasGood:1
249953,Omri Casspi,SF/PF,GS,3300,3.76,3.25,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
249954,Luc Richard Mbah a Moute,SF/PF,HOU,3100,4.13,19,0,PlayerMatchupIsBad:1
249955,Georges Niang,SF/PF,GS,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
249956,Kevon Looney,SF/PF,GS,3000,3.65,5.5,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|StarGood:1|CrowdNegative:1
249957,Richard Jefferson,SF/PF,CLE,3000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
249958,Jeff Green,SF/PF,CLE,3000,13.83,5.5,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
249959,James Harden,SG,HOU,10000,55.1,53.5,0,Starter:1|ThumbDown:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|PlayerIsCold:1|VegasBad:1
249960,Klay Thompson,SG,GS,6200,28.22,37.5,0,Starter:1|ThumbUp:1|PlayerMatchupIsGood:2|PlayerIsHot:1
249961,Eric Gordon,SG,HOU,4600,20.19,31.75,0,PlayerMatchupIsGood:1
249962,Nick Young,SG,GS,3200,10.35,28,0,PlayerMatchupIsGreat:2|PlayerIsCold:1|VegasBad:1|StarGood:1
249963,Troy Williams,SG,HOU,3000,2,0,0,PlayerMatchupIsGood:1|VegasBad:1|StarGood:1|CrowdNegative:1
249964,Jabari Bird,SG,BOS,3000,0,0,0,Injured:1|PlayerMatchupIsGreat:1
249965,L.J. Peak,SG,BOS,3000,0,0,0,PlayerMatchupIsGreat:1
249966,Kadeem Allen,SG,BOS,3000,0,0,0,Injured:1|PlayerMatchupIsGreat:1
249967,John Holland,SG,CLE,3000,0,0,0,Injured:1
249968,Stephen Curry,PG,GS,8800,46.19,36.75,0,Starter:1|ThumbUp:1|OptimalPick:1|PlayerMatchupIsGood:2
249969,Kyrie Irving,PG,BOS,8300,46.07,50.5,0,ExpectedStarter:1|VegasBad:1
249970,Chris Paul,PG,HOU,8000,44.05,36,0,Starter:1|ThumbDown:1|PlayerMatchupIsBad:3|PlayerIsCold:1|CrowdPositive:1
249971,Isaiah Thomas,PG,CLE,6500,0,0,0,Injured:1
249972,Derrick Rose,PG,CLE,5000,26.17,21.5,0,Starter:1|PlayerMatchupIsBad:2|PlayerIsHot:1
249973,Bobby Brown,PG,HOU,3800,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
249974,Jose Calderon,PG,CLE,3500,3.33,0,0,
249975,George de Paula,PG,HOU,3000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
249976,Tim Quarterman,PG,HOU,3000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
249977,Isaiah Taylor,PG,HOU,3000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
249978,Demetrius Jackson,PG,HOU,3000,0,0,0,Injured:1|PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
249979,Shane Larkin,PG,BOS,3000,6.92,1.25,0,PlayerMatchupIsGreat:2|PlayerMatchupIsGood:1|PlayerIsHot:1
249980,Kay Felder,PG,CLE,3000,0,0,0,
249981,Kevin Love,PF/C,CLE,7800,40.73,29.75,0,Starter:1|PlayerIsHot:1
249982,Draymond Green,PF/C,GS,7000,40.56,45.25,0,Starter:1|ThumbUp:1|OptimalPick:1|PlayerMatchupIsGreat:3
249983,Tarik Black,PF/C,HOU,3400,12.32,0,0,PlayerMatchupIsGood:2
249984,Channing Frye,PF/C,CLE,3400,5.99,0,0,CrowdNegative:1
249985,Jordan Bell,PF/C,GS,3000,0,10.25,0,PlayerMatchupIsGood:1
249986,Chinanu Onuaku,PF/C,HOU,3000,0,0,0,PlayerMatchupIsGood:2
249987,Daniel Theis,PF/C,BOS,3000,0,0,0,PlayerMatchupIsGreat:1
249988,Guerschon Yabusele,PF/C,BOS,3000,0,0,0,Injured:1|PlayerMatchupIsGreat:1
249989,Ante Zizic,PF/C,CLE,3000,0,0,0,Injured:1
249990,Gordon Hayward,SF,BOS,6700,38.01,3.25,0,ExpectedStarter:1|PlayerIsCold:1|CrowdPositive:1
249991,Cameron Oliver,SF,HOU,3000,0,0,0,PlayerMatchupIsBad:1
249992,Andrew White III,SF,BOS,3000,0,0,0,PlayerMatchupIsGreat:2|PlayerMatchupIsGood:1
249993,Al Horford,C,BOS,6000,29.91,27.25,0,ExpectedStarter:1|PlayerMatchupIsGreat:3
249994,Clint Capela,C,HOU,5600,31.89,20,0,Starter:1|ThumbDown:1|PlayerMatchupIsHorribad:2|PlayerMatchupIsBad:1|CrowdPositive:1
249995,Tristan Thompson,C,CLE,3900,13.09,14.5,0,PlayerMatchupIsGreat:2|PlayerIsCold:1
249996,Nene Hilario,C,HOU,3500,6.83,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
249997,Zaza Pachulia,C,GS,3400,12.24,11.75,0,Starter:1|ThumbUp:1|PlayerMatchupIsBad:1
249998,Aron Baynes,C,BOS,3300,9.1,14.75,0,Injured:1|PlayerMatchupIsBad:3|StarBad:1|CrowdPositive:1
249999,JaVale McGee,C,GS,3200,7.91,0,0,PlayerMatchupIsBad:1
250000,Damian Jones,C,GS,3000,0,0,0,PlayerMatchupIsBad:1
250001,Edy Tavares,C,CLE,3000,0,0,0,PlayerMatchupIsGreat:2
250002,Kendrick Perkins,C,CLE,3000,0,0,0,PlayerMatchupIsGreat:2
250003,Dwyane Wade,PG/SG,CLE,5200,30.63,17,0,Starter:1|PlayerMatchupIsBad:2
250004,Marcus Smart,PG/SG,BOS,4800,21.46,34.75,0,PlayerMatchupIsGreat:2|PlayerMatchupIsGood:1
250005,Terry Rozier,PG/SG,BOS,3800,9.28,24.25,0,PlayerMatchupIsGreat:2|PlayerMatchupIsGood:1|VegasBad:1|CrowdNegative:1
250006,Shaun Livingston,PG/SG,GS,3700,8.09,14.25,0,PlayerMatchupIsGreat:3
250007,Michael Gbinije,PG/SG,GS,3000,0,0,0,PlayerMatchupIsGreat:3
250008,Iman Shumpert,PG/SG,CLE,3000,10.9,8,0,CrowdNegative:1
250009,Ryan Anderson,PF,HOU,4100,18.93,30,0,Starter:1|ThumbDown:1|PlayerMatchupIsGood:2|VegasGood:1|StarGood:1
250010,David West,PF,GS,3100,13.48,6.75,0,PlayerMatchupIsGood:1
250011,Chris Boucher,PF,GS,3000,0,0,0,Injured:1|PlayerMatchupIsGood:1
250012,Zhou Qi,PF,HOU,3000,0,0,0,Injured:1|PlayerMatchupIsGood:2
250013,Abdel Nader,PF,BOS,3000,0,0,0,PlayerMatchupIsGreat:1
250014,Jonathan Holmes,PF,BOS,3000,0,0,0,PlayerMatchupIsGreat:1
250015,Jaylen Brown,SG/SF,BOS,3700,20.27,36,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
250016,Andre Iguodala,SG/SF,GS,3600,0,0,0,Injured:1|PlayerMatchupIsGreat:2
250017,Patrick McCaw,SG/SF,GS,3500,12.5,13.25,0,PlayerMatchupIsGreat:2
250018,J.R. Smith,SG/SF,CLE,3400,14.77,17,0,
250019,Kyle Korver,SG/SF,CLE,3300,6.26,0,0,CrowdNegative:1
250020,Chris Johnson,SG/SF,HOU,3000,0,0,0,PlayerMatchupIsGood:1
250021,Semi Ojeleye,SG/SF,BOS,3000,0,0,0,PlayerMatchupIsGreat:1
250022,Cedi Osman,SG/SF,CLE,3000,0,0,0,
250253,Daniel Ochefu,C,BOS,3000,0,0,0,
