QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration,Actual
Matthew Stafford,C.J. Anderson,Jonathan Stewart,A.J. Green,Rishard Matthews,Marvin Jones Jr.,Zach Ertz,Le'Veon Bell,Eagles ,DET,DEN,CAR,CIN,TEN,DET,PHI,PIT,PHI,6200,5800,4700,8100,4200,4200,5000,8800,3000,152.35,Scenario1,1,130.36
Matthew Stafford,Todd Gurley II,Carlos Hyde,Eric Decker,Marvin Jones Jr.,Davante Adams,Rob Gronkowski,Le'Veon Bell,Redskins ,DET,LAR,SF,TEN,DET,GB,NE,PIT,WAS,6200,6800,5200,4000,4200,5600,6800,8800,2400,151.64,Scenario1,2,163.66
Dak Prescott,Carlos Hyde,Jonathan Stewart,Dez Bryant,Rishard Matthews,T.Y. Hilton,Rob Gronkowski,Le'Veon Bell,Raiders ,DAL,SF,CAR,DAL,TEN,IND,NE,PIT,OAK,5800,5200,4700,6800,4200,5200,6800,8800,2500,149.91,Scenario1,3,165.32
Matthew Stafford,Todd Gurley II,Jonathan Stewart,Dez Bryant,Mike Evans,Marvin Jones Jr.,Delanie Walker,Ty Montgomery,Raiders ,DET,LAR,CAR,DAL,TB,DET,TEN,GB,OAK,6200,6800,4700,6800,7500,4200,4400,6900,2500,149.9,Scenario1,4,117.76
Matt Ryan,Carlos Hyde,Jonathan Stewart,Mohamed Sanu,Larry Fitzgerald,Davante Adams,Zach Ertz,Le'Veon Bell,Titans ,ATL,SF,CAR,ATL,ARI,GB,PHI,PIT,TEN,7100,5200,4700,4500,6400,5600,5000,8800,2700,149.66,Scenario1,5,148.16
Dak Prescott,C.J. Anderson,Todd Gurley II,A.J. Green,Dez Bryant,Eric Decker,Jason Witten,Carlos Hyde,Eagles ,DAL,DEN,LAR,CIN,DAL,TEN,DAL,SF,PHI,5800,5800,6800,8100,6800,4000,4500,5200,3000,149.18,Scenario1,6,147.92
Kirk Cousins,Todd Gurley II,Jonathan Stewart,Rishard Matthews,Davante Adams,Terrelle Pryor Sr.,Jason Witten,Le'Veon Bell,Steelers ,WAS,LAR,CAR,TEN,GB,WAS,DAL,PIT,PIT,6100,6800,4700,4200,5600,5900,4500,8800,3400,149.11,Scenario1,7,140.4
Matt Ryan,C.J. Anderson,Carlos Hyde,Rishard Matthews,Eric Decker,Julio Jones,Zach Ertz,Ty Montgomery,Raiders ,ATL,DEN,SF,TEN,TEN,ATL,PHI,GB,OAK,7100,5800,5200,4200,4000,9300,5000,6900,2500,148.78,Scenario1,8,129.56
Matthew Stafford,C.J. Anderson,Devonta Freeman,Dez Bryant,Marvin Jones Jr.,Larry Fitzgerald,Rob Gronkowski,Jason Witten,Panthers ,DET,DEN,ATL,DAL,DET,ARI,NE,DAL,CAR,6200,5800,6700,6800,4200,6400,6800,4500,2600,148.43,Scenario1,9,124.26
Matt Ryan,C.J. Anderson,Todd Gurley II,A.J. Green,Mohamed Sanu,Rishard Matthews,Rob Gronkowski,Eric Ebron,Steelers ,ATL,DEN,LAR,CIN,ATL,TEN,NE,DET,PIT,7100,5800,6800,8100,4500,4200,6800,3300,3400,148.26,Scenario1,10,159.16
