QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration
Matt Ryan,Ezekiel Elliott,Mark Ingram,Michael Thomas,Julio Jones,T.Y. Hilton,Eric Ebron,Devonta Freeman,Raiders,ATL,DAL,NO,LAR,ATL,IND,DET,ATL,OAK,7400,8200,4600,3000,8800,5300,3100,7300,2300,136.53,Scenario1,1
Drew Brees,Dalvin Cook,Ezekiel Elliott,Michael Thomas,Larry Fitzgerald,Julio Jones,Charles Clay,Ted Ginn Jr.,Chargers,NO,MIN,DAL,LAR,ARI,ATL,BUF,NO,LAC,7200,6500,8200,3000,6100,8800,3700,3900,2500,134.84,Scenario1,2
Drew Brees,Ezekiel Elliott,Frank Gore,Michael Thomas,Michael Thomas,Jarvis Landry,Evan Engram,Devonta Freeman,Bengals,NO,DAL,IND,NO,LAR,MIA,NYG,ATL,CIN,7200,8200,4000,7300,3000,6500,3000,7300,3500,133.06,Scenario1,3
Blake Bortles,Ezekiel Elliott,LeSean McCoy,Michael Thomas,Demaryius Thomas,Julio Jones,Evan Engram,Marqise Lee,Cowboys,JAX,DAL,BUF,LAR,DEN,ATL,NYG,JAX,DAL,5300,8200,8400,3000,6300,8800,3000,4500,2500,131.49,Scenario1,4
Drew Brees,Leonard Fournette,Mark Ingram,Michael Thomas,Michael Thomas,Demaryius Thomas,Jared Cook,Julio Jones,Lions,NO,JAX,NO,NO,LAR,DEN,OAK,ATL,DET,7200,6700,4600,7300,3000,6300,3400,8800,2700,131.01,Scenario1,5
Drew Brees,Dalvin Cook,Ezekiel Elliott,Michael Thomas,Demaryius Thomas,Marqise Lee,Eric Ebron,Jacquizz Rodgers,Raiders,NO,MIN,DAL,NO,DEN,JAX,DET,TB,OAK,7200,6500,8200,7300,6300,4500,3100,4400,2300,126.64,Scenario1,6
Drew Brees,Dalvin Cook,Frank Gore,Julio Jones,T.Y. Hilton,Willie Snead,Jared Cook,Devonta Freeman,Cowboys,NO,MIN,IND,ATL,IND,NO,OAK,ATL,DAL,7200,6500,4000,8800,5300,5000,3400,7300,2500,126.34,Scenario1,7
Carson Palmer,Dalvin Cook,Leonard Fournette,Larry Fitzgerald,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Devonta Freeman,Chargers,ARI,MIN,JAX,ARI,DEN,IND,DET,ATL,LAC,6100,6500,6700,6100,6300,5300,3100,7300,2500,124.3,Scenario1,8
Dak Prescott,Dalvin Cook,Mark Ingram,Mike Evans,Larry Fitzgerald,Dez Bryant,Evan Engram,Devonta Freeman,Raiders,DAL,MIN,NO,TB,ARI,DAL,NYG,ATL,OAK,6200,6500,4600,7400,6100,6500,3000,7300,2300,123.49,Scenario1,9
Russell Wilson,Frank Gore,LeSean McCoy,Jarvis Landry,Larry Fitzgerald,Doug Baldwin,Eric Ebron,T.Y. Hilton,Raiders,SEA,IND,BUF,MIA,ARI,SEA,DET,IND,OAK,7300,4000,8400,6500,6100,6900,3100,5300,2300,121.78,Scenario1,10
