QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration,Actual
Kirk Cousins,Le'Veon Bell,David Johnson,Davante Adams,Michael Crabtree,Sterling Shepard,Zach Miller,Zach Ertz,Eagles ,WAS,PIT,ARI,GB,OAK,NYG,CHI,PHI,PHI,6400,9800,9400,5200,6000,4100,2800,3500,2700,156.63,Scenario1,1,116.6
Aaron Rodgers,Carlos Hyde,Le'Veon Bell,Marvin Jones Jr.,Julio Jones,Doug Baldwin,Zach Ertz,Antonio Gates,Cardinals ,GB,SF,PIT,DET,ATL,SEA,PHI,LAC,ARI,7000,4600,9800,4100,8500,6700,3500,3000,2800,154.26,Scenario1,2,103.24
Drew Brees,David Johnson,LeSean McCoy,Julio Jones,Sterling Shepard,Rishard Matthews,Coby Fleener,Antonio Gates,Raiders ,NO,ARI,BUF,ATL,NYG,TEN,NO,LAC,OAK,7200,9400,8200,8500,4100,4200,2900,3000,2500,150.76,Scenario1,3,110.44
Aaron Rodgers,Carlos Hyde,LeSean McCoy,A.J. Green,Antonio Brown,Eric Decker,Zach Miller,Coby Fleener,Eagles ,GB,SF,BUF,CIN,PIT,TEN,CHI,NO,PHI,7000,4600,8200,8000,8800,5000,2800,2900,2700,150.05,Scenario1,4,153.04
Drew Brees,Lamar Miller,Bilal Powell,A.J. Green,Davante Adams,Michael Crabtree,Rob Gronkowski,Rob Kelley,Raiders ,NO,HOU,NYJ,CIN,GB,OAK,NE,WAS,OAK,7200,5100,4900,8000,5200,6000,6800,4300,2500,146.54,Scenario1,5,80.84
Kirk Cousins,Lamar Miller,Devonta Freeman,Antonio Brown,Doug Baldwin,Rishard Matthews,Kyle Rudolph,Rob Kelley,Cardinals ,WAS,HOU,ATL,PIT,SEA,TEN,MIN,WAS,ARI,6400,5100,7000,8800,6700,4200,4700,4300,2800,145.7,Scenario1,6,114.0
Russell Wilson,Todd Gurley,Bilal Powell,Eric Decker,Brandon Marshall,Allen Robinson,Rob Gronkowski,Devonta Freeman,Vikings ,SEA,LAR,NYJ,TEN,NYG,JAX,NE,ATL,MIN,6900,6000,4900,5000,5100,5200,6800,7000,2900,143.32,Scenario1,7,66.82
Tom Brady,Todd Gurley,Melvin Gordon,Alshon Jeffery,Larry Fitzgerald,Allen Robinson,Tyler Eifert,Kyle Rudolph,Broncos ,NE,LAR,LAC,PHI,ARI,JAX,CIN,MIN,DEN,7600,6000,6600,5800,5900,5200,4600,4700,3600,140.01,Scenario1,8,93.18
Ben Roethlisberger,Ameer Abdullah,DeMarco Murray,Marvin Jones Jr.,Brandon Marshall,Jordy Nelson,Tyler Eifert,Melvin Gordon,Vikings ,PIT,DET,TEN,DET,NYG,GB,CIN,LAC,MIN,7300,4300,7400,4100,5100,7600,4600,6600,2900,137.64,Scenario1,9,88.72
Russell Wilson,Jordan Howard,Ameer Abdullah,Alshon Jeffery,Terrelle Pryor Sr.,Jordy Nelson,Delanie Walker,Jimmy Graham,Broncos ,SEA,CHI,DET,PHI,WAS,GB,TEN,SEA,DEN,6900,6300,4300,5800,6100,7600,4300,5100,3600,135.49,Scenario1,10,97.72
Tom Brady,Jordan Howard,DeMarco Murray,Larry Fitzgerald,Terrelle Pryor Sr.,Kendall Wright,Travis Kelce,C.J. Anderson,Falcons ,NE,CHI,TEN,ARI,WAS,CHI,KC,DEN,ATL,7600,6300,7400,5900,6100,3200,5600,4600,3300,134.37,Scenario1,11,90.88
Ben Roethlisberger,Ty Montgomery,Ezekiel Elliott,Golden Tate,Jamison Crowder,Kendall Wright,Jimmy Graham,C.J. Anderson,Texans ,PIT,GB,DAL,DET,WAS,CHI,SEA,DEN,HOU,7300,5800,8100,6500,5600,3200,5100,4600,3800,132.75,Scenario1,12,105.82
Matt Ryan,Ty Montgomery,Ezekiel Elliott,DeAndre Hopkins,Pierre Garcon,Adam Thielen,Delanie Walker,Travis Kelce,Falcons ,ATL,GB,DAL,HOU,SF,MIN,TEN,KC,ATL,6900,5800,8100,5900,5300,4800,4300,5600,3300,131.74,Scenario1,13,151.54
Matt Ryan,Terrance West,Tevin Coleman,Golden Tate,Pierre Garcon,Jamison Crowder,Greg Olsen,Jordan Reed,Panthers ,ATL,BAL,ATL,DET,SF,WAS,CAR,WAS,CAR,6900,4700,5400,6500,5300,5600,6200,5900,3500,130.3,Scenario1,14,114.04
Derek Carr,Theo Riddick,Isaiah Crowell,Emmanuel Sanders,Michael Thomas,Adam Thielen,Greg Olsen,Jordan Reed,Texans ,OAK,DET,CLE,DEN,NO,MIN,CAR,WAS,HOU,6700,4700,5300,5200,7400,4800,6200,5900,3800,127.61,Scenario1,15,99.08
Derek Carr,Tevin Coleman,Christian McCaffrey,DeAndre Hopkins,Michael Thomas,Stefon Diggs,Eric Ebron,Dalvin Cook,Panthers ,OAK,ATL,CAR,HOU,NO,MIN,DET,MIN,CAR,6700,5400,5400,5900,7400,6000,3600,5900,3500,125.38,Scenario1,16,134.38
Cam Newton,Isaiah Crowell,Dalvin Cook,Martavis Bryant,Amari Cooper,Emmanuel Sanders,Jason Witten,Stefon Diggs,Patriots ,CAR,CLE,MIN,PIT,OAK,DEN,DAL,MIN,NE,7100,5300,5900,6000,7200,5200,3900,6000,3400,121.85,Scenario1,17,118.24
Eli Manning,Terrance West,Christian McCaffrey,Martavis Bryant,T.Y. Hilton,Amari Cooper,Eric Ebron,Brandin Cooks,Ravens ,NYG,BAL,CAR,PIT,IND,OAK,DET,NE,BAL,5600,4700,5400,6000,6900,7200,3600,7700,2800,120.26,Scenario1,18,102.34
Cam Newton,Theo Riddick,Jonathan Stewart,Kelvin Benjamin,T.Y. Hilton,Sammy Watkins,Jason Witten,Brandin Cooks,Packers ,CAR,DET,CAR,CAR,IND,LAR,DAL,NE,GB,7100,4700,5000,5900,6900,6200,3900,7700,2500,117.92,Scenario1,19,106.64
